player,market,bookmaker,side,line,price,home_team,away_team,game_id,commence_time
Julius Randle,player_assists,Underdog,Over,4.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Julius Randle,player_assists,Underdog,Under,4.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Rudy Gobert,player_assists,Underdog,Over,1.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Rudy Gobert,player_assists,Underdog,Under,1.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Donte DiVincenzo,player_assists,Underdog,Over,2.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Donte DiVincenzo,player_assists,Underdog,Under,2.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Ryan Dunn,player_assists,Underdog,Over,0.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Ryan Dunn,player_assists,Underdog,Under,0.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Mason Plumlee,player_assists,Underdog,Over,1.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Mason Plumlee,player_assists,Underdog,Under,1.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Devin Booker,player_points,Underdog,Over,26.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Devin Booker,player_points,Underdog,Under,26.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Anthony Edwards,player_points,Underdog,Over,27.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Anthony Edwards,player_points,Underdog,Under,27.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
Julius Randle,player_points,Underdog,Over,19.5,-137,Minnesota Timberwolves,Phoenix Suns,a312863a7b37f4834c28ef6baf35388a,2024-11-17T20:42:04Z
