game_date,event_id,home_team,away_team,matchup,player_id,player_name,team_id,stat_type,period_id,bet_type,side_id,market_name,bookmaker,book_line,book_odds,fair_line,fair_odds,available,is_main_line,actual_score,result,odd_id,opposing_odd_id,started,ended,last_updated
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,IMMANUEL_QUICKLEY_1_NBA,Immanuel Quickley,TORONTO_RAPTORS_NBA,assists,game,ou,over,Immanuel Quickley Assists Over/Under,draftkings,11.5,-225,7.5,+495,,,15.0,Win,assists-IMMANUEL_QUICKLEY_1_NBA-game-ou-over,assists-IMMANUEL_QUICKLEY_1_NBA-game-ou-under,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,CAMERON_JOHNSON_1_NBA,Cameron Johnson,BROOKLYN_NETS_NBA,points,game,ou,over,Cameron Johnson Points Over/Under,draftkings,23.5,-145,23.5,-108,,,24.0,Win,points-CAMERON_JOHNSON_1_NBA-game-ou-over,points-CAMERON_JOHNSON_1_NBA-game-ou-under,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,CAMERON_JOHNSON_1_NBA,Cameron Johnson,BROOKLYN_NETS_NBA,points,game,ou,over,Cameron Johnson Points Over/Under,fanduel,24.5,+230,23.5,-108,,,24.0,Win,points-CAMERON_JOHNSON_1_NBA-game-ou-over,points-CAMERON_JOHNSON_1_NBA-game-ou-under,True,True,2025-01-02T02:42:23.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,JAKOB_POELTL_1_NBA,Jakob Poeltl,TORONTO_RAPTORS_NBA,points,game,ou,under,Jakob Poeltl Points Over/Under,draftkings,8.5,+114,12.5,-129,,,12.0,Win,points-JAKOB_POELTL_1_NBA-game-ou-under,points-JAKOB_POELTL_1_NBA-game-ou-over,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,JAKOB_POELTL_1_NBA,Jakob Poeltl,TORONTO_RAPTORS_NBA,rebounds,game,ou,under,Jakob Poeltl Rebounds Over/Under,draftkings,10.5,-204,10.5,-149,,,9.0,Win,rebounds-JAKOB_POELTL_1_NBA-game-ou-under,rebounds-JAKOB_POELTL_1_NBA-game-ou-over,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,BEN_SIMMONS_1_NBA,Ben Simmons,BROOKLYN_NETS_NBA,assists,game,ou,over,Ben Simmons Assists Over/Under,draftkings,6.5,-120,7.5,+126,,,6.0,Loss,assists-BEN_SIMMONS_1_NBA-game-ou-over,assists-BEN_SIMMONS_1_NBA-game-ou-under,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,OCHAI_AGBAJI_1_NBA,Ochai Agbaji,TORONTO_RAPTORS_NBA,assists,game,ou,over,Ochai Agbaji Assists Over/Under,draftkings,2.5,+1100,2.5,+1154,,,2.0,Loss,assists-OCHAI_AGBAJI_1_NBA-game-ou-over,assists-OCHAI_AGBAJI_1_NBA-game-ou-under,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,OCHAI_AGBAJI_1_NBA,Ochai Agbaji,TORONTO_RAPTORS_NBA,points,game,ou,under,Ochai Agbaji Points Over/Under,draftkings,12.5,-105,9.5,-110,,,14.0,Loss,points-OCHAI_AGBAJI_1_NBA-game-ou-under,points-OCHAI_AGBAJI_1_NBA-game-ou-over,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,BEN_SIMMONS_1_NBA,Ben Simmons,BROOKLYN_NETS_NBA,rebounds,game,ou,over,Ben Simmons Rebounds Over/Under,draftkings,2.5,-175,4.5,-124,,,2.0,Loss,rebounds-BEN_SIMMONS_1_NBA-game-ou-over,rebounds-BEN_SIMMONS_1_NBA-game-ou-under,True,True,2025-01-02T02:38:27.000Z
2025-01-02,FA4EjLEGX5K5at3TMrIb,Toronto Raptors,Brooklyn Nets,Brooklyn Nets @ Toronto Raptors,CAMERON_JOHNSON_1_NBA,Cameron Johnson,BROOKLYN_NETS_NBA,points,game,ou,under,Cameron Johnson Points Over/Under,draftkings,23.5,+114,23.5,+108,,,24.0,Loss,points-CAMERON_JOHNSON_1_NBA-game-ou-under,points-CAMERON_JOHNSON_1_NBA-game-ou-over,True,True,2025-01-02T02:38:27.000Z
