,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,IS_PLAYOFF,STARTING,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,TEAM_DAYS_REST,TEAM_B2B,PLAYER_DAYS_REST,PLAYER_B2B,PLAYER_MISSED_LAST,TEAM__BOS,TEAM__CLE,TEAM__DAL,TEAM__DEN,TEAM__IND,TEAM__LAC,TEAM__LAL,TEAM__MIA,TEAM__MIL,TEAM__MIN,TEAM__NOP,TEAM__NYK,TEAM__OKC,TEAM__ORL,TEAM__PHI,TEAM__PHX,OPP__BOS,OPP__CLE,OPP__DAL,OPP__DEN,OPP__IND,OPP__LAC,OPP__LAL,OPP__MIA,OPP__MIL,OPP__MIN,OPP__NOP,OPP__NYK,OPP__OKC,OPP__ORL,OPP__PHI,OPP__PHX,MATCHUP_AVG_AST_LAST_3,GAMES_VS_OPP,MIN_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,AST_PCT_ROLL_AVG_2,AST_TOV_ROLL_AVG_2,TEAM_FGM_ROLL_AVG_2,TEAM_AST_ROLL_AVG_2,TEAM_PACE_ROLL_AVG_2,OPP_DEF_RATING_ROLL_AVG_2,OPP_STL_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,MIN_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,AST_PCT_ROLL_AVG_4,AST_TOV_ROLL_AVG_4,TEAM_FGM_ROLL_AVG_4,TEAM_AST_ROLL_AVG_4,TEAM_PACE_ROLL_AVG_4,OPP_DEF_RATING_ROLL_AVG_4,OPP_STL_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,MIN_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,AST_PCT_ROLL_AVG_6,AST_TOV_ROLL_AVG_6,TEAM_FGM_ROLL_AVG_6,TEAM_AST_ROLL_AVG_6,TEAM_PACE_ROLL_AVG_6,OPP_DEF_RATING_ROLL_AVG_6,OPP_STL_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,PLAYER_HOME_AVG_AST,PLAYER_AWAY_AVG_AST,AST_LAG_1,AST_LAG_2,AST_LAG_3,AST_LAG_4,DEF_CATEGORY,AST_VS_DEF_STRONG,AST_VS_DEF_WEAK,AST_VS_DEF_DIFF,AST_PCT_VS_DEF_STRONG,AST_PCT_VS_DEF_WEAK,AST_PCT_VS_DEF_DIFF,AST_TOV_VS_DEF_STRONG,AST_TOV_VS_DEF_WEAK,AST_TOV_VS_DEF_DIFF,USG_PCT_VS_DEF_STRONG,USG_PCT_VS_DEF_WEAK,USG_PCT_VS_DEF_DIFF,PACE_VS_DEF_STRONG,PACE_VS_DEF_WEAK,PACE_VS_DEF_DIFF,POSS_VS_DEF_STRONG,POSS_VS_DEF_WEAK,POSS_VS_DEF_DIFF,OFF_RATING_VS_DEF_STRONG,OFF_RATING_VS_DEF_WEAK,OFF_RATING_VS_DEF_DIFF,TOV_VS_DEF_STRONG,TOV_VS_DEF_WEAK,TOV_VS_DEF_DIFF,MATCHUP_KEY,SERIES,GAME_IN_SERIES,SERIES_NAME,TEAM_STARTER_OFF_RATING_AVG,TEAM_STARTER_DEF_RATING_AVG,TEAM_STARTER_USG_PCT_AVG,NUM_USUAL_STARTERS_PRESENT,TEAM_ID_OPP,NUM_USUAL_STARTERS_PRESENT_OPP,TEAM_ID_OPP,OPP_STARTER_AVG_DEF_RATING,TEAM_ID_OPP,OPP_GUARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_FORWARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_CENTERS_AVG_DEF_RATING_OPP,TEAM_STARTER_SPACING_METRIC,TEAM_STARTER_PACE,TEAM_ID_OPP,OPP_STARTER_PACE,PACE_EXPECTATION,IS_STAR,NUM_STARS_ON_TEAM
0,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,42300152,2024-04-22,L,38,26,12,8,9,19,0.474,3,6,0.5,5,7,0.714,0,8,2,2,2,3,2,63.6,1.178,0.5526315789473685,F,,110.5,110.9,109.3,107.0,1.2,0.0,0.2,0.105,0.545,0.553,6.0,0.28,0.589,96.06,95.23,0.208,76,79.36,0.289,"APR 22, 2024",240,38,78,0.487,13,30,0.433,10,13,0.769,4,34,38,24,6,3,14,20,99,105.6338028169014,6.0,4.0,45.0,0.4431818181818182,1610612743.0,105.6338028169014,93.72,94.6,95.48,1,1,6-9,250.0,0,1,0,2.0,0,2.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0,2,41.0,0.29,0.33,1.14,39.0,22.0,93.36,110.33,7.0,79.0,29.0,41.0,0.29,0.33,1.14,39.0,22.0,93.36,110.33,7.0,79.0,29.0,41.0,0.29,0.33,1.14,39.0,22.0,93.36,110.33,7.0,79.0,29.0,9.0,10.0,8.0,,,,1,9.0,0.0,-9.0,0.36,0.0,-0.36,5.17,0.0,-5.17,0.27,0.0,-0.27,97.74,0.0,-97.74,83.75,0.0,-83.75,108.68,0.0,-108.68,3.0,0.0,-3.0,DEN-LAL,1,1,First Round,109.6,109.25999999999999,0.2218,5,1610612743,5,1610612743,111.64000000000001,1610612743,114.5,1610612743,110.95,1610612743.0,107.3,0.2672,95.228,1610612743,94.828,95.02799999999999,1,2
1,Kyle Lowry,200768,PHI @ NYK,PHI,1610612755,NYK,0,42300112,2024-04-22,L,34,8,3,6,2,6,0.333,2,5,0.4,2,4,0.5,1,5,2,1,1,5,6,27.7,1.031,0.5,G,,112.1,112.1,104.6,97.5,7.5,0.031,0.109,0.077,0.125,0.5,3.0,0.123,0.515,96.93,93.53,0.056,66,77.94,0.127,"APR 22, 2024",240,36,84,0.429,13,36,0.361,16,22,0.727,10,34,44,26,3,6,10,21,101,107.81383432963278,5.0,6.0,46.0,0.4065934065934066,1610612752.0,107.81383432963278,93.68,94.9,96.12,1,1,6-0,196.0,1,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,2,39.0,0.14,0.07,2.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,39.0,0.14,0.07,2.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,39.0,0.14,0.07,2.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,4.0,2.5,2.0,,,,0,4.0,4.5,0.5,0.17,0.25,0.08,4.0,1.5,-2.5,0.11,0.1,-0.01,93.4,91.26,-2.14,60.0,50.5,-9.5,141.7,109.42,-32.28,1.0,0.5,-0.5,NYK-PHI,1,1,First Round,109.25999999999999,109.32000000000001,0.21760000000000002,5,1610612752,5,1610612752,108.47999999999999,1610612752,108.025,1610612752,110.1,1610612752.0,110.3,0.36925,93.524,1610612752,92.73400000000001,93.129,0,0
2,Nicolas Batum,201587,PHI @ NYK,PHI,1610612755,NYK,0,42300112,2024-04-22,L,33,6,1,5,2,5,0.4,2,4,0.5,0,0,,1,4,0,0,0,3,-6,13.5,1.2,0.6,,,106.3,103.8,115.6,108.1,-9.4,0.029,0.103,0.068,0.045,0.6,0.0,0.066,0.6,98.67,94.28,0.045,64,78.57,0.068,"APR 22, 2024",240,36,84,0.429,13,36,0.361,16,22,0.727,10,34,44,26,3,6,10,21,101,107.81383432963278,5.0,6.0,46.0,0.4065934065934066,1610612752.0,107.81383432963278,93.68,94.9,96.12,1,0,6-8,230.0,1,1,0,0.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,2,26.0,0.09,0.07,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,26.0,0.09,0.07,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,26.0,0.09,0.07,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,2.0,1.0,1.0,,,,0,2.0,1.25,-0.75,0.1,0.07,-0.03,0.0,0.88,0.88,0.04,0.11,0.07,94.95,95.25,0.3,57.0,56.5,-0.5,131.6,111.8,-19.8,0.0,1.0,1.0,NYK-PHI,1,1,First Round,109.25999999999999,109.32000000000001,0.21760000000000002,5,1610612752,5,1610612752,108.47999999999999,1610612752,108.025,1610612752,110.1,1610612752.0,110.3,0.36925,93.524,1610612752,92.73400000000001,93.129,0,0
3,Tobias Harris,202699,PHI @ NYK,PHI,1610612755,NYK,0,42300112,2024-04-22,L,41,10,3,9,4,11,0.364,2,5,0.4,0,0,,2,7,1,1,1,3,-5,30.3,0.909,0.4545454545454545,F,,108.9,106.1,112.3,111.2,-3.5,0.047,0.152,0.101,0.107,0.455,3.0,0.13,0.455,94.84,93.19,0.074,79,77.66,0.133,"APR 22, 2024",240,36,84,0.429,13,36,0.361,16,22,0.727,10,34,44,26,3,6,10,21,101,107.81383432963278,5.0,6.0,46.0,0.4065934065934066,1610612752.0,107.81383432963278,93.68,94.9,96.12,1,1,6-8,226.0,0,1,0,0.0,1,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5,2,31.0,0.13,0.09,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,31.0,0.13,0.09,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,31.0,0.13,0.09,1.0,36.0,17.0,92.68,112.21,6.0,81.0,35.0,0.0,2.5,2.0,,,,0,0.0,1.75,1.75,0.0,0.07,0.07,0.0,0.75,0.75,0.14,0.11,-0.03,90.48,91.84,1.36,63.0,72.75,9.75,130.2,107.4,-22.8,0.0,0.25,0.25,NYK-PHI,1,1,First Round,109.25999999999999,109.32000000000001,0.21760000000000002,5,1610612752,5,1610612752,108.47999999999999,1610612752,108.025,1610612752,110.1,1610612752.0,110.3,0.36925,93.524,1610612752,92.73400000000001,93.129,0,0
4,Reggie Jackson,202704,DEN vs. LAL,DEN,1610612743,LAL,1,42300152,2024-04-22,W,8,0,1,0,0,5,0.0,0,3,0.0,0,0,,0,0,0,0,1,1,4,0.5,0.0,0.0,,,94.7,95.3,77.8,78.3,17.0,0.0,0.0,0.0,0.143,0.0,1.0,0.261,0.0,103.83,104.51,-0.24,19,87.09,0.287,"APR 22, 2024",240,39,88,0.443,8,34,0.235,15,17,0.882,9,36,45,26,6,4,9,17,101,105.7813154587348,6.0,3.0,38.0,0.4871794871794871,1610612747.0,105.7813154587348,95.48,94.6,93.72,1,0,6-2,208.0,1,0,0,2.0,0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5,2,9.0,0.22,0.29,2.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,9.0,0.22,0.29,2.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,9.0,0.22,0.29,2.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,1.5,1.0,2.0,,,,0,0.89,1.0,0.11,0.15,0.2,0.05,0.44,0.5,0.06,0.22,0.24,0.02,98.98,100.8,1.82,21.11,16.5,-4.61,98.49,104.5,6.01,0.67,0.5,-0.17,DEN-LAL,1,1,First Round,109.3,111.64000000000001,0.1986,5,1610612747,5,1610612747,109.25999999999999,1610612747,109.4,1610612747,109.16666666666667,1610612747.0,106.4,0.22000000000000003,94.828,1610612747,95.228,95.02799999999999,0,0
5,Bojan Bogdanović,202711,NYK vs. PHI,NYK,1610612752,PHI,1,42300112,2024-04-22,W,12,6,2,2,2,7,0.286,2,6,0.333,0,0,,0,2,0,0,0,1,2,11.4,0.857,0.4285714285714285,,,108.7,98.7,100.0,110.2,8.7,0.0,0.182,0.074,0.286,0.429,0.0,0.241,0.429,96.42,96.0,0.089,23,80.0,0.256,"APR 22, 2024",240,37,91,0.407,11,33,0.333,19,23,0.826,12,34,46,22,5,6,7,17,104,108.19808572617562,3.0,6.0,44.0,0.4285714285714285,1610612755.0,108.19808572617562,96.12,94.9,93.68,1,0,6-7,226.0,0,1,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.5,2,25.0,0.23,0.07,0.0,36.0,20.0,91.32,121.55,8.0,91.0,35.0,25.0,0.23,0.07,0.0,36.0,20.0,91.32,121.55,8.0,91.0,35.0,25.0,0.23,0.07,0.0,36.0,20.0,91.32,121.55,8.0,91.0,35.0,1.5,1.0,1.0,,,,0,0.0,1.0,1.0,0.0,0.13,0.13,0.0,0.33,0.33,0.0,0.15,0.15,0.0,97.63,97.63,0.0,17.33,17.33,0.0,96.93,96.93,0.0,0.33,0.33,NYK-PHI,1,1,First Round,113.02000000000001,108.47999999999999,0.1978,5,1610612755,5,1610612755,109.32000000000001,1610612755,108.8,1610612755,108.03333333333335,1610612755.0,107.9,0.3095,92.73400000000001,1610612755,93.524,93.129,0,1
6,Anthony Davis,203076,LAL @ DEN,LAL,1610612747,DEN,0,42300152,2024-04-22,L,39,32,2,11,14,19,0.737,0,1,0.0,4,4,1.0,1,10,1,1,4,5,0,50.2,1.541,0.7368421052631579,C,,106.4,105.1,106.4,105.4,0.0,0.029,0.244,0.145,0.1,0.737,0.5,0.293,0.771,96.99,95.96,0.199,78,79.97,0.293,"APR 22, 2024",240,38,78,0.487,13,30,0.433,10,13,0.769,4,34,38,24,6,3,14,20,99,105.6338028169014,6.0,4.0,45.0,0.4431818181818182,1610612743.0,105.6338028169014,93.72,94.6,95.48,1,1,6-10,253.0,0,1,1,0.0,1,2.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5,2,45.0,0.31,0.19,2.5,39.0,22.0,93.36,110.33,7.0,79.0,29.0,45.0,0.31,0.19,2.5,39.0,22.0,93.36,110.33,7.0,79.0,29.0,45.0,0.31,0.19,2.5,39.0,22.0,93.36,110.33,7.0,79.0,29.0,3.0,3.5,5.0,,,,1,3.75,0.0,-3.75,0.14,0.0,-0.14,2.5,0.0,-2.5,0.23,0.0,-0.23,98.46,0.0,-98.46,84.25,0.0,-84.25,111.08,0.0,-111.08,2.25,0.0,-2.25,DEN-LAL,1,1,First Round,109.6,109.25999999999999,0.2218,5,1610612743,5,1610612743,111.64000000000001,1610612743,114.5,1610612743,110.95,1610612743.0,107.3,0.2672,95.228,1610612743,94.828,95.02799999999999,1,2
7,Justin Holiday,203200,DEN vs. LAL,DEN,1610612743,LAL,1,42300152,2024-04-22,W,13,0,1,2,0,1,0.0,0,1,0.0,0,0,,0,2,2,0,0,1,2,9.9,0.0,0.0,,,92.0,97.3,87.5,84.8,4.5,0.0,0.2,0.074,0.111,0.0,0.0,0.031,0.0,89.13,90.23,0.102,25,75.19,0.034,"APR 22, 2024",240,39,88,0.443,8,34,0.235,15,17,0.882,9,36,45,26,6,4,9,17,101,105.7813154587348,6.0,3.0,38.0,0.4871794871794871,1610612747.0,105.7813154587348,95.48,94.6,93.72,1,0,6-6,180.0,1,1,0,0.0,1,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,2,6.0,0.13,0.0,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,6.0,0.13,0.0,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,6.0,0.13,0.0,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,0.5,0.0,0.0,,,,0,0.33,0.5,0.17,0.03,0.06,0.03,0.22,0.0,-0.22,0.12,0.12,0.0,100.15,90.96,-9.19,27.22,20.5,-6.72,100.49,89.75,-10.74,0.33,0.0,-0.33,DEN-LAL,1,1,First Round,109.3,111.64000000000001,0.1986,5,1610612747,5,1610612747,109.25999999999999,1610612747,109.4,1610612747,109.16666666666667,1610612747.0,106.4,0.22000000000000003,94.828,1610612747,95.228,95.02799999999999,0,0
8,Kentavious Caldwell-Pope,203484,DEN vs. LAL,DEN,1610612743,LAL,1,42300152,2024-04-22,W,35,6,3,1,2,7,0.286,0,4,0.0,2,2,1.0,0,1,0,1,2,4,-4,12.7,0.761,0.2857142857142857,G,,114.5,111.5,118.6,117.2,-4.1,0.0,0.033,0.016,0.107,0.286,1.5,0.132,0.381,96.42,94.59,-0.003,69,78.83,0.134,"APR 22, 2024",240,39,88,0.443,8,34,0.235,15,17,0.882,9,36,45,26,6,4,9,17,101,105.7813154587348,6.0,3.0,38.0,0.4871794871794871,1610612747.0,105.7813154587348,95.48,94.6,93.72,1,1,6-5,204.0,1,0,0,0.0,1,2.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0,2,37.0,0.13,0.03,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,37.0,0.13,0.03,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,37.0,0.13,0.03,0.0,47.0,27.0,93.64,121.74,3.0,102.0,42.0,2.0,1.0,1.0,,,,0,2.89,2.0,-0.89,0.11,0.07,-0.04,0.72,1.0,0.28,0.1,0.12,0.02,93.62,98.18,4.56,67.67,71.0,3.33,110.47,116.15,5.68,0.67,2.0,1.33,DEN-LAL,1,1,First Round,109.3,111.64000000000001,0.1986,5,1610612747,5,1610612747,109.25999999999999,1610612747,109.4,1610612747,109.16666666666667,1610612747.0,106.4,0.22000000000000003,94.828,1610612747,95.228,95.02799999999999,0,0
9,Gary Harris,203914,ORL @ CLE,ORL,1610612753,CLE,0,42300132,2024-04-22,L,34,14,2,4,5,10,0.5,4,7,0.571,0,0,,2,2,1,1,0,2,2,27.8,1.4,0.7,G,,92.6,92.8,89.7,91.9,2.9,0.051,0.049,0.05,0.125,0.7,0.0,0.128,0.7,94.23,95.44,0.164,68,79.53,0.132,"APR 22, 2024",240,29,80,0.363,9,35,0.257,19,26,0.731,11,30,41,18,8,5,16,22,86,89.17461634176689,11.0,6.0,48.0,0.4146341463414634,1610612739.0,89.17461634176689,96.44,94.94,93.44,1,1,6-4,210.0,1,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2,33.0,0.08,0.0,0.0,28.0,16.0,100.2,82.83,9.0,86.0,37.0,33.0,0.08,0.0,0.0,28.0,16.0,100.2,82.83,9.0,86.0,37.0,33.0,0.08,0.0,0.0,28.0,16.0,100.2,82.83,9.0,86.0,37.0,0.0,1.0,0.0,,,,1,0.8,0.0,-0.8,0.05,0.0,-0.05,0.0,0.0,0.0,0.08,0.0,-0.08,97.57,0.0,-97.57,50.6,0.0,-50.6,107.42,0.0,-107.42,0.4,0.0,-0.4,CLE-ORL,1,1,First Round,88.78,92.64,0.2042,4,1610612739,4,1610612739,87.14,1610612739,87.06666666666666,1610612739,83.6,1610612739.0,87.25,0.2928,95.346,1610612739,95.074,95.21000000000001,0,1
