Unnamed: 0.1,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_AVG_2,PTS_ROLL_AVG_2,PTS_STD_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,FG_PCT_ROLL_AVG_2,FG3A_ROLL_AVG_2,FG3M_ROLL_AVG_2,FG3_PCT_ROLL_AVG_2,FTM_ROLL_AVG_2,FTA_ROLL_AVG_2,FT_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,TS_PCT_ROLL_AVG_2,EFG_PCT_ROLL_AVG_2,OREB_ROLL_AVG_2,DREB_ROLL_AVG_2,REB_ROLL_AVG_2,PLUS_MINUS_ROLL_AVG_2,PIE_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG_PCT_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,TEAM_FG3_PCT_ROLL_AVG_2,TEAM_FTM_ROLL_AVG_2,TEAM_FTA_ROLL_AVG_2,TEAM_FT_PCT_ROLL_AVG_2,TEAM_PTS_ROLL_AVG_2,TEAM_PACE_ROLL_AVG_2,TEAM_OFF_RATING_ROLL_AVG_2,OPP_DEF_RATING_ROLL_AVG_2,OPP_PACE_ROLL_AVG_2,OPP_FG_PCT_ROLL_AVG_2,MIN_ROLL_AVG_4,PTS_ROLL_AVG_4,PTS_STD_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,FG_PCT_ROLL_AVG_4,FG3A_ROLL_AVG_4,FG3M_ROLL_AVG_4,FG3_PCT_ROLL_AVG_4,FTM_ROLL_AVG_4,FTA_ROLL_AVG_4,FT_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,TS_PCT_ROLL_AVG_4,EFG_PCT_ROLL_AVG_4,OREB_ROLL_AVG_4,DREB_ROLL_AVG_4,REB_ROLL_AVG_4,PLUS_MINUS_ROLL_AVG_4,PIE_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG_PCT_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,TEAM_FG3_PCT_ROLL_AVG_4,TEAM_FTM_ROLL_AVG_4,TEAM_FTA_ROLL_AVG_4,TEAM_FT_PCT_ROLL_AVG_4,TEAM_PTS_ROLL_AVG_4,TEAM_PACE_ROLL_AVG_4,TEAM_OFF_RATING_ROLL_AVG_4,OPP_DEF_RATING_ROLL_AVG_4,OPP_PACE_ROLL_AVG_4,OPP_FG_PCT_ROLL_AVG_4,MIN_ROLL_AVG_6,PTS_ROLL_AVG_6,PTS_STD_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,FG_PCT_ROLL_AVG_6,FG3A_ROLL_AVG_6,FG3M_ROLL_AVG_6,FG3_PCT_ROLL_AVG_6,FTM_ROLL_AVG_6,FTA_ROLL_AVG_6,FT_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,TS_PCT_ROLL_AVG_6,EFG_PCT_ROLL_AVG_6,OREB_ROLL_AVG_6,DREB_ROLL_AVG_6,REB_ROLL_AVG_6,PLUS_MINUS_ROLL_AVG_6,PIE_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG_PCT_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,TEAM_FG3_PCT_ROLL_AVG_6,TEAM_FTM_ROLL_AVG_6,TEAM_FTA_ROLL_AVG_6,TEAM_FT_PCT_ROLL_AVG_6,TEAM_PTS_ROLL_AVG_6,TEAM_PACE_ROLL_AVG_6,TEAM_OFF_RATING_ROLL_AVG_6,OPP_DEF_RATING_ROLL_AVG_6,OPP_PACE_ROLL_AVG_6,OPP_FG_PCT_ROLL_AVG_6,PTS_LAG_1,PTS_LAG_2,PTS_LAG_3,PTS_LAG_4,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,MATCHUP_AVG_PTS_LAST_3,GAMES_VS_OPP,DAYS_OF_REST,DAYS_AGO,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,AST_VS_DEF,AST_PCT_VS_DEF,AST_TOV_VS_DEF,USG_PCT_VS_DEF,PACE_VS_DEF,POSS_VS_DEF,OFF_RATING_VS_DEF,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,HEIGHT_IN_INCHES
15,15,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,42300151,2024-04-20,L,41,27,8,6,10,16,0.625,3,5,0.6,4,5,0.8,2,4,1,1,7,1,-9,45.2,1.484,0.71875,F,,110.0,110.6,121.3,118.6,-11.3,0.057,0.085,0.073,0.333,0.719,1.14,0.291,0.742,95.03,94.23,0.146,80,78.53,0.296,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.4607843137254901,1610612743.0,110.32562125107113,93.36,93.5,93.64,1,41.0,27.0,0.71,16.0,10.0,0.62,5.0,3.0,0.6,4.0,5.0,0.8,0.29,0.74,0.72,2.0,4.0,6.0,-9.0,0.15,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,41.0,27.0,0.71,16.0,10.0,0.62,5.0,3.0,0.6,4.0,5.0,0.8,0.29,0.74,0.72,2.0,4.0,6.0,-9.0,0.15,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,41.0,27.0,0.71,16.0,10.0,0.62,5.0,3.0,0.6,4.0,5.0,0.8,0.29,0.74,0.72,2.0,4.0,6.0,-9.0,0.15,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,,,,,26.0,27.0,27.0,1,,434,110.33,7.0,4.0,0.0844087017438963,0.6723575065731179,1,-0.2,-0.243,-0.681,0.003,-0.005,0.026,-0.002,6-9,250,0,1,0,81
54,54,Nickeil Alexander-Walker,1629638,MIN vs. PHX,MIN,1610612750,PHX,1,42300161,2024-04-20,W,29,18,2,4,7,12,0.583,4,9,0.444,0,0,,1,3,4,0,1,2,28,36.8,1.5,0.75,,,131.7,127.8,86.4,87.2,45.2,0.034,0.103,0.069,0.105,0.75,2.0,0.176,0.75,100.41,99.34,0.191,60,82.78,0.184,"APR 20, 2024",240,44,88,0.5,12,32,0.375,20,22,0.909,13,39,52,26,8,2,14,24,120,121.60518848804212,9.0,6.0,28.0,0.44,1610612756.0,121.60518848804212,98.68,98.34,98.0,0,29.0,18.0,5.66,12.0,7.0,0.58,9.0,4.0,0.44,0.0,0.0,1.0,0.18,0.75,0.75,1.0,3.0,4.0,28.0,0.19,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,29.0,18.0,5.66,12.0,7.0,0.58,9.0,4.0,0.44,0.0,0.0,1.0,0.18,0.75,0.75,1.0,3.0,4.0,28.0,0.19,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,29.0,18.0,5.66,12.0,7.0,0.58,9.0,4.0,0.44,0.0,0.0,1.0,0.18,0.75,0.75,1.0,3.0,4.0,28.0,0.19,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,,,,,18.0,16.0,18.0,1,,434,121.61,9.0,6.0,-0.8449265425639044,0.6069037434594717,0,-0.222,-0.192,0.17,0.1,0.043,0.214,0.117,6-5,205,1,0,0,77
4,4,Jaxson Hayes,1629637,LAL @ DEN,LAL,1610612747,DEN,0,42300151,2024-04-20,L,4,0,0,3,0,0,,0,0,,0,0,,0,3,0,0,0,2,2,3.6,0.0,,,,133.3,137.0,125.0,126.9,8.3,0.0,0.6,0.375,0.0,0.0,0.0,0.0,0.0,91.11,93.08,0.056,9,77.57,0.0,"APR 20, 2024",240,39,79,0.494,8,29,0.276,17,19,0.895,6,34,40,22,3,7,12,15,103,110.32562125107113,7.0,4.0,49.0,0.4607843137254901,1610612743.0,110.32562125107113,93.36,93.5,93.64,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.06,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.06,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.06,79.0,0.49,29.0,0.28,17.0,19.0,0.9,103.0,93.36,110.33,110.33,93.64,0.46,,,,,0.0,0.0,0.0,1,,434,110.33,7.0,4.0,0.0844087017438963,0.6723575065731179,1,,,,,0.03,-0.1,0.143,7-0,220,0,1,1,84
0,0,Darius Garland,1629636,CLE vs. ORL,CLE,1610612739,ORL,1,42300131,2024-04-20,W,32,14,8,3,6,11,0.545,2,6,0.333,0,0,,0,3,1,0,5,4,8,27.6,1.273,0.6363636363636364,G,,100.0,98.6,87.9,83.5,12.1,0.0,0.067,0.042,0.4,0.636,1.6,0.229,0.636,101.08,97.82,0.145,66,81.52,0.229,"APR 20, 2024",240,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,17,21,97,99.75318798848213,12.0,7.0,40.0,0.3255813953488372,1610612753.0,99.75318798848213,97.24,98.72,100.2,1,32.0,14.0,0.71,11.0,6.0,0.55,6.0,2.0,0.33,0.0,0.0,0.5,0.23,0.64,0.64,0.0,3.0,3.0,8.0,0.14,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,32.0,14.0,0.71,11.0,6.0,0.55,6.0,2.0,0.33,0.0,0.0,0.5,0.23,0.64,0.64,0.0,3.0,3.0,8.0,0.14,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,32.0,14.0,0.71,11.0,6.0,0.55,6.0,2.0,0.33,0.0,0.0,0.5,0.23,0.64,0.64,0.0,3.0,3.0,8.0,0.14,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,,,,,14.0,5.0,14.0,1,,434,99.75,12.0,7.0,0.9560724326638014,1.433113707261347,1,0.356,0.379,-0.38,-0.004,0.029,-0.074,0.012,6-1,192,1,0,0,73
57,57,Rudy Gobert,203497,MIN vs. PHX,MIN,1610612750,PHX,1,42300161,2024-04-20,W,37,14,2,16,4,6,0.667,0,0,,6,7,0.857,6,10,0,0,1,4,19,35.2,1.542,0.6666666666666666,C,,133.8,131.2,106.7,107.8,27.1,0.176,0.313,0.242,0.063,0.667,2.0,0.114,0.771,95.85,95.39,0.135,74,79.49,0.116,"APR 20, 2024",240,44,88,0.5,12,32,0.375,20,22,0.909,13,39,52,26,8,2,14,24,120,121.60518848804212,9.0,6.0,28.0,0.44,1610612756.0,121.60518848804212,98.68,98.34,98.0,1,37.0,14.0,2.83,6.0,4.0,0.67,0.0,0.0,0.5,6.0,7.0,0.86,0.11,0.77,0.67,6.0,10.0,16.0,19.0,0.14,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,37.0,14.0,2.83,6.0,4.0,0.67,0.0,0.0,0.5,6.0,7.0,0.86,0.11,0.77,0.67,6.0,10.0,16.0,19.0,0.14,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,37.0,14.0,2.83,6.0,4.0,0.67,0.0,0.0,0.5,6.0,7.0,0.86,0.11,0.77,0.67,6.0,10.0,16.0,19.0,0.14,88.0,0.5,32.0,0.38,20.0,22.0,0.91,120.0,98.68,121.61,121.61,98.0,0.44,,,,,14.0,19.0,14.0,1,,434,121.61,9.0,6.0,-0.8449265425639044,0.6069037434594717,0,0.389,0.05,0.887,-0.24,0.018,0.101,0.089,7-1,258,0,0,1,85
27,27,Bol Bol,1629626,PHX @ MIN,PHX,1610612756,MIN,0,42300161,2024-04-20,L,4,0,0,1,0,1,0.0,0,0,,0,0,,0,1,0,0,0,0,-5,1.2,0.0,0.0,,,50.0,50.0,112.5,128.6,-62.5,0.0,1.0,0.167,0.0,0.0,0.0,0.125,0.0,99.54,106.18,0.0,8,88.48,0.125,"APR 20, 2024",240,33,75,0.44,9,28,0.321,20,25,0.8,3,25,28,16,9,6,15,19,95,96.93877551020408,8.0,2.0,52.0,0.5,1610612750.0,96.93877551020408,98.0,98.34,98.68,0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,0.12,0.0,0.0,0.0,1.0,1.0,-5.0,0.0,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,0.12,0.0,0.0,0.0,1.0,1.0,-5.0,0.0,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.5,0.12,0.0,0.0,0.0,1.0,1.0,-5.0,0.0,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,,,,,2.0,0.0,0.0,1,,434,96.94,8.0,2.0,1.1875823649780677,0.9513293786761312,1,,,,1.083,0.181,0.333,-0.429,7-3,220,0,1,1,87
46,46,Max Strus,1629622,CLE vs. ORL,CLE,1610612739,ORL,1,42300131,2024-04-20,W,33,7,1,9,3,8,0.375,1,5,0.2,0,0,,0,9,1,0,5,3,13,17.3,0.875,0.4375,F,,108.8,107.9,91.0,90.0,17.8,0.0,0.22,0.132,0.042,0.438,0.2,0.171,0.438,100.11,99.08,0.046,68,82.57,0.172,"APR 20, 2024",240,36,81,0.444,8,30,0.267,17,21,0.81,10,44,54,21,9,4,17,21,97,99.75318798848213,12.0,7.0,40.0,0.3255813953488372,1610612753.0,99.75318798848213,97.24,98.72,100.2,1,33.0,7.0,0.0,8.0,3.0,0.38,5.0,1.0,0.2,0.0,0.0,1.0,0.17,0.44,0.44,0.0,9.0,9.0,13.0,0.05,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,33.0,7.0,0.0,8.0,3.0,0.38,5.0,1.0,0.2,0.0,0.0,1.0,0.17,0.44,0.44,0.0,9.0,9.0,13.0,0.05,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,33.0,7.0,0.0,8.0,3.0,0.38,5.0,1.0,0.2,0.0,0.0,1.0,0.17,0.44,0.44,0.0,9.0,9.0,13.0,0.05,81.0,0.44,30.0,0.27,17.0,21.0,0.81,97.0,97.24,99.75,99.75,100.2,0.33,,,,,7.0,4.0,7.0,1,,434,99.75,12.0,7.0,0.9560724326638014,1.433113707261347,1,-0.688,-0.677,-0.909,0.315,0.043,-0.035,0.035,6-5,215,1,1,0,77
11,11,Kentavious Caldwell-Pope,203484,DEN vs. LAL,DEN,1610612743,LAL,1,42300151,2024-04-20,W,37,12,1,2,4,11,0.364,4,10,0.4,0,0,,0,2,3,0,0,3,14,24.9,1.091,0.5454545454545454,G,,129.2,125.9,108.2,109.1,20.9,0.0,0.065,0.029,0.028,0.545,0.0,0.128,0.545,94.97,94.14,0.046,72,78.45,0.13,"APR 20, 2024",240,47,102,0.461,15,42,0.357,5,6,0.833,15,34,49,27,7,4,4,20,114,121.74284493806068,3.0,7.0,40.0,0.4936708860759494,1610612747.0,121.74284493806068,93.64,93.5,93.36,1,37.0,12.0,4.24,11.0,4.0,0.36,10.0,4.0,0.4,0.0,0.0,1.0,0.13,0.55,0.55,0.0,2.0,2.0,14.0,0.05,102.0,0.46,42.0,0.36,5.0,6.0,0.83,114.0,93.64,121.74,121.74,93.36,0.49,37.0,12.0,4.24,11.0,4.0,0.36,10.0,4.0,0.4,0.0,0.0,1.0,0.13,0.55,0.55,0.0,2.0,2.0,14.0,0.05,102.0,0.46,42.0,0.36,5.0,6.0,0.83,114.0,93.64,121.74,121.74,93.36,0.49,37.0,12.0,4.24,11.0,4.0,0.36,10.0,4.0,0.4,0.0,0.0,1.0,0.13,0.55,0.55,0.0,2.0,2.0,14.0,0.05,102.0,0.46,42.0,0.36,5.0,6.0,0.83,114.0,93.64,121.74,121.74,93.36,0.49,,,,,12.0,5.0,12.0,1,,434,121.74,3.0,7.0,-0.8556369664787988,0.3624946661720813,0,-0.636,-0.689,-1.0,0.164,-0.017,-0.005,0.074,6-5,204,1,0,0,77
50,50,Gary Harris,203914,ORL @ CLE,ORL,1610612753,CLE,0,42300131,2024-04-20,L,33,0,0,2,0,6,0.0,0,5,0.0,0,0,,1,1,3,0,0,2,-12,11.4,0.0,0.0,G,,85.3,83.2,101.4,101.0,-16.2,0.023,0.037,0.028,0.0,0.0,0.0,0.077,0.0,100.72,99.3,-0.036,68,82.75,0.077,"APR 20, 2024",240,28,86,0.326,8,37,0.216,19,30,0.633,11,29,40,16,12,7,12,25,83,82.83433133732535,9.0,4.0,54.0,0.4444444444444444,1610612739.0,82.83433133732535,100.2,98.72,97.24,1,33.0,0.0,9.9,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,1.0,1.0,2.0,-12.0,-0.04,86.0,0.33,37.0,0.22,19.0,30.0,0.63,83.0,100.2,82.83,82.83,97.24,0.44,33.0,0.0,9.9,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,1.0,1.0,2.0,-12.0,-0.04,86.0,0.33,37.0,0.22,19.0,30.0,0.63,83.0,100.2,82.83,82.83,97.24,0.44,33.0,0.0,9.9,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.0,1.0,1.0,2.0,-12.0,-0.04,86.0,0.33,37.0,0.22,19.0,30.0,0.63,83.0,100.2,82.83,82.83,97.24,0.44,,,,,2.0,0.0,0.0,1,,434,82.83,9.0,4.0,2.3500752991255025,1.531294351931816,1,-1.0,-1.0,,-0.23,-0.002,0.162,-0.091,6-4,210,1,0,0,76
28,28,Drew Eubanks,1629234,PHX @ MIN,PHX,1610612756,MIN,0,42300161,2024-04-20,L,9,0,0,1,0,1,0.0,0,0,,0,0,,0,1,0,1,1,2,-14,3.2,0.0,0.0,,,63.2,64.4,144.4,126.0,-81.3,0.0,0.1,0.045,0.0,0.0,0.0,0.095,0.0,102.15,96.23,-0.102,19,80.19,0.102,"APR 20, 2024",240,33,75,0.44,9,28,0.321,20,25,0.8,3,25,28,16,9,6,15,19,95,96.93877551020408,8.0,2.0,52.0,0.5,1610612750.0,96.93877551020408,98.0,98.34,98.68,0,9.0,0.0,5.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,1.0,-14.0,-0.1,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,9.0,0.0,5.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,1.0,-14.0,-0.1,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,9.0,0.0,5.66,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,0.0,1.0,1.0,-14.0,-0.1,75.0,0.44,28.0,0.32,20.0,25.0,0.8,95.0,98.0,96.94,96.94,98.68,0.5,,,,,9.0,0.0,0.0,1,,434,96.94,8.0,2.0,1.1875823649780677,0.9513293786761312,1,,,,-0.406,-0.034,-0.333,-0.272,6-10,245,0,1,1,82
