,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,STARTING,MIN_ROLL_AVG_2,PTS_ROLL_AVG_2,PTS_STD_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,FG_PCT_ROLL_AVG_2,FG3A_ROLL_AVG_2,FG3M_ROLL_AVG_2,FG3_PCT_ROLL_AVG_2,FTM_ROLL_AVG_2,FTA_ROLL_AVG_2,FT_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,TS_PCT_ROLL_AVG_2,EFG_PCT_ROLL_AVG_2,OREB_ROLL_AVG_2,DREB_ROLL_AVG_2,REB_ROLL_AVG_2,PLUS_MINUS_ROLL_AVG_2,PIE_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG_PCT_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,TEAM_FG3_PCT_ROLL_AVG_2,TEAM_FTM_ROLL_AVG_2,TEAM_FTA_ROLL_AVG_2,TEAM_FT_PCT_ROLL_AVG_2,TEAM_PTS_ROLL_AVG_2,TEAM_PACE_ROLL_AVG_2,TEAM_OFF_RATING_ROLL_AVG_2,OPP_DEF_RATING_ROLL_AVG_2,OPP_PACE_ROLL_AVG_2,OPP_FG_PCT_ROLL_AVG_2,MIN_ROLL_AVG_4,PTS_ROLL_AVG_4,PTS_STD_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,FG_PCT_ROLL_AVG_4,FG3A_ROLL_AVG_4,FG3M_ROLL_AVG_4,FG3_PCT_ROLL_AVG_4,FTM_ROLL_AVG_4,FTA_ROLL_AVG_4,FT_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,TS_PCT_ROLL_AVG_4,EFG_PCT_ROLL_AVG_4,OREB_ROLL_AVG_4,DREB_ROLL_AVG_4,REB_ROLL_AVG_4,PLUS_MINUS_ROLL_AVG_4,PIE_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG_PCT_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,TEAM_FG3_PCT_ROLL_AVG_4,TEAM_FTM_ROLL_AVG_4,TEAM_FTA_ROLL_AVG_4,TEAM_FT_PCT_ROLL_AVG_4,TEAM_PTS_ROLL_AVG_4,TEAM_PACE_ROLL_AVG_4,TEAM_OFF_RATING_ROLL_AVG_4,OPP_DEF_RATING_ROLL_AVG_4,OPP_PACE_ROLL_AVG_4,OPP_FG_PCT_ROLL_AVG_4,MIN_ROLL_AVG_6,PTS_ROLL_AVG_6,PTS_STD_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,FG_PCT_ROLL_AVG_6,FG3A_ROLL_AVG_6,FG3M_ROLL_AVG_6,FG3_PCT_ROLL_AVG_6,FTM_ROLL_AVG_6,FTA_ROLL_AVG_6,FT_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,TS_PCT_ROLL_AVG_6,EFG_PCT_ROLL_AVG_6,OREB_ROLL_AVG_6,DREB_ROLL_AVG_6,REB_ROLL_AVG_6,PLUS_MINUS_ROLL_AVG_6,PIE_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG_PCT_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,TEAM_FG3_PCT_ROLL_AVG_6,TEAM_FTM_ROLL_AVG_6,TEAM_FTA_ROLL_AVG_6,TEAM_FT_PCT_ROLL_AVG_6,TEAM_PTS_ROLL_AVG_6,TEAM_PACE_ROLL_AVG_6,TEAM_OFF_RATING_ROLL_AVG_6,OPP_DEF_RATING_ROLL_AVG_6,OPP_PACE_ROLL_AVG_6,OPP_FG_PCT_ROLL_AVG_6,PTS_LAG_1,PTS_LAG_2,PTS_LAG_3,PTS_LAG_4,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,MATCHUP_AVG_PTS_LAST_3,GAMES_VS_OPP,DAYS_OF_REST,DAYS_AGO,OPP_ROLL_OPP_DEF_RATING_5,OPP_ROLL_OPP_STL_5,OPP_ROLL_OPP_BLK_5,NORMALIZED_DEF_RATING,OPP_DEF_STRENGTH,DEF_CATEGORY,PTS_VS_DEF,FGA_VS_DEF,FTA_VS_DEF,FG3A_VS_DEF,USG_PCT_VS_DEF,GUARD,FORWARD,CENTER
41,41,LeBron James,2544,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,36,19,3,5,8,18,0.444,1,5,0.2,2,2,1.0,1,4,2,3,4,0,-22,40.5,1.006,0.4722222222222222,F,,108.7,108.3,142.6,143.4,-34.0,0.029,0.138,0.078,0.158,0.472,0.75,0.278,0.503,90.65,90.7,0.099,69,75.59,0.285,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,1,36.0,19.0,1.41,18.0,8.0,0.44,5.0,1.0,0.2,2.0,2.0,1.0,0.28,0.5,0.47,1.0,4.0,5.0,-22.0,0.1,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,36.0,19.0,1.41,18.0,8.0,0.44,5.0,1.0,0.2,2.0,2.0,1.0,0.28,0.5,0.47,1.0,4.0,5.0,-22.0,0.1,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,36.0,19.0,1.41,18.0,8.0,0.44,5.0,1.0,0.2,2.0,2.0,1.0,0.28,0.5,0.47,1.0,4.0,5.0,-22.0,0.1,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,,,,,19.0,38.0,19.0,1,,67,105.51,8.0,4.0,0.46455147432351457,0.7585346051519006,1,-0.278,-0.1,-0.667,-0.21,-0.041,0,1,0
60,60,Christian Braun,1631128,DEN vs. LAC,DEN,1610612743,LAC,1,42400171,2025-04-19,W,45,11,1,3,5,10,0.5,1,4,0.25,0,0,,1,2,2,0,0,4,5,22.1,1.1,0.55,G,,117.4,115.6,112.9,112.0,4.5,0.022,0.054,0.036,0.029,0.55,0.0,0.098,0.55,92.07,90.96,0.041,86,75.8,0.102,"APR 19, 2025",265,41,94,0.436,9,27,0.333,21,27,0.778,12,33,45,24,11,1,11,18,112,106.78871090770406,7.0,6.0,44.0,0.5,1610612746,106.78871090770406,104.88,103.46,102.04,1,45.0,11.0,4.24,10.0,5.0,0.5,4.0,1.0,0.25,0.0,0.0,0.5,0.1,0.55,0.55,1.0,2.0,3.0,5.0,0.04,94.0,0.44,27.0,0.33,21.0,27.0,0.78,112.0,104.88,106.79,106.79,102.04,0.5,45.0,11.0,4.24,10.0,5.0,0.5,4.0,1.0,0.25,0.0,0.0,0.5,0.1,0.55,0.55,1.0,2.0,3.0,5.0,0.04,94.0,0.44,27.0,0.33,21.0,27.0,0.78,112.0,104.88,106.79,106.79,102.04,0.5,45.0,11.0,4.24,10.0,5.0,0.5,4.0,1.0,0.25,0.0,0.0,0.5,0.1,0.55,0.55,1.0,2.0,3.0,5.0,0.04,94.0,0.44,27.0,0.33,21.0,27.0,0.78,112.0,104.88,106.79,106.79,102.04,0.5,,,,,11.0,9.0,11.0,1,,67,106.79,7.0,6.0,0.3585667707087768,0.8141726618169877,1,-0.077,-0.048,-1.0,-0.226,-0.3,1,0,0
55,55,Landry Shamet,1629013,NYK vs. DET,NYK,1610612752,DET,1,42400121,2025-04-19,W,10,2,0,0,1,2,0.5,0,0,,0,0,,0,0,0,0,1,0,-6,1.0,1.0,0.5,,,108.7,102.8,134.8,142.5,-26.1,0.0,0.0,0.0,0.0,0.5,0.0,0.115,0.5,108.25,108.06,0.0,23,90.05,0.114,"APR 19, 2025",240,49,93,0.527,10,26,0.385,15,17,0.882,8,28,36,26,12,9,9,21,123,121.20614899487585,6.0,9.0,37.0,0.4767441860465116,1610612765,121.20614899487585,101.48,102.14,102.8,0,10.0,2.0,1.41,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.5,0.5,0.0,0.0,0.0,-6.0,0.0,93.0,0.53,26.0,0.38,15.0,17.0,0.88,123.0,101.48,121.21,121.21,102.8,0.48,10.0,2.0,1.41,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.5,0.5,0.0,0.0,0.0,-6.0,0.0,93.0,0.53,26.0,0.38,15.0,17.0,0.88,123.0,101.48,121.21,121.21,102.8,0.48,10.0,2.0,1.41,2.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.12,0.5,0.5,0.0,0.0,0.0,-6.0,0.0,93.0,0.53,26.0,0.38,15.0,17.0,0.88,123.0,101.48,121.21,121.21,102.8,0.48,,,,,2.0,0.0,2.0,1,,67,121.21,6.0,9.0,-0.8354171559510015,0.5737150329672641,0,0.25,0.25,,-1.0,0.438,1,0,0
10,10,Gary Trent Jr.,1629018,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,27,14,2,2,6,11,0.545,2,7,0.286,0,0,,0,2,1,0,0,1,-4,22.4,1.273,0.6363636363636364,,,101.9,101.6,107.4,111.2,-5.5,0.0,0.071,0.035,0.154,0.636,0.0,0.186,0.636,93.88,95.38,0.139,53,79.48,0.192,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,0,27.0,14.0,7.07,11.0,6.0,0.55,7.0,2.0,0.29,0.0,0.0,1.0,0.19,0.64,0.64,0.0,2.0,2.0,-4.0,0.14,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,27.0,14.0,7.07,11.0,6.0,0.55,7.0,2.0,0.29,0.0,0.0,1.0,0.19,0.64,0.64,0.0,2.0,2.0,-4.0,0.14,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,27.0,14.0,7.07,11.0,6.0,0.55,7.0,2.0,0.29,0.0,0.0,1.0,0.19,0.64,0.64,0.0,2.0,2.0,-4.0,0.14,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,,,,,37.0,14.0,14.0,1,,67,99.67,6.0,6.0,0.9481066845657556,0.9685108133055743,1,0.0,0.0,,0.0,-0.021,1,0,0
37,37,Jarred Vanderbilt,1629020,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,14,2,2,4,1,3,0.333,0,0,,0,0,,2,2,1,0,0,0,-2,12.8,0.667,0.3333333333333333,,,141.7,143.8,150.0,144.7,-8.3,0.182,0.2,0.19,0.182,0.333,0.0,0.107,0.333,86.17,85.25,0.088,24,71.04,0.113,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,0,14.0,2.0,1.41,3.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.33,0.33,2.0,2.0,4.0,-2.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,14.0,2.0,1.41,3.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.33,0.33,2.0,2.0,4.0,-2.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,14.0,2.0,1.41,3.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.5,0.11,0.33,0.33,2.0,2.0,4.0,-2.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,,,,,2.0,3.0,2.0,1,,67,105.51,8.0,4.0,0.46455147432351457,0.7585346051519006,1,0.0,0.0,,,-0.027,0,1,0
12,12,Pascal Siakam,1627783,IND vs. MIL,IND,1610612754,MIL,1,42400131,2025-04-19,W,33,25,2,7,10,15,0.667,3,5,0.6,2,2,1.0,0,7,1,1,1,4,28,41.4,1.574,0.7666666666666667,F,,122.9,128.7,82.9,87.2,40.0,0.0,0.206,0.111,0.1,0.767,2.0,0.213,0.787,97.21,102.11,0.2,70,85.09,0.223,"APR 19, 2025",240,42,81,0.519,13,34,0.382,20,26,0.769,5,38,43,28,6,6,5,22,117,126.56858502812636,4.0,3.0,41.0,0.4166666666666667,1610612749,126.56858502812636,92.44,95.38,98.32,1,33.0,25.0,0.71,15.0,10.0,0.67,5.0,3.0,0.6,2.0,2.0,1.0,0.21,0.79,0.77,0.0,7.0,7.0,28.0,0.2,81.0,0.52,34.0,0.38,20.0,26.0,0.77,117.0,92.44,126.57,126.57,98.32,0.42,33.0,25.0,0.71,15.0,10.0,0.67,5.0,3.0,0.6,2.0,2.0,1.0,0.21,0.79,0.77,0.0,7.0,7.0,28.0,0.2,81.0,0.52,34.0,0.38,20.0,26.0,0.77,117.0,92.44,126.57,126.57,98.32,0.42,33.0,25.0,0.71,15.0,10.0,0.67,5.0,3.0,0.6,2.0,2.0,1.0,0.21,0.79,0.77,0.0,7.0,7.0,28.0,0.2,81.0,0.52,34.0,0.38,20.0,26.0,0.77,117.0,92.44,126.57,126.57,98.32,0.42,,,,,25.0,28.0,25.0,1,,67,126.57,4.0,3.0,-1.2792281023377154,-0.05799658842367098,0,0.111,-0.022,-0.6,0.462,-0.112,0,1,0
34,34,James Harden,201935,LAC @ DEN,LAC,1610612746,DEN,0,42400171,2025-04-19,L,43,32,11,6,11,22,0.5,4,9,0.444,6,6,1.0,0,6,0,1,2,5,0,56.7,1.299,0.5909090909090909,G,,116.0,117.1,116.0,115.4,0.0,0.0,0.14,0.076,0.423,0.591,5.5,0.289,0.649,90.71,90.84,0.179,81,75.7,0.295,"APR 19, 2025",265,43,86,0.5,12,33,0.364,12,16,0.75,11,33,44,25,7,6,20,25,110,107.80086240689926,11.0,1.0,45.0,0.4361702127659574,1610612743,107.80086240689926,102.04,103.46,104.88,1,43.0,32.0,9.9,22.0,11.0,0.5,9.0,4.0,0.44,6.0,6.0,1.0,0.29,0.65,0.59,0.0,6.0,6.0,0.0,0.18,86.0,0.5,33.0,0.36,12.0,16.0,0.75,110.0,102.04,107.8,107.8,104.88,0.44,43.0,32.0,9.9,22.0,11.0,0.5,9.0,4.0,0.44,6.0,6.0,1.0,0.29,0.65,0.59,0.0,6.0,6.0,0.0,0.18,86.0,0.5,33.0,0.36,12.0,16.0,0.75,110.0,102.04,107.8,107.8,104.88,0.44,43.0,32.0,9.9,22.0,11.0,0.5,9.0,4.0,0.44,6.0,6.0,1.0,0.29,0.65,0.59,0.0,6.0,6.0,0.0,0.18,86.0,0.5,33.0,0.36,12.0,16.0,0.75,110.0,102.04,107.8,107.8,104.88,0.44,,,,,20.0,32.0,32.0,1,,67,107.8,11.0,1.0,0.2749382155127736,0.6221434784389304,0,0.548,0.419,0.161,0.349,0.204,1,0,0
71,71,Luka Dončić,1629029,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,40,37,1,8,12,22,0.545,5,10,0.5,8,9,0.889,1,7,2,0,5,3,-12,49.1,1.425,0.6590909090909091,G,,110.4,108.1,126.0,126.8,-15.6,0.025,0.189,0.104,0.059,0.659,0.2,0.352,0.713,92.19,91.52,0.166,77,76.27,0.358,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,1,40.0,37.0,4.24,22.0,12.0,0.55,10.0,5.0,0.5,8.0,9.0,0.89,0.35,0.71,0.66,1.0,7.0,8.0,-12.0,0.17,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,40.0,37.0,4.24,22.0,12.0,0.55,10.0,5.0,0.5,8.0,9.0,0.89,0.35,0.71,0.66,1.0,7.0,8.0,-12.0,0.17,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,40.0,37.0,4.24,22.0,12.0,0.55,10.0,5.0,0.5,8.0,9.0,0.89,0.35,0.71,0.66,1.0,7.0,8.0,-12.0,0.17,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,,,,,37.0,17.0,37.0,1,,67,105.51,8.0,4.0,0.46455147432351457,0.7585346051519006,1,0.354,0.178,-0.035,0.153,0.135,1,1,0
36,36,Rui Hachimura,1629060,LAL vs. MIN,LAL,1610612747,MIN,1,42400161,2025-04-19,L,30,9,2,5,3,9,0.333,3,7,0.429,0,0,,0,5,0,0,1,0,-26,17.0,1.0,0.5,F,,79.3,80.1,126.3,124.9,-47.0,0.0,0.179,0.081,0.167,0.5,2.0,0.154,0.5,93.12,93.09,0.087,58,77.57,0.16,"APR 19, 2025",240,33,83,0.398,15,41,0.366,14,16,0.875,13,25,38,15,5,4,13,10,95,105.50866281652598,8.0,4.0,44.0,0.5116279069767442,1610612750,105.50866281652598,90.04,89.72,89.4,1,30.0,9.0,1.41,9.0,3.0,0.33,7.0,3.0,0.43,0.0,0.0,1.0,0.15,0.5,0.5,0.0,5.0,5.0,-26.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,30.0,9.0,1.41,9.0,3.0,0.33,7.0,3.0,0.43,0.0,0.0,1.0,0.15,0.5,0.5,0.0,5.0,5.0,-26.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,30.0,9.0,1.41,9.0,3.0,0.33,7.0,3.0,0.43,0.0,0.0,1.0,0.15,0.5,0.5,0.0,5.0,5.0,-26.0,0.09,83.0,0.4,41.0,0.37,14.0,16.0,0.88,95.0,90.04,105.51,105.51,89.4,0.51,,,,,9.0,8.0,9.0,1,,67,105.51,8.0,4.0,0.46455147432351457,0.7585346051519006,1,0.059,0.125,,0.273,0.1,0,1,0
25,25,Taurean Prince,1627752,MIL @ IND,MIL,1610612749,IND,0,42400131,2025-04-19,L,20,0,3,2,0,1,0.0,0,1,0.0,0,0,,0,2,0,0,1,0,-15,5.9,0.0,0.0,G,,100.0,99.6,140.0,138.2,-40.0,0.0,0.143,0.057,0.2,0.0,3.0,0.043,0.0,99.93,99.1,0.032,41,82.58,0.044,"APR 19, 2025",240,35,84,0.417,9,37,0.243,19,28,0.679,8,33,41,15,4,3,10,20,98,99.67453213995118,6.0,6.0,43.0,0.5185185185185185,1610612754,99.67453213995118,98.32,95.38,92.44,1,20.0,0.0,4.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,2.0,2.0,-15.0,0.03,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,20.0,0.0,4.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,2.0,2.0,-15.0,0.03,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,20.0,0.0,4.24,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.04,0.0,0.0,0.0,2.0,2.0,-15.0,0.03,84.0,0.42,37.0,0.24,19.0,28.0,0.68,98.0,98.32,99.67,99.67,92.44,0.52,,,,,0.0,0.0,0.0,1,,67,99.67,6.0,6.0,0.9481066845657556,0.9685108133055743,1,,0.0,,0.0,0.075,0,1,0
