,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,IS_PLAYOFF,STARTING,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,TEAM_DAYS_REST,TEAM_B2B,PLAYER_DAYS_REST,PLAYER_B2B,PLAYER_MISSED_LAST,TEAM__ATL,TEAM__BKN,TEAM__BOS,TEAM__CHI,TEAM__DAL,TEAM__DEN,TEAM__GSW,TEAM__MEM,TEAM__MIA,TEAM__MIL,TEAM__MIN,TEAM__NOP,TEAM__PHI,TEAM__PHX,TEAM__TOR,TEAM__UTA,OPP__ATL,OPP__BKN,OPP__BOS,OPP__CHI,OPP__DAL,OPP__DEN,OPP__GSW,OPP__MEM,OPP__MIA,OPP__MIL,OPP__MIN,OPP__NOP,OPP__PHI,OPP__PHX,OPP__TOR,OPP__UTA,MATCHUP_AVG_PTS_LAST_3,GAMES_VS_OPP,MIN_ROLL_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,FG_PCT_ROLL_AVG_2,FG3A_ROLL_AVG_2,FG3M_ROLL_AVG_2,FG3_PCT_ROLL_AVG_2,FTM_ROLL_AVG_2,FTA_ROLL_AVG_2,FT_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,TS_PCT_ROLL_AVG_2,EFG_PCT_ROLL_AVG_2,TEAM_PACE_ROLL_AVG_2,TEAM_OFF_RATING_ROLL_AVG_2,OPP_DEF_RATING_ROLL_AVG_2,MIN_ROLL_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,FG_PCT_ROLL_AVG_4,FG3A_ROLL_AVG_4,FG3M_ROLL_AVG_4,FG3_PCT_ROLL_AVG_4,FTM_ROLL_AVG_4,FTA_ROLL_AVG_4,FT_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,TS_PCT_ROLL_AVG_4,EFG_PCT_ROLL_AVG_4,TEAM_PACE_ROLL_AVG_4,TEAM_OFF_RATING_ROLL_AVG_4,OPP_DEF_RATING_ROLL_AVG_4,MIN_ROLL_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,FG_PCT_ROLL_AVG_6,FG3A_ROLL_AVG_6,FG3M_ROLL_AVG_6,FG3_PCT_ROLL_AVG_6,FTM_ROLL_AVG_6,FTA_ROLL_AVG_6,FT_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,TS_PCT_ROLL_AVG_6,EFG_PCT_ROLL_AVG_6,TEAM_PACE_ROLL_AVG_6,TEAM_OFF_RATING_ROLL_AVG_6,OPP_DEF_RATING_ROLL_AVG_6,PLAYER_HOME_AVG_PTS,PLAYER_AWAY_AVG_PTS,PTS_LAG_1,PTS_LAG_2,PTS_LAG_3,PTS_LAG_4,DEF_CATEGORY,PTS_VS_DEF_STRONG,PTS_VS_DEF_WEAK,PTS_VS_DEF_DIFF,FGA_VS_DEF_STRONG,FGA_VS_DEF_WEAK,FGA_VS_DEF_DIFF,FTA_VS_DEF_STRONG,FTA_VS_DEF_WEAK,FTA_VS_DEF_DIFF,FG3A_VS_DEF_STRONG,FG3A_VS_DEF_WEAK,FG3A_VS_DEF_DIFF,USG_PCT_VS_DEF_STRONG,USG_PCT_VS_DEF_WEAK,USG_PCT_VS_DEF_DIFF,TOV_VS_DEF_STRONG,TOV_VS_DEF_WEAK,TOV_VS_DEF_DIFF,MATCHUP_KEY,SERIES,GAME_IN_SERIES,SERIES_NAME,TEAM_STARTER_OFF_RATING_AVG,TEAM_STARTER_DEF_RATING_AVG,TEAM_STARTER_USG_PCT_AVG,NUM_USUAL_STARTERS_PRESENT,TEAM_ID_OPP,NUM_USUAL_STARTERS_PRESENT_OPP,TEAM_ID_OPP,OPP_STARTER_AVG_DEF_RATING,TEAM_ID_OPP,OPP_GUARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_FORWARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_CENTERS_AVG_DEF_RATING_OPP,TEAM_STARTER_SPACING_METRIC,TEAM_STARTER_PACE,TEAM_ID_OPP,OPP_STARTER_PACE,PACE_EXPECTATION,IS_STAR,NUM_STARS_ON_TEAM
0,Andre Iguodala,2738,GSW @ DEN,GSW,1610612744,DEN,0,42100163,2022-04-21,W,16,4,3,4,1,1,1.0,0,0,,2,3,0.667,2,2,0,1,1,1,-8,15.3,1.724,1.0,,,106.1,118.6,122.9,126.8,-16.8,0.143,0.167,0.154,0.273,1.0,3.0,0.086,0.862,93.26,99.96,0.124,33,83.3,0.095,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743.0,120.01627339300244,98.32,98.1,97.88,1,0,6-6,215.0,1,1,0,3.0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0,2,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.03,0.0,0.0,96.76,127.12,127.12,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.03,0.0,0.0,96.76,127.12,127.12,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.67,0.03,0.0,0.0,96.76,127.12,127.12,3.5,4.0,0.0,,,,0,1.75,2.0,0.25,1.0,2.0,1.0,0.0,1.5,1.5,0.25,0.5,0.25,0.04,0.13,0.09,0.25,1.5,1.25,DEN-GSW,1,2,First Round,111.02000000000001,109.82000000000001,0.1504,4,1610612743,5,1610612743,115.08,1610612743,119.85,1610612743,111.5,1610612743.0,112.7,0.47375,101.938,1610612743,99.5,100.719,0,1
1,Mike Conley,201144,UTA vs. DAL,UTA,1610612762,DAL,1,42100173,2022-04-21,L,35,21,6,2,6,14,0.429,2,7,0.286,7,8,0.875,0,2,2,1,4,5,-16,37.4,1.199,0.5,G,,101.4,102.0,126.8,121.8,-25.4,0.0,0.067,0.034,0.353,0.5,1.5,0.289,0.599,99.89,98.23,0.112,73,81.86,0.299,"APR 21, 2022",240,39,69,0.565,9,28,0.321,31,33,0.939,1,31,32,20,2,4,14,28,118,122.25445503522587,10.0,1.0,32.0,0.4939759036144578,1610612742.0,122.25445503522587,96.52,97.58,98.64,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.33,3,28.5,9.5,3.0,0.25,2.5,0.5,0.25,0.0,0.0,0.88,0.16,0.27,0.27,91.96,110.5,110.5,28.5,9.5,3.0,0.25,2.5,0.5,0.25,0.0,0.0,0.88,0.16,0.27,0.27,91.96,110.5,110.5,28.5,9.5,3.0,0.25,2.5,0.5,0.25,0.0,0.0,0.88,0.16,0.27,0.27,91.96,110.5,110.5,21.0,5.67,0.0,13.0,,,1,8.4,0.0,-8.4,9.0,0.0,-9.0,3.0,0.0,-3.0,4.6,0.0,-4.6,0.19,0.0,-0.19,1.8,0.0,-1.8,DAL-UTA,1,2,First Round,114.94000000000001,126.84,0.2112,5,1610612742,4,1610612742,117.38,1610612742,124.3,1610612742,113.10000000000001,1610612742.0,92.9,0.3273333333333333,96.83200000000001,1610612742,95.47200000000001,96.15200000000002,0,2
2,Jeff Green,201145,DEN vs. GSW,DEN,1610612743,GSW,1,42100163,2022-04-21,L,22,4,0,2,1,5,0.2,0,2,0.0,2,2,1.0,0,2,1,1,2,1,3,10.4,0.68,0.2,F,,120.0,122.0,113.3,112.1,6.7,0.0,0.091,0.049,0.0,0.2,0.0,0.154,0.34,97.09,97.35,0.006,45,81.12,0.159,"APR 21, 2022",240,40,80,0.5,11,26,0.423,22,27,0.815,11,33,44,25,9,3,17,26,113,115.44748671843077,7.0,6.0,30.0,0.5540540540540541,1610612744.0,115.44748671843077,97.88,98.1,98.32,1,1,6-8,235.0,0,1,0,3.0,0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.67,3,23.0,3.0,1.5,0.5,2.5,1.5,0.67,0.5,1.0,0.5,0.06,0.7,0.75,97.48,109.3,109.3,23.0,3.0,1.5,0.5,2.5,1.5,0.67,0.5,1.0,0.5,0.06,0.7,0.75,97.48,109.3,109.3,23.0,3.0,1.5,0.5,2.5,1.5,0.67,0.5,1.0,0.5,0.06,0.7,0.75,97.48,109.3,109.3,4.0,4.0,3.0,7.0,,,1,3.0,0.0,-3.0,3.5,0.0,-3.5,0.75,0.0,-0.75,1.5,0.0,-1.5,0.08,0.0,-0.08,0.5,0.0,-0.5,DEN-GSW,1,2,First Round,115.8,115.08,0.2082,5,1610612744,4,1610612744,109.82000000000001,1610612744,116.0,1610612744,105.7,,,0.45920000000000005,99.5,1610612744,101.938,100.719,0,0
3,Stephen Curry,201939,GSW @ DEN,GSW,1610612744,DEN,0,42100163,2022-04-21,W,31,27,6,3,9,17,0.529,3,9,0.333,6,8,0.75,0,3,0,0,4,3,3,35.6,1.316,0.6176470588235294,,,121.2,120.2,122.2,122.6,-1.0,0.0,0.111,0.055,0.333,0.618,1.5,0.343,0.658,101.07,100.79,0.138,66,83.99,0.34,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743.0,120.01627339300244,98.32,98.1,97.88,1,0,6-2,185.0,1,0,0,0.0,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.67,3,22.5,15.0,8.5,0.55,8.0,4.0,0.5,4.0,5.0,0.86,0.34,0.7,0.68,97.16,128.13,128.13,22.5,15.0,8.5,0.55,8.0,4.0,0.5,4.0,5.0,0.86,0.34,0.7,0.68,97.16,128.13,128.13,22.5,15.0,8.5,0.55,8.0,4.0,0.5,4.0,5.0,0.86,0.34,0.7,0.68,97.16,128.13,128.13,26.67,27.0,34.0,16.0,,,0,27.18,31.0,3.82,20.47,19.75,-0.72,5.29,9.0,3.71,10.71,10.25,-0.46,0.29,0.35,0.06,2.53,3.25,0.72,DEN-GSW,1,2,First Round,111.02000000000001,109.82000000000001,0.1504,4,1610612743,5,1610612743,115.08,1610612743,119.85,1610612743,111.5,1610612743.0,112.7,0.47375,101.938,1610612743,99.5,100.719,1,1
4,Patrick Beverley,201976,MIN vs. MEM,MIN,1610612750,MEM,1,42100153,2022-04-21,L,34,14,5,2,5,13,0.385,0,5,0.0,4,5,0.8,0,2,3,2,2,4,0,36.9,0.921,0.3846153846153846,G,,98.5,94.9,95.6,89.1,2.9,0.0,0.049,0.026,0.294,0.385,2.5,0.23,0.461,100.65,95.38,0.107,66,79.49,0.231,"APR 21, 2022",240,33,85,0.388,12,35,0.343,17,23,0.739,9,32,41,21,11,11,16,28,95,93.02781041911476,7.0,9.0,48.0,0.4216867469879518,1610612763.0,93.02781041911476,102.12,101.88,101.64,1,1,6-2,180.0,1,0,0,2.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.0,3,28.5,7.0,2.5,0.33,3.5,1.0,0.2,2.0,2.0,1.0,0.13,0.51,0.4,106.1,106.16,106.16,28.5,7.0,2.5,0.33,3.5,1.0,0.2,2.0,2.0,1.0,0.13,0.51,0.4,106.1,106.16,106.16,28.5,7.0,2.5,0.33,3.5,1.0,0.2,2.0,2.0,1.0,0.13,0.51,0.4,106.1,106.16,106.16,14.0,8.33,6.0,10.0,,,1,12.5,6.0,-6.5,8.75,6.0,-2.75,4.5,4.0,-0.5,4.75,2.0,-2.75,0.17,0.12,-0.05,2.5,0.0,-2.5,MEM-MIN,1,2,First Round,103.22,103.64000000000001,0.1936,5,1610612763,4,1610612763,91.82000000000001,1610612763,96.75,1610612763,92.46666666666665,1610612763.0,72.1,0.236,95.298,1610612763,97.012,96.155,0,1
5,DeMarcus Cousins,202326,DEN vs. GSW,DEN,1610612743,GSW,1,42100163,2022-04-21,L,10,9,0,3,3,4,0.75,0,1,0.0,3,3,1.0,0,3,0,0,3,1,-6,9.6,1.692,0.75,,,105.0,110.1,128.6,147.4,-23.6,0.0,0.75,0.333,0.0,0.75,0.0,0.381,0.846,94.19,103.25,0.182,20,86.04,0.419,"APR 21, 2022",240,40,80,0.5,11,26,0.423,22,27,0.815,11,33,44,25,9,3,17,26,113,115.44748671843077,7.0,6.0,30.0,0.5540540540540541,1610612744.0,115.44748671843077,97.88,98.1,98.32,1,0,6-10,270.0,0,0,1,0.0,1,3.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.0,3,11.0,5.0,2.5,0.5,1.0,1.0,1.0,1.5,2.0,0.75,0.27,0.64,0.6,97.48,109.3,109.3,11.0,5.0,2.5,0.5,1.0,1.0,1.0,1.5,2.0,0.75,0.27,0.64,0.6,97.48,109.3,109.3,11.0,5.0,2.5,0.5,1.0,1.0,1.0,1.5,2.0,0.75,0.27,0.64,0.6,97.48,109.3,109.3,9.0,11.33,8.0,7.0,,,1,11.5,0.0,-11.5,6.0,0.0,-6.0,3.25,0.0,-3.25,1.25,0.0,-1.25,0.33,0.0,-0.33,1.75,0.0,-1.75,DEN-GSW,1,2,First Round,115.8,115.08,0.2082,5,1610612744,4,1610612744,109.82000000000001,1610612744,116.0,1610612744,105.7,,,0.45920000000000005,99.5,1610612744,101.938,100.719,0,0
6,Greg Monroe,202328,MIN vs. MEM,MIN,1610612750,MEM,1,42100153,2022-04-21,L,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,240.0,0.0,1,200.0,0.0,"APR 21, 2022",240,33,85,0.388,12,35,0.343,17,23,0.739,9,32,41,21,11,11,16,28,95,93.02781041911476,7.0,9.0,48.0,0.4216867469879518,1610612763.0,93.02781041911476,102.12,101.88,101.64,1,0,6-10,250.0,0,1,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,102.12,93.03,93.03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,102.12,93.03,93.03,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,102.12,93.03,93.03,0.0,,,,,,1,2.0,0.0,-2.0,2.5,0.0,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.2,0.5,0.0,-0.5,MEM-MIN,1,2,First Round,103.22,103.64000000000001,0.1936,5,1610612763,4,1610612763,91.82000000000001,1610612763,96.75,1610612763,92.46666666666665,1610612763.0,72.1,0.236,95.298,1610612763,97.012,96.155,0,1
7,Hassan Whiteside,202355,UTA vs. DAL,UTA,1610612762,DAL,1,42100173,2022-04-21,L,7,2,0,1,1,1,1.0,0,0,,0,0,,0,1,0,1,0,0,-1,6.2,2.0,1.0,,,150.0,152.6,169.2,153.6,-19.2,0.0,0.143,0.091,0.0,1.0,0.0,0.067,1.0,92.74,89.17,0.083,14,74.31,0.073,"APR 21, 2022",240,39,69,0.565,9,28,0.321,31,33,0.939,1,31,32,20,2,4,14,28,118,122.25445503522587,10.0,1.0,32.0,0.4939759036144578,1610612742.0,122.25445503522587,96.52,97.58,98.64,1,0,7-0,265.0,0,0,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.33,3,12.0,2.5,1.0,0.42,0.0,0.0,0.0,0.5,1.0,0.5,0.12,0.43,0.42,91.96,110.5,110.5,12.0,2.5,1.0,0.42,0.0,0.0,0.0,0.5,1.0,0.5,0.12,0.43,0.42,91.96,110.5,110.5,12.0,2.5,1.0,0.42,0.0,0.0,0.0,0.5,1.0,0.5,0.12,0.43,0.42,91.96,110.5,110.5,2.0,2.33,2.0,3.0,,,1,1.6,0.0,-1.6,2.0,0.0,-2.0,0.4,0.0,-0.4,0.0,0.0,0.0,0.09,0.0,-0.09,0.0,0.0,0.0,DAL-UTA,1,2,First Round,114.94000000000001,126.84,0.2112,5,1610612742,4,1610612742,117.38,1610612742,124.3,1610612742,113.10000000000001,1610612742.0,92.9,0.3273333333333333,96.83200000000001,1610612742,95.47200000000001,96.15200000000002,0,2
8,Nemanja Bjelica,202357,GSW @ DEN,GSW,1610612744,DEN,0,42100163,2022-04-21,W,12,2,2,1,0,2,0.0,0,0,,2,2,1.0,0,1,0,1,0,2,1,9.2,0.694,0.0,,,114.8,123.0,125.0,128.9,-10.2,0.0,0.143,0.071,0.182,0.0,0.0,0.111,0.347,95.27,100.22,0.031,27,83.52,0.119,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743.0,120.01627339300244,98.32,98.1,97.88,1,0,6-9,234.0,0,1,0,0.0,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.67,3,15.5,6.0,4.0,0.67,1.5,0.0,0.0,1.0,2.5,0.4,0.23,0.66,0.67,97.16,128.13,128.13,15.5,6.0,4.0,0.67,1.5,0.0,0.0,1.0,2.5,0.4,0.23,0.66,0.67,97.16,128.13,128.13,15.5,6.0,4.0,0.67,1.5,0.0,0.0,1.0,2.5,0.4,0.23,0.66,0.67,97.16,128.13,128.13,6.0,2.0,10.0,8.0,,,0,2.09,4.0,1.91,1.73,3.0,1.27,0.0,0.67,0.67,0.45,0.33,-0.12,0.13,0.11,-0.02,0.45,0.0,-0.45,DEN-GSW,1,2,First Round,111.02000000000001,109.82000000000001,0.1504,4,1610612743,5,1610612743,115.08,1610612743,119.85,1610612743,111.5,1610612743.0,112.7,0.47375,101.938,1610612743,99.5,100.719,0,1
9,Klay Thompson,202691,GSW @ DEN,GSW,1610612744,DEN,0,42100163,2022-04-21,W,37,26,1,1,10,18,0.556,6,13,0.462,0,0,,0,1,0,2,1,0,2,33.7,1.444,0.7222222222222222,G,,116.0,119.0,116.5,116.8,-0.4,0.0,0.03,0.016,0.045,0.722,1.0,0.226,0.722,101.09,102.5,0.125,81,85.41,0.232,"APR 21, 2022",240,41,74,0.554,18,40,0.45,18,28,0.643,4,26,30,29,7,6,16,25,118,120.01627339300244,9.0,3.0,44.0,0.5,1610612743.0,120.01627339300244,98.32,98.1,97.88,1,1,6-5,220.0,1,0,0,0.0,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.0,3,32.5,17.0,8.0,0.47,9.0,4.0,0.44,0.0,0.0,0.5,0.26,0.59,0.59,97.16,128.13,128.13,32.5,17.0,8.0,0.47,9.0,4.0,0.44,0.0,0.0,0.5,0.26,0.59,0.59,97.16,128.13,128.13,32.5,17.0,8.0,0.47,9.0,4.0,0.44,0.0,0.0,0.5,0.26,0.59,0.59,97.16,128.13,128.13,18.33,26.0,21.0,19.0,,,0,18.0,23.5,5.5,16.65,17.5,0.85,1.41,1.5,0.09,8.94,9.5,0.56,0.22,0.24,0.02,1.29,0.75,-0.54,DEN-GSW,1,2,First Round,111.02000000000001,109.82000000000001,0.1504,4,1610612743,5,1610612743,115.08,1610612743,119.85,1610612743,111.5,1610612743.0,112.7,0.47375,101.938,1610612743,99.5,100.719,0,1
