,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,IS_PLAYOFF,STARTING,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,TEAM_DAYS_REST,TEAM_B2B,PLAYER_DAYS_REST,PLAYER_B2B,PLAYER_MISSED_LAST,TEAM__ATL,TEAM__BKN,TEAM__BOS,TEAM__DAL,TEAM__DEN,TEAM__LAC,TEAM__LAL,TEAM__MEM,TEAM__MIA,TEAM__MIL,TEAM__NYK,TEAM__PHI,TEAM__PHX,TEAM__POR,TEAM__UTA,TEAM__WAS,OPP__ATL,OPP__BKN,OPP__BOS,OPP__DAL,OPP__DEN,OPP__LAC,OPP__LAL,OPP__MEM,OPP__MIA,OPP__MIL,OPP__NYK,OPP__PHI,OPP__PHX,OPP__POR,OPP__UTA,OPP__WAS,MATCHUP_AVG_REB_LAST_3,GAMES_VS_OPP,MIN_ROLL_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,OREB_PCT_ROLL_AVG_2,DREB_PCT_ROLL_AVG_2,REB_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,POSS_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,TEAM_FG_PCT_ROLL_AVG_2,TEAM_FG3_PCT_ROLL_AVG_2,OPP_REB_ROLL_AVG_2,OPP_FG_PCT_ROLL_AVG_2,OPP_PACE_ROLL_AVG_2,MIN_ROLL_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,OREB_PCT_ROLL_AVG_4,DREB_PCT_ROLL_AVG_4,REB_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,POSS_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,TEAM_FG_PCT_ROLL_AVG_4,TEAM_FG3_PCT_ROLL_AVG_4,OPP_REB_ROLL_AVG_4,OPP_FG_PCT_ROLL_AVG_4,OPP_PACE_ROLL_AVG_4,MIN_ROLL_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,OREB_PCT_ROLL_AVG_6,DREB_PCT_ROLL_AVG_6,REB_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,POSS_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,TEAM_FG_PCT_ROLL_AVG_6,TEAM_FG3_PCT_ROLL_AVG_6,OPP_REB_ROLL_AVG_6,OPP_FG_PCT_ROLL_AVG_6,OPP_PACE_ROLL_AVG_6,PLAYER_HOME_AVG_REB,PLAYER_AWAY_AVG_REB,REB_LAG_1,REB_LAG_2,REB_LAG_3,REB_LAG_4,DEF_CATEGORY,REB_VS_DEF_STRONG,REB_VS_DEF_WEAK,REB_VS_DEF_DIFF,OREB_VS_DEF_STRONG,OREB_VS_DEF_WEAK,OREB_VS_DEF_DIFF,DREB_VS_DEF_STRONG,DREB_VS_DEF_WEAK,DREB_VS_DEF_DIFF,REB_PCT_VS_DEF_STRONG,REB_PCT_VS_DEF_WEAK,REB_PCT_VS_DEF_DIFF,USG_PCT_VS_DEF_STRONG,USG_PCT_VS_DEF_WEAK,USG_PCT_VS_DEF_DIFF,GAME_PACE_VS_DEF_STRONG,GAME_PACE_VS_DEF_WEAK,GAME_PACE_VS_DEF_DIFF,TOV_VS_DEF_STRONG,TOV_VS_DEF_WEAK,TOV_VS_DEF_DIFF,MATCHUP_KEY,SERIES,GAME_IN_SERIES,SERIES_NAME,TEAM_STARTER_OFF_RATING_AVG,TEAM_STARTER_DEF_RATING_AVG,TEAM_STARTER_USG_PCT_AVG,NUM_USUAL_STARTERS_PRESENT,TEAM_ID_OPP,NUM_USUAL_STARTERS_PRESENT_OPP,TEAM_ID_OPP,OPP_STARTER_AVG_DEF_RATING,TEAM_ID_OPP,OPP_GUARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_FORWARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_CENTERS_AVG_DEF_RATING_OPP,TEAM_STARTER_SPACING_METRIC,TEAM_STARTER_PACE,TEAM_ID_OPP,OPP_STARTER_PACE,PACE_EXPECTATION,IS_STAR,NUM_STARS_ON_TEAM
0,LeBron James,2544,LAL @ PHX,LAL,1610612747,PHX,0,42000151,2021-05-23,L,36,18,10,7,6,13,0.462,3,7,0.429,3,6,0.5,1,6,3,0,5,1,2,45.4,1.151,0.5769230769230769,F,,104.4,104.5,98.6,103.4,5.8,0.03,0.162,0.1,0.476,0.577,2.0,0.263,0.575,89.63,91.84,0.183,68,76.54,0.267,"MAY 23, 2021",240,33,76,0.434,7,26,0.269,17,28,0.607,10,23,33,19,10,5,14,18,90,97.48700173310226,7.0,4.0,47.0,0.4651162790697674,1610612756.0,97.48700173310226,92.32,90.8,89.28,1,1,6-9,250.0,0,1,0,3.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.0,1,36.0,13.0,6.0,0.03,0.16,0.1,0.26,68.0,76.0,26.0,0.43,0.27,47.0,0.47,89.28,36.0,13.0,6.0,0.03,0.16,0.1,0.26,68.0,76.0,26.0,0.43,0.27,47.0,0.47,89.28,36.0,13.0,6.0,0.03,0.16,0.1,0.26,68.0,76.0,26.0,0.43,0.27,47.0,0.47,89.28,6.0,7.0,,,,,0,7.2,7.0,-0.2,1.2,1.0,-0.2,6.0,6.0,0.0,0.1,0.1,0.0,0.3,0.26,-0.04,96.46,90.8,-5.66,4.0,5.0,1.0,LAL-PHX,1,1,First Round,97.68,107.2,0.20659999999999998,5,1610612756,5,1610612756,95.72,1610612756,98.96666666666665,1610612756,94.4,1610612756.0,90.3,0.268,94.774,1610612756,93.046,93.91,1,2
1,Dwight Howard,2730,PHI vs. WAS,PHI,1610612755,WAS,1,42000101,2021-05-23,W,18,7,0,4,2,3,0.667,0,0,,3,6,0.5,2,2,1,0,0,2,-13,14.8,1.241,0.6666666666666666,,,117.9,109.1,151.3,154.9,-33.3,0.08,0.154,0.105,0.0,0.667,0.0,0.102,0.621,105.57,102.62,0.052,39,85.52,0.104,"MAY 23, 2021",240,46,93,0.495,10,32,0.313,23,33,0.697,13,27,40,27,10,5,11,18,125,118.46095526914328,4.0,4.0,41.0,0.5568181818181818,1610612764.0,118.46095526914328,105.52,104.06,102.6,1,0,6-10,265.0,0,1,1,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,1,18.0,3.0,2.0,0.08,0.15,0.1,0.1,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,18.0,3.0,2.0,0.08,0.15,0.1,0.1,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,18.0,3.0,2.0,0.08,0.15,0.1,0.1,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,4.0,9.0,,,,,0,6.25,6.25,0.0,2.0,2.5,0.5,4.25,3.75,-0.5,0.24,0.18,-0.06,0.16,0.16,0.0,100.71,104.35,3.64,1.0,1.0,0.0,PHI-WAS,1,1,First Round,126.47999999999999,107.52000000000001,0.22279999999999997,5,1610612764,5,1610612764,129.42000000000002,1610612764,129.70000000000002,1610612764,124.7,1610612764.0,133.3,0.29660000000000003,101.992,1610612764,101.276,101.634,0,1
2,Chris Paul,101108,PHX vs. LAL,PHX,1610612756,LAL,1,42000151,2021-05-23,W,36,7,8,4,3,8,0.375,1,1,1.0,0,0,,1,3,1,1,1,3,6,28.8,0.875,0.4375,G,,110.1,115.8,102.9,103.9,7.2,0.027,0.086,0.056,0.276,0.438,8.0,0.106,0.438,88.25,90.91,0.088,69,75.76,0.114,"MAY 23, 2021",240,40,86,0.465,9,28,0.321,10,12,0.833,16,31,47,24,7,4,14,20,99,110.88709677419357,10.0,5.0,33.0,0.4342105263157895,1610612747.0,110.88709677419357,89.28,90.8,92.32,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0,1,36.0,8.0,3.0,0.03,0.09,0.06,0.11,69.0,86.0,28.0,0.46,0.32,33.0,0.43,92.32,36.0,8.0,3.0,0.03,0.09,0.06,0.11,69.0,86.0,28.0,0.46,0.32,33.0,0.43,92.32,36.0,8.0,3.0,0.03,0.09,0.06,0.11,69.0,86.0,28.0,0.46,0.32,33.0,0.43,92.32,4.0,5.0,,,,,0,3.07,4.8,1.73,0.4,0.6,0.2,2.67,4.2,1.53,0.05,0.07,0.02,0.25,0.2,-0.05,96.65,98.2,1.55,2.47,1.2,-1.27,LAL-PHX,1,1,First Round,110.46,95.72,0.1792,5,1610612747,5,1610612747,107.2,1610612747,106.75,1610612747,105.15,1610612747.0,111.95,0.45725,93.046,1610612747,94.774,93.91,1,2
3,Lou Williams,101150,ATL @ NYK,ATL,1610612737,NYK,0,42000131,2021-05-23,W,13,13,2,0,6,9,0.667,1,1,1.0,0,0,,0,0,0,0,0,1,2,16.0,1.444,0.7222222222222222,,,116.0,114.0,103.8,99.7,12.2,0.0,0.0,0.0,0.333,0.722,0.0,0.346,0.722,99.12,96.25,0.234,25,80.21,0.354,"MAY 23, 2021",240,42,90,0.467,12,34,0.353,11,12,0.917,7,35,42,17,6,7,6,13,107,113.49172677131946,3.0,4.0,49.0,0.4468085106382978,1610612752.0,113.49172677131946,94.28,96.44,98.6,1,0,6-2,175.0,1,0,0,3.0,0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1,13.0,9.0,6.0,0.0,0.0,0.0,0.35,25.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,13.0,9.0,6.0,0.0,0.0,0.0,0.35,25.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,13.0,9.0,6.0,0.0,0.0,0.0,0.35,25.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,0.0,0.0,,,,,0,1.53,0.0,-1.53,0.12,0.0,-0.12,1.41,0.0,-1.41,0.05,0.0,-0.05,0.23,0.35,0.12,98.79,96.44,-2.35,1.29,0.0,-1.29,ATL-NYK,1,1,First Round,113.62,107.85999999999999,0.1926,4,1610612752,3,1610612752,98.46000000000001,1610612752,93.7,1610612752,103.95,1610612752.0,105.6,0.38175000000000003,96.144,1610612752,96.69800000000001,96.421,0,0
4,Mike Conley,201144,UTA vs. MEM,UTA,1610612762,MEM,1,42000141,2021-05-23,L,33,22,11,6,6,18,0.333,3,11,0.273,7,7,1.0,0,6,0,2,2,5,11,49.7,1.044,0.4166666666666667,G,,128.4,127.5,113.6,113.2,14.7,0.0,0.162,0.088,0.524,0.417,5.5,0.284,0.522,97.06,96.54,0.152,67,80.45,0.293,"MAY 23, 2021",240,34,81,0.42,12,47,0.255,29,33,0.879,12,38,50,20,3,11,14,21,109,111.77194421657096,12.0,5.0,42.0,0.45,1610612763.0,111.77194421657096,97.52,99.88,102.24,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,1,33.0,18.0,6.0,0.0,0.16,0.09,0.28,67.0,81.0,47.0,0.42,0.26,42.0,0.45,102.24,33.0,18.0,6.0,0.0,0.16,0.09,0.28,67.0,81.0,47.0,0.42,0.26,42.0,0.45,102.24,33.0,18.0,6.0,0.0,0.16,0.09,0.28,67.0,81.0,47.0,0.42,0.26,42.0,0.45,102.24,6.0,6.0,,,,,0,3.0,3.75,0.75,1.5,0.0,-1.5,1.5,3.75,2.25,0.06,0.05,-0.01,0.22,0.2,-0.02,97.3,101.27,3.97,4.0,1.5,-2.5,MEM-UTA,1,1,First Round,112.75999999999999,117.82000000000001,0.19,4,1610612763,5,1610612763,113.52000000000001,1610612763,109.96666666666665,1610612763,117.7,1610612763.0,118.85,0.34975,97.104,1610612763,97.35799999999999,97.231,1,2
5,Derrick Rose,201565,NYK vs. ATL,NYK,1610612752,ATL,1,42000131,2021-05-23,L,38,17,5,5,8,16,0.5,1,4,0.25,0,0,,0,5,1,1,5,1,3,31.5,1.062,0.53125,,,118.7,112.9,119.4,118.4,-0.8,0.0,0.132,0.063,0.179,0.531,1.0,0.223,0.531,96.34,93.49,0.088,75,77.91,0.231,"MAY 23, 2021",240,42,94,0.447,10,30,0.333,11,15,0.733,13,36,49,21,3,4,11,16,105,106.49087221095334,6.0,7.0,42.0,0.4666666666666667,1610612737.0,106.49087221095334,98.6,96.44,94.28,1,0,6-3,200.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,38.0,16.0,8.0,0.0,0.13,0.06,0.22,75.0,94.0,30.0,0.45,0.33,42.0,0.47,94.28,38.0,16.0,8.0,0.0,0.13,0.06,0.22,75.0,94.0,30.0,0.45,0.33,42.0,0.47,94.28,38.0,16.0,8.0,0.0,0.13,0.06,0.22,75.0,94.0,30.0,0.45,0.33,42.0,0.47,94.28,5.0,6.0,,,,,0,3.75,5.0,1.25,1.0,0.0,-1.0,2.75,5.0,2.25,0.05,0.06,0.01,0.23,0.22,-0.01,95.29,96.44,1.15,0.75,5.0,4.25,ATL-NYK,1,1,First Round,86.08,98.46000000000001,0.19619999999999999,3,1610612737,4,1610612737,107.85999999999999,1610612737,107.86666666666667,1610612737,108.85,1610612737.0,107.85,0.16666666666666666,96.69800000000001,1610612737,96.144,96.421,0,1
6,Russell Westbrook,201566,WAS @ PHI,WAS,1610612764,PHI,0,42000101,2021-05-23,L,43,16,14,5,7,17,0.412,0,2,0.0,2,2,1.0,1,4,0,1,6,4,-9,40.0,0.895,0.4117647058823529,G,,110.9,110.0,123.3,117.0,-12.5,0.026,0.087,0.06,0.4,0.412,2.33,0.231,0.447,105.48,102.34,0.079,92,85.28,0.241,"MAY 23, 2021",240,49,88,0.557,8,20,0.4,12,15,0.8,7,34,41,26,4,4,15,24,118,115.00974658869396,10.0,5.0,40.0,0.4946236559139785,1610612755.0,115.00974658869396,102.6,104.06,105.52,1,1,6-4,200.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0,1,43.0,17.0,7.0,0.03,0.09,0.06,0.23,92.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,43.0,17.0,7.0,0.03,0.09,0.06,0.23,92.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,43.0,17.0,7.0,0.03,0.09,0.06,0.23,92.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,12.0,5.0,,,,,0,11.75,5.0,-6.75,3.25,1.0,-2.25,8.5,4.0,-4.5,0.15,0.06,-0.09,0.29,0.23,-0.06,103.9,104.06,0.16,3.75,6.0,2.25,PHI-WAS,1,1,First Round,104.74000000000001,129.42000000000002,0.2076,5,1610612755,5,1610612755,107.52000000000001,1610612755,109.7,1610612755,104.46666666666665,1610612755.0,92.2,0.41675,101.276,1610612755,101.992,101.634,0,1
7,Danilo Gallinari,201568,ATL @ NYK,ATL,1610612737,NYK,0,42000131,2021-05-23,W,24,7,1,1,3,11,0.273,1,7,0.143,0,0,,0,1,1,1,1,4,-4,14.7,0.636,0.3181818181818182,,,106.4,107.7,120.0,113.9,-13.6,0.0,0.038,0.02,0.056,0.318,1.0,0.235,0.318,95.65,93.77,-0.027,47,78.14,0.248,"MAY 23, 2021",240,42,90,0.467,12,34,0.353,11,12,0.917,7,35,42,17,6,7,6,13,107,113.49172677131946,3.0,4.0,49.0,0.4468085106382978,1610612752.0,113.49172677131946,94.28,96.44,98.6,1,0,6-10,236.0,0,1,0,0.0,1,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,24.0,11.0,3.0,0.0,0.04,0.02,0.24,47.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,24.0,11.0,3.0,0.0,0.04,0.02,0.24,47.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,24.0,11.0,3.0,0.0,0.04,0.02,0.24,47.0,90.0,34.0,0.47,0.35,49.0,0.45,98.6,4.0,1.0,,,,,0,4.06,1.0,-3.06,0.47,0.0,-0.47,3.59,1.0,-2.59,0.08,0.02,-0.06,0.21,0.24,0.03,98.79,96.44,-2.35,0.82,1.0,0.18,ATL-NYK,1,1,First Round,113.62,107.85999999999999,0.1926,4,1610612752,3,1610612752,98.46000000000001,1610612752,93.7,1610612752,103.95,1610612752.0,105.6,0.38175000000000003,96.144,1610612752,96.69800000000001,96.421,0,0
8,Robin Lopez,201577,WAS @ PHI,WAS,1610612764,PHI,0,42000101,2021-05-23,L,12,6,0,2,3,4,0.75,0,0,,0,0,,1,1,0,0,1,4,-5,7.4,1.5,0.75,,,92.0,96.8,103.7,102.2,-11.7,0.091,0.077,0.083,0.0,0.75,0.0,0.179,0.75,104.04,105.75,0.037,25,88.12,0.187,"MAY 23, 2021",240,49,88,0.557,8,20,0.4,12,15,0.8,7,34,41,26,4,4,15,24,118,115.00974658869396,10.0,5.0,40.0,0.4946236559139785,1610612755.0,115.00974658869396,102.6,104.06,105.52,1,0,7-1,281.0,0,0,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,12.0,4.0,3.0,0.09,0.08,0.08,0.18,25.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,12.0,4.0,3.0,0.09,0.08,0.08,0.18,25.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,12.0,4.0,3.0,0.09,0.08,0.08,0.18,25.0,88.0,20.0,0.56,0.4,40.0,0.49,105.52,0.0,2.0,,,,,0,1.75,2.0,0.25,0.75,1.0,0.25,1.0,1.0,0.0,0.04,0.08,0.04,0.14,0.18,0.04,103.9,104.06,0.16,0.0,1.0,1.0,PHI-WAS,1,1,First Round,104.74000000000001,129.42000000000002,0.2076,5,1610612755,5,1610612755,107.52000000000001,1610612755,109.7,1610612755,104.46666666666665,1610612755.0,92.2,0.41675,101.276,1610612755,101.992,101.634,0,1
9,George Hill,201588,PHI vs. WAS,PHI,1610612755,WAS,1,42000101,2021-05-23,W,18,11,2,2,5,8,0.625,1,3,0.333,0,0,,1,1,0,0,0,3,-1,16.4,1.375,0.6875,,,112.8,109.6,109.8,110.7,3.1,0.059,0.053,0.056,0.2,0.688,0.0,0.186,0.688,105.3,104.25,0.115,39,86.88,0.19,"MAY 23, 2021",240,46,93,0.495,10,32,0.313,23,33,0.697,13,27,40,27,10,5,11,18,125,118.46095526914328,4.0,4.0,41.0,0.5568181818181818,1610612764.0,118.46095526914328,105.52,104.06,102.6,1,0,6-4,188.0,1,0,0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,18.0,8.0,5.0,0.06,0.05,0.06,0.19,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,18.0,8.0,5.0,0.06,0.05,0.06,0.19,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,18.0,8.0,5.0,0.06,0.05,0.06,0.19,39.0,93.0,32.0,0.5,0.31,41.0,0.56,102.6,2.0,2.0,,,,,0,1.12,1.75,0.63,0.25,0.75,0.5,0.88,1.0,0.12,0.03,0.05,0.02,0.12,0.12,0.0,100.71,104.35,3.64,0.75,1.0,0.25,PHI-WAS,1,1,First Round,126.47999999999999,107.52000000000001,0.22279999999999997,5,1610612764,5,1610612764,129.42000000000002,1610612764,129.70000000000002,1610612764,124.7,1610612764.0,133.3,0.29660000000000003,101.992,1610612764,101.276,101.634,0,1
