,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,IS_PLAYOFF,STARTING,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,TEAM_DAYS_REST,TEAM_B2B,PLAYER_DAYS_REST,PLAYER_B2B,PLAYER_MISSED_LAST,TEAM__ATL,TEAM__BKN,TEAM__BOS,TEAM__CLE,TEAM__DEN,TEAM__GSW,TEAM__LAC,TEAM__LAL,TEAM__MEM,TEAM__MIA,TEAM__MIL,TEAM__MIN,TEAM__NYK,TEAM__PHI,TEAM__PHX,TEAM__SAC,OPP__ATL,OPP__BKN,OPP__BOS,OPP__CLE,OPP__DEN,OPP__GSW,OPP__LAC,OPP__LAL,OPP__MEM,OPP__MIA,OPP__MIL,OPP__MIN,OPP__NYK,OPP__PHI,OPP__PHX,OPP__SAC,MATCHUP_AVG_REB_LAST_3,GAMES_VS_OPP,MIN_ROLL_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,OREB_PCT_ROLL_AVG_2,DREB_PCT_ROLL_AVG_2,REB_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,POSS_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,TEAM_FG_PCT_ROLL_AVG_2,TEAM_FG3_PCT_ROLL_AVG_2,OPP_REB_ROLL_AVG_2,OPP_FG_PCT_ROLL_AVG_2,OPP_PACE_ROLL_AVG_2,MIN_ROLL_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,OREB_PCT_ROLL_AVG_4,DREB_PCT_ROLL_AVG_4,REB_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,POSS_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,TEAM_FG_PCT_ROLL_AVG_4,TEAM_FG3_PCT_ROLL_AVG_4,OPP_REB_ROLL_AVG_4,OPP_FG_PCT_ROLL_AVG_4,OPP_PACE_ROLL_AVG_4,MIN_ROLL_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,OREB_PCT_ROLL_AVG_6,DREB_PCT_ROLL_AVG_6,REB_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,POSS_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,TEAM_FG_PCT_ROLL_AVG_6,TEAM_FG3_PCT_ROLL_AVG_6,OPP_REB_ROLL_AVG_6,OPP_FG_PCT_ROLL_AVG_6,OPP_PACE_ROLL_AVG_6,PLAYER_HOME_AVG_REB,PLAYER_AWAY_AVG_REB,REB_LAG_1,REB_LAG_2,REB_LAG_3,REB_LAG_4,DEF_CATEGORY,REB_VS_DEF_STRONG,REB_VS_DEF_WEAK,REB_VS_DEF_DIFF,OREB_VS_DEF_STRONG,OREB_VS_DEF_WEAK,OREB_VS_DEF_DIFF,DREB_VS_DEF_STRONG,DREB_VS_DEF_WEAK,DREB_VS_DEF_DIFF,REB_PCT_VS_DEF_STRONG,REB_PCT_VS_DEF_WEAK,REB_PCT_VS_DEF_DIFF,USG_PCT_VS_DEF_STRONG,USG_PCT_VS_DEF_WEAK,USG_PCT_VS_DEF_DIFF,GAME_PACE_VS_DEF_STRONG,GAME_PACE_VS_DEF_WEAK,GAME_PACE_VS_DEF_DIFF,TOV_VS_DEF_STRONG,TOV_VS_DEF_WEAK,TOV_VS_DEF_DIFF,MATCHUP_KEY,SERIES,GAME_IN_SERIES,SERIES_NAME,TEAM_STARTER_OFF_RATING_AVG,TEAM_STARTER_DEF_RATING_AVG,TEAM_STARTER_USG_PCT_AVG,NUM_USUAL_STARTERS_PRESENT,TEAM_ID_OPP,NUM_USUAL_STARTERS_PRESENT_OPP,TEAM_ID_OPP,OPP_STARTER_AVG_DEF_RATING,TEAM_ID_OPP,OPP_GUARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_FORWARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_CENTERS_AVG_DEF_RATING_OPP,TEAM_STARTER_SPACING_METRIC,TEAM_STARTER_PACE,TEAM_ID_OPP,OPP_STARTER_PACE,PACE_EXPECTATION,IS_STAR,NUM_STARS_ON_TEAM
0,LeBron James,2544,LAL @ MEM,LAL,1610612747,MEM,0,42200151,2023-04-16,W,34,21,5,11,8,16,0.5,3,8,0.375,2,4,0.5,2,9,2,3,5,1,7,51.7,1.182,0.59375,F,,129.2,127.1,119.4,116.0,9.7,0.069,0.29,0.183,0.185,0.594,1.0,0.265,0.591,103.98,101.63,0.139,72,84.69,0.274,"APR 16, 2023",240,49,92,0.533,16,37,0.432,14,16,0.875,10,35,45,25,7,11,14,18,128,124.22360248447204,6.0,2.0,34.0,0.4719101123595505,1610612763.0,124.22360248447204,103.04,102.54,102.04,1,1,6-9,250.0,0,1,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0,1,34.0,16.0,8.0,0.07,0.29,0.18,0.26,72.0,92.0,37.0,0.53,0.43,34.0,0.47,102.04,34.0,16.0,8.0,0.07,0.29,0.18,0.26,72.0,92.0,37.0,0.53,0.43,34.0,0.47,102.04,34.0,16.0,8.0,0.07,0.29,0.18,0.26,72.0,92.0,37.0,0.53,0.43,34.0,0.47,102.04,9.0,11.0,,,,,0,9.64,11.5,1.86,1.5,2.0,0.5,8.14,9.5,1.36,0.12,0.16,0.04,0.26,0.28,0.02,100.88,99.39,-1.49,2.43,3.0,0.57,LAL-MEM,1,1,First Round,125.62,109.42,0.19580000000000003,5,1610612763,5,1610612763,126.44000000000001,1610612763,127.83333333333333,1610612763.0,131.5,1610612763.0,129.1,0.327,102.30199999999999,1610612763,101.446,101.874,1,1
1,Chris Paul,101108,PHX vs. LAC,PHX,1610612756,LAC,1,42200171,2023-04-16,L,39,7,10,11,2,8,0.25,1,2,0.5,2,2,1.0,1,10,2,0,1,4,6,40.2,0.788,0.3125,G,,110.8,114.7,106.2,101.9,4.7,0.029,0.222,0.138,0.313,0.313,10.0,0.112,0.394,102.12,101.75,0.111,83,84.79,0.117,"APR 16, 2023",240,39,82,0.476,6,19,0.316,26,33,0.788,6,36,42,27,8,9,10,25,110,109.43095901313173,6.0,4.0,49.0,0.4408602150537634,1610612746.0,109.43095901313173,100.52,102.14,103.76,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.0,1,39.0,8.0,2.0,0.03,0.22,0.14,0.11,83.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,39.0,8.0,2.0,0.03,0.22,0.14,0.11,83.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,39.0,8.0,2.0,0.03,0.22,0.14,0.11,83.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,11.0,6.0,,,,,0,3.0,6.5,3.5,0.33,1.0,0.67,2.67,5.5,2.83,0.05,0.08,0.03,0.18,0.17,-0.01,96.22,102.08,5.86,0.67,1.25,0.58,LAC-PHX,1,1,First Round,118.24000000000001,108.92,0.21400000000000002,5,1610612746,4,1610612746,119.35999999999999,1610612746,120.13333333333333,1610612746.0,118.35,1610612746.0,127.4,0.35725,102.062,1610612746,103.266,102.664,0,1
2,Kyle Lowry,200768,MIA @ MIL,MIA,1610612748,MIL,0,42200101,2023-04-16,W,19,2,3,1,1,1,1.0,0,0,,0,0,,0,1,1,0,1,2,-2,9.7,2.0,1.0,,,130.8,123.9,126.2,121.2,4.6,0.0,0.053,0.031,0.176,1.0,3.0,0.049,1.0,110.11,105.08,0.049,39,87.57,0.046,"APR 16, 2023",240,50,84,0.595,15,25,0.6,15,21,0.714,4,32,36,32,6,1,15,24,130,124.71220260936302,3.0,4.0,38.0,0.4945054945054945,1610612749.0,124.71220260936302,104.24,104.96,105.68,1,0,6-0,196.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1,19.0,1.0,1.0,0.0,0.05,0.03,0.05,39.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,19.0,1.0,1.0,0.0,0.05,0.03,0.05,39.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,19.0,1.0,1.0,0.0,0.05,0.03,0.05,39.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,1.0,1.0,,,,,0,3.89,2.2,-1.69,0.61,0.2,-0.41,3.28,2.0,-1.28,0.07,0.05,-0.02,0.17,0.18,0.01,94.37,105.84,11.47,1.67,2.0,0.33,MIA-MIL,1,1,First Round,128.64000000000001,110.24000000000001,0.211,4,1610612749,5,1610612749,124.94000000000001,1610612749,128.2,1610612749.0,125.25,1610612749.0,117.8,0.45,101.968,1610612749,102.45,102.209,0,1
3,Kevin Durant,201142,PHX vs. LAC,PHX,1610612756,LAC,1,42200171,2023-04-16,L,45,27,11,9,7,15,0.467,3,7,0.429,10,10,1.0,1,8,1,2,1,4,4,62.3,1.392,0.5666666666666667,F,,114.9,117.5,109.5,108.2,5.4,0.025,0.163,0.101,0.344,0.567,11.0,0.206,0.696,101.33,101.87,0.184,94,84.89,0.215,"APR 16, 2023",240,39,82,0.476,6,19,0.316,26,33,0.788,6,36,42,27,8,9,10,25,110,109.43095901313173,6.0,4.0,49.0,0.4408602150537634,1610612746.0,109.43095901313173,100.52,102.14,103.76,1,1,6-11,240.0,0,1,0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.0,1,45.0,15.0,7.0,0.02,0.16,0.1,0.21,94.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,45.0,15.0,7.0,0.02,0.16,0.1,0.21,94.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,45.0,15.0,7.0,0.02,0.16,0.1,0.21,94.0,82.0,19.0,0.48,0.32,49.0,0.44,103.76,9.0,6.0,,,,,0,9.14,8.0,-1.14,0.71,0.5,-0.21,8.43,7.5,-0.93,0.12,0.09,-0.03,0.32,0.22,-0.1,98.05,102.08,4.03,4.0,2.75,-1.25,LAC-PHX,1,1,First Round,118.24000000000001,108.92,0.21400000000000002,5,1610612746,4,1610612746,119.35999999999999,1610612746,120.13333333333333,1610612746.0,118.35,1610612746.0,127.4,0.35725,102.062,1610612746,103.266,102.664,1,1
4,Mike Conley,201144,MIN @ DEN,MIN,1610612750,DEN,0,42200141,2023-04-16,L,25,8,3,4,3,5,0.6,2,3,0.667,0,0,,0,4,0,0,0,0,-18,17.3,1.6,0.8,G,,71.4,73.8,108.2,107.0,-36.7,0.0,0.121,0.066,0.3,0.8,0.0,0.094,0.8,93.2,94.24,0.21,49,78.54,0.101,"APR 16, 2023",240,30,81,0.37,11,36,0.306,9,16,0.563,5,33,38,18,6,6,11,16,80,85.07018290089323,6.0,4.0,54.0,0.4555555555555555,1610612743.0,85.07018290089323,94.04,95.26,96.48,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0,1,25.0,5.0,3.0,0.0,0.12,0.07,0.09,49.0,81.0,36.0,0.37,0.31,54.0,0.46,96.48,25.0,5.0,3.0,0.0,0.12,0.07,0.09,49.0,81.0,36.0,0.37,0.31,54.0,0.46,96.48,25.0,5.0,3.0,0.0,0.12,0.07,0.09,49.0,81.0,36.0,0.37,0.31,54.0,0.46,96.48,2.0,4.0,,,,,0,2.25,4.0,1.75,0.5,0.0,-0.5,1.75,4.0,2.25,0.03,0.07,0.04,0.14,0.09,-0.05,98.58,95.26,-3.32,1.75,0.0,-1.75,DEN-MIN,1,1,First Round,84.92,112.64000000000001,0.2032,5,1610612743,5,1610612743,86.2,1610612743,84.80000000000001,1610612743.0,82.55,1610612743.0,96.3,0.39,94.19,1610612743,94.134,94.162,0,1
5,Jeff Green,201145,DEN vs. MIN,DEN,1610612743,MIN,1,42200141,2023-04-16,W,23,0,1,2,0,4,0.0,0,3,0.0,0,0,,0,2,1,1,1,3,11,8.9,0.0,0.0,,,117.0,115.0,95.7,94.3,21.4,0.0,0.087,0.049,0.05,0.0,1.0,0.098,0.0,99.96,98.4,-0.041,47,82.0,0.1,"APR 16, 2023",240,41,90,0.456,16,39,0.41,11,17,0.647,11,43,54,24,6,4,10,20,109,112.97678275290215,6.0,6.0,38.0,0.3703703703703703,1610612750.0,112.97678275290215,96.48,95.26,94.04,1,0,6-8,235.0,0,1,0,3.0,0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,23.0,4.0,0.0,0.0,0.09,0.05,0.1,47.0,90.0,39.0,0.46,0.41,38.0,0.37,94.04,23.0,4.0,0.0,0.0,0.09,0.05,0.1,47.0,90.0,39.0,0.46,0.41,38.0,0.37,94.04,23.0,4.0,0.0,0.0,0.09,0.05,0.1,47.0,90.0,39.0,0.46,0.41,38.0,0.37,94.04,2.0,2.0,,,,,0,1.11,1.91,0.8,0.22,0.36,0.14,0.89,1.55,0.66,0.04,0.05,0.01,0.1,0.11,0.01,94.85,98.19,3.34,0.33,0.55,0.22,DEN-MIN,1,1,First Round,117.52000000000001,86.2,0.22080000000000002,5,1610612750,5,1610612750,112.64000000000001,1610612750,107.46666666666665,1610612750.0,112.5,1610612750.0,120.4,0.461,94.134,1610612750,94.19,94.162,0,0
6,Russell Westbrook,201566,LAC @ PHX,LAC,1610612746,PHX,0,42200171,2023-04-16,W,36,9,8,11,3,19,0.158,1,6,0.167,2,3,0.667,5,6,2,3,2,2,-6,47.2,0.443,0.1842105263157894,G,,106.4,102.7,112.7,115.0,-6.2,0.119,0.2,0.153,0.308,0.184,4.0,0.244,0.221,104.09,103.33,0.049,78,86.11,0.242,"APR 16, 2023",240,41,93,0.441,10,31,0.323,23,29,0.793,15,34,49,23,6,4,13,21,115,110.83269082498072,8.0,9.0,42.0,0.4756097560975609,1610612756.0,110.83269082498072,103.76,102.14,100.52,1,1,6-4,200.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11.0,1,36.0,19.0,3.0,0.12,0.2,0.15,0.24,78.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,36.0,19.0,3.0,0.12,0.2,0.15,0.24,78.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,36.0,19.0,3.0,0.12,0.2,0.15,0.24,78.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,8.0,11.0,,,,,0,6.75,11.0,4.25,1.0,5.0,4.0,5.75,6.0,0.25,0.09,0.15,0.06,0.31,0.24,-0.07,100.52,102.14,1.62,4.5,2.0,-2.5,LAC-PHX,1,1,First Round,109.67999999999999,119.35999999999999,0.19419999999999998,4,1610612756,5,1610612756,108.92,1610612756,111.25,1610612756.0,108.25,1610612756.0,105.6,0.38225,103.266,1610612756,102.062,102.664,0,0
7,Kevin Love,201567,MIA @ MIL,MIA,1610612748,MIL,0,42200101,2023-04-16,W,23,18,1,8,5,9,0.556,4,7,0.571,4,4,1.0,1,7,0,0,0,2,5,29.1,1.673,0.7777777777777778,,,126.5,124.7,114.0,111.2,12.5,0.063,0.28,0.195,0.056,0.778,0.0,0.212,0.836,107.18,105.06,0.197,49,87.55,0.213,"APR 16, 2023",240,50,84,0.595,15,25,0.6,15,21,0.714,4,32,36,32,6,1,15,24,130,124.71220260936302,3.0,4.0,38.0,0.4945054945054945,1610612749.0,124.71220260936302,104.24,104.96,105.68,1,0,6-8,251.0,0,1,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.0,1,23.0,9.0,5.0,0.06,0.28,0.2,0.21,49.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,23.0,9.0,5.0,0.06,0.28,0.2,0.21,49.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,23.0,9.0,5.0,0.06,0.28,0.2,0.21,49.0,84.0,25.0,0.6,0.6,38.0,0.49,105.68,7.0,8.0,,,,,0,4.93,7.4,2.47,0.8,0.4,-0.4,4.13,7.0,2.87,0.15,0.17,0.02,0.18,0.15,-0.03,94.62,105.84,11.22,0.6,0.2,-0.4,MIA-MIL,1,1,First Round,128.64000000000001,110.24000000000001,0.211,4,1610612749,5,1610612749,124.94000000000001,1610612749,128.2,1610612749.0,125.25,1610612749.0,117.8,0.45,101.968,1610612749,102.45,102.209,0,1
8,Eric Gordon,201569,LAC @ PHX,LAC,1610612746,PHX,0,42200171,2023-04-16,W,33,19,2,1,7,14,0.5,3,7,0.429,2,2,1.0,0,1,0,0,0,3,-6,23.2,1.277,0.6071428571428571,G,,109.9,106.5,120.0,121.3,-10.1,0.0,0.036,0.016,0.1,0.607,0.0,0.181,0.638,105.22,104.12,0.082,71,86.77,0.182,"APR 16, 2023",240,41,93,0.441,10,31,0.323,23,29,0.793,15,34,49,23,6,4,13,21,115,110.83269082498072,8.0,9.0,42.0,0.4756097560975609,1610612756.0,110.83269082498072,103.76,102.14,100.52,1,1,6-3,215.0,1,0,0,0.0,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1,33.0,14.0,7.0,0.0,0.04,0.02,0.18,71.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,33.0,14.0,7.0,0.0,0.04,0.02,0.18,71.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,33.0,14.0,7.0,0.0,0.04,0.02,0.18,71.0,93.0,31.0,0.44,0.32,42.0,0.48,100.52,2.0,1.0,,,,,0,1.5,1.0,-0.5,0.25,0.0,-0.25,1.25,1.0,-0.25,0.03,0.02,-0.01,0.13,0.18,0.05,100.52,102.14,1.62,1.0,0.0,-1.0,LAC-PHX,1,1,First Round,109.67999999999999,119.35999999999999,0.19419999999999998,4,1610612756,5,1610612756,108.92,1610612756,111.25,1610612756.0,108.25,1610612756.0,105.6,0.38225,103.266,1610612756,102.062,102.664,0,0
9,Brook Lopez,201572,MIL vs. MIA,MIL,1610612749,MIA,1,42200101,2023-04-16,L,36,10,1,4,4,7,0.571,0,3,0.0,2,3,0.667,1,3,1,3,3,2,-4,25.3,1.202,0.5714285714285714,C,,107.9,103.2,117.8,115.4,-9.9,0.026,0.107,0.06,0.036,0.571,0.33,0.129,0.601,103.34,99.98,0.052,76,83.32,0.127,"APR 16, 2023",240,45,91,0.495,11,45,0.244,16,22,0.727,8,30,38,29,3,4,13,22,117,110.7115821347464,6.0,1.0,36.0,0.5952380952380952,1610612748.0,110.7115821347464,105.68,104.96,104.24,1,1,7-1,282.0,0,0,1,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0,1,36.0,7.0,4.0,0.03,0.11,0.06,0.13,76.0,91.0,45.0,0.5,0.24,36.0,0.6,104.24,36.0,7.0,4.0,0.03,0.11,0.06,0.13,76.0,91.0,45.0,0.5,0.24,36.0,0.6,104.24,36.0,7.0,4.0,0.03,0.11,0.06,0.13,76.0,91.0,45.0,0.5,0.24,36.0,0.6,104.24,4.0,3.0,,,,,0,4.0,7.0,3.0,3.0,2.75,-0.25,1.0,4.25,3.25,0.06,0.09,0.03,0.23,0.18,-0.05,104.32,106.22,1.9,2.0,2.25,0.25,MIA-MIL,1,1,First Round,111.17999999999999,124.94000000000001,0.2278,5,1610612748,4,1610612748,110.24000000000001,1610612748,106.46666666666665,1610612748.0,115.13333333333333,1610612748.0,117.4,0.252,102.45,1610612748,101.968,102.209,0,2
