,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,IS_PLAYOFF,STARTING,HEIGHT,WEIGHT,GUARD,FORWARD,CENTER,TEAM_DAYS_REST,TEAM_B2B,PLAYER_DAYS_REST,PLAYER_B2B,PLAYER_MISSED_LAST,TEAM__BOS,TEAM__CLE,TEAM__DEN,TEAM__DET,TEAM__GSW,TEAM__HOU,TEAM__IND,TEAM__LAC,TEAM__LAL,TEAM__MEM,TEAM__MIA,TEAM__MIL,TEAM__MIN,TEAM__NYK,TEAM__OKC,TEAM__ORL,OPP__BOS,OPP__CLE,OPP__DEN,OPP__DET,OPP__GSW,OPP__HOU,OPP__IND,OPP__LAC,OPP__LAL,OPP__MEM,OPP__MIA,OPP__MIL,OPP__MIN,OPP__NYK,OPP__OKC,OPP__ORL,MATCHUP_AVG_REB_LAST_3,GAMES_VS_OPP,MIN_ROLL_AVG_2,FGA_ROLL_AVG_2,FGM_ROLL_AVG_2,OREB_PCT_ROLL_AVG_2,DREB_PCT_ROLL_AVG_2,REB_PCT_ROLL_AVG_2,USG_PCT_ROLL_AVG_2,POSS_ROLL_AVG_2,TEAM_FGA_ROLL_AVG_2,TEAM_FG3A_ROLL_AVG_2,TEAM_FG_PCT_ROLL_AVG_2,TEAM_FG3_PCT_ROLL_AVG_2,OPP_REB_ROLL_AVG_2,OPP_FG_PCT_ROLL_AVG_2,OPP_PACE_ROLL_AVG_2,MIN_ROLL_AVG_4,FGA_ROLL_AVG_4,FGM_ROLL_AVG_4,OREB_PCT_ROLL_AVG_4,DREB_PCT_ROLL_AVG_4,REB_PCT_ROLL_AVG_4,USG_PCT_ROLL_AVG_4,POSS_ROLL_AVG_4,TEAM_FGA_ROLL_AVG_4,TEAM_FG3A_ROLL_AVG_4,TEAM_FG_PCT_ROLL_AVG_4,TEAM_FG3_PCT_ROLL_AVG_4,OPP_REB_ROLL_AVG_4,OPP_FG_PCT_ROLL_AVG_4,OPP_PACE_ROLL_AVG_4,MIN_ROLL_AVG_6,FGA_ROLL_AVG_6,FGM_ROLL_AVG_6,OREB_PCT_ROLL_AVG_6,DREB_PCT_ROLL_AVG_6,REB_PCT_ROLL_AVG_6,USG_PCT_ROLL_AVG_6,POSS_ROLL_AVG_6,TEAM_FGA_ROLL_AVG_6,TEAM_FG3A_ROLL_AVG_6,TEAM_FG_PCT_ROLL_AVG_6,TEAM_FG3_PCT_ROLL_AVG_6,OPP_REB_ROLL_AVG_6,OPP_FG_PCT_ROLL_AVG_6,OPP_PACE_ROLL_AVG_6,PLAYER_HOME_AVG_REB,PLAYER_AWAY_AVG_REB,REB_LAG_1,REB_LAG_2,REB_LAG_3,REB_LAG_4,DEF_CATEGORY,REB_VS_DEF_STRONG,REB_VS_DEF_WEAK,REB_VS_DEF_DIFF,OREB_VS_DEF_STRONG,OREB_VS_DEF_WEAK,OREB_VS_DEF_DIFF,DREB_VS_DEF_STRONG,DREB_VS_DEF_WEAK,DREB_VS_DEF_DIFF,REB_PCT_VS_DEF_STRONG,REB_PCT_VS_DEF_WEAK,REB_PCT_VS_DEF_DIFF,USG_PCT_VS_DEF_STRONG,USG_PCT_VS_DEF_WEAK,USG_PCT_VS_DEF_DIFF,GAME_PACE_VS_DEF_STRONG,GAME_PACE_VS_DEF_WEAK,GAME_PACE_VS_DEF_DIFF,TOV_VS_DEF_STRONG,TOV_VS_DEF_WEAK,TOV_VS_DEF_DIFF,MATCHUP_KEY,SERIES,GAME_IN_SERIES,SERIES_NAME,TEAM_STARTER_OFF_RATING_AVG,TEAM_STARTER_DEF_RATING_AVG,TEAM_STARTER_USG_PCT_AVG,NUM_USUAL_STARTERS_PRESENT,TEAM_ID_OPP,NUM_USUAL_STARTERS_PRESENT_OPP,TEAM_ID_OPP,OPP_STARTER_AVG_DEF_RATING,TEAM_ID_OPP,OPP_GUARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_FORWARDS_AVG_DEF_RATING_OPP,TEAM_ID_OPP,OPP_CENTERS_AVG_DEF_RATING_OPP,TEAM_STARTER_SPACING_METRIC,TEAM_STARTER_PACE,TEAM_ID_OPP,OPP_STARTER_PACE,PACE_EXPECTATION,IS_STAR,NUM_STARS_ON_TEAM
0,LeBron James,2544,LAL vs. MIN,LAL,1610612747,MIN,1,42400162,2025-04-22,W,40,21,7,11,8,19,0.421,1,5,0.2,4,4,1.0,3,8,1,1,2,4,9,48.7,1.012,0.4473684210526316,F,,111.4,110.2,98.6,92.2,12.9,0.094,0.195,0.151,0.368,0.447,3.5,0.284,0.506,88.21,84.81,0.224,70,70.68,0.288,"APR 22, 2025",240,34,75,0.453,6,29,0.207,20,20,1.0,9,32,41,23,4,6,12,24,94,108.29493087557604,6.0,2.0,34.0,0.379746835443038,1610612750,108.29493087557604,86.8,89.4,92.0,1,1,6-9,250.0,0,1,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0,2,36.0,18.0,8.0,0.03,0.14,0.08,0.28,69.0,83.0,41.0,0.4,0.37,44.0,0.51,89.4,36.0,18.0,8.0,0.03,0.14,0.08,0.28,69.0,83.0,41.0,0.4,0.37,44.0,0.51,89.4,36.0,18.0,8.0,0.03,0.14,0.08,0.28,69.0,83.0,41.0,0.4,0.37,44.0,0.51,89.4,8.0,10.0,5.0,,,,1,10.0,0.0,-10.0,2.75,0.0,-2.75,7.25,0.0,-7.25,0.12,0.0,-0.12,0.26,0.0,-0.26,93.98,0.0,-93.98,2.25,0.0,-2.25,LAL-MIN,1,1,First Round,109.5,92.97999999999999,0.2274,5,1610612750,5,1610612750,106.64000000000001,1610612750,107.6,1610612750,108.0,1610612750.0,106.8,0.1125,87.276,1610612750,84.958,86.11699999999999,1,1
1,Mike Conley,201144,MIN @ LAL,MIN,1610612750,LAL,0,42400162,2025-04-22,L,21,0,1,6,0,5,0.0,0,3,0.0,0,0,,3,3,0,0,1,0,-5,7.7,0.0,0.0,G,,97.2,84.5,111.1,116.3,-13.9,0.111,0.231,0.15,0.077,0.0,1.0,0.12,0.0,86.29,81.96,-0.012,36,68.3,0.124,"APR 22, 2025",240,30,79,0.38,5,25,0.2,20,25,0.8,9,25,34,14,6,2,11,22,85,92.3913043478261,4.0,6.0,41.0,0.4533333333333333,1610612747,92.3913043478261,92.0,89.4,86.8,1,1,6-0,175.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,2,22.0,5.0,3.0,0.0,0.14,0.08,0.12,44.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,22.0,5.0,3.0,0.0,0.14,0.08,0.12,44.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,22.0,5.0,3.0,0.0,0.14,0.08,0.12,44.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,3.0,4.5,3.0,,,,0,2.73,3.67,0.94,0.73,1.33,0.6,2.0,2.33,0.33,0.06,0.08,0.02,0.15,0.11,-0.04,98.5,92.81,-5.69,0.82,0.67,-0.15,LAL-MIN,1,1,First Round,94.28,106.64000000000001,0.189,5,1610612747,5,1610612747,92.97999999999999,1610612747,93.0,1610612747,93.1,1610612747.0,88.2,0.1875,84.958,1610612747,87.276,86.11699999999999,0,1
2,Brook Lopez,201572,MIL @ IND,MIL,1610612749,IND,0,42400132,2025-04-22,L,16,8,1,1,3,6,0.5,2,4,0.5,0,0,,1,0,0,4,1,2,-9,21.7,1.333,0.6666666666666666,C,,112.1,111.9,135.3,140.9,-23.2,0.077,0.0,0.042,0.1,0.667,1.0,0.189,0.667,97.66,99.57,0.066,33,82.97,0.194,"APR 22, 2025",240,44,87,0.506,14,35,0.4,13,19,0.684,12,31,43,26,3,6,15,19,115,116.91744611630745,8.0,3.0,38.0,0.4888888888888889,1610612754,116.91744611630745,98.36,98.86,99.36,1,1,7-1,282.0,0,0,1,3.0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.5,2,21.0,6.0,3.0,0.04,0.21,0.11,0.16,44.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,21.0,6.0,3.0,0.04,0.21,0.11,0.16,44.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,21.0,6.0,3.0,0.04,0.21,0.11,0.16,44.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,2.0,2.5,4.0,,,,1,1.0,0.0,-1.0,0.5,0.0,-0.5,0.5,0.0,-0.5,0.04,0.0,-0.04,0.16,0.0,-0.16,100.64,0.0,-100.64,0.75,0.0,-0.75,IND-MIL,1,1,First Round,119.47999999999999,133.38,0.1996,4,1610612754,5,1610612754,123.66,1610612754,127.06666666666668,1610612754,121.975,1610612754.0,130.2,0.35425,97.378,1610612754,96.18199999999999,96.78,0,2
3,Damian Lillard,203081,MIL @ IND,MIL,1610612749,IND,0,42400132,2025-04-22,L,37,14,7,3,4,13,0.308,2,8,0.25,4,5,0.8,0,3,0,0,2,4,-7,26.1,0.921,0.3846153846153846,G,,126.0,122.6,130.3,133.5,-4.2,0.0,0.103,0.048,0.233,0.385,3.5,0.198,0.461,96.87,96.74,0.044,73,80.61,0.198,"APR 22, 2025",240,44,87,0.506,14,35,0.4,13,19,0.684,12,31,43,26,3,6,15,19,115,116.91744611630745,8.0,3.0,38.0,0.4888888888888889,1610612754,116.91744611630745,98.36,98.86,99.36,1,1,6-2,195.0,1,0,0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0,1,37.0,13.0,4.0,0.0,0.1,0.05,0.2,73.0,87.0,35.0,0.51,0.4,38.0,0.49,99.36,37.0,13.0,4.0,0.0,0.1,0.05,0.2,73.0,87.0,35.0,0.51,0.4,38.0,0.49,99.36,37.0,13.0,4.0,0.0,0.1,0.05,0.2,73.0,87.0,35.0,0.51,0.4,38.0,0.49,99.36,3.0,3.0,,,,,1,2.67,0.0,-2.67,0.33,0.0,-0.33,2.33,0.0,-2.33,0.09,0.0,-0.09,0.18,0.0,-0.18,98.55,0.0,-98.55,1.0,0.0,-1.0,IND-MIL,1,1,First Round,119.47999999999999,133.38,0.1996,4,1610612754,5,1610612754,123.66,1610612754,127.06666666666668,1610612754,121.975,1610612754.0,130.2,0.35425,97.378,1610612754,96.18199999999999,96.78,1,2
4,Rudy Gobert,203497,MIN @ LAL,MIN,1610612750,LAL,0,42400162,2025-04-22,L,29,6,0,6,2,5,0.4,0,0,,2,4,0.5,1,5,2,0,0,1,-2,19.2,0.888,0.4,C,,94.2,92.4,102.0,102.1,-7.8,0.032,0.167,0.098,0.0,0.4,0.0,0.113,0.444,85.91,85.07,0.103,52,70.89,0.121,"APR 22, 2025",240,30,79,0.38,5,25,0.2,20,25,0.8,9,25,34,14,6,2,11,22,85,92.3913043478261,4.0,6.0,41.0,0.4533333333333333,1610612747,92.3913043478261,92.0,89.4,86.8,1,1,7-1,258.0,0,0,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0,2,24.0,2.0,1.0,0.04,0.18,0.11,0.04,46.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,24.0,2.0,1.0,0.04,0.18,0.11,0.04,46.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,24.0,2.0,1.0,0.04,0.18,0.11,0.04,46.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,3.0,6.0,6.0,,,,0,7.55,13.33,5.78,2.64,5.67,3.03,4.91,7.67,2.76,0.13,0.19,0.06,0.11,0.16,0.05,98.5,92.81,-5.69,0.91,1.0,0.09,LAL-MIN,1,1,First Round,94.28,106.64000000000001,0.189,5,1610612747,5,1610612747,92.97999999999999,1610612747,93.0,1610612747,93.1,1610612747.0,88.2,0.1875,84.958,1610612747,87.276,86.11699999999999,0,1
5,Giannis Antetokounmpo,203507,MIL @ IND,MIL,1610612749,IND,0,42400132,2025-04-22,L,40,34,7,18,14,20,0.7,0,0,,6,10,0.6,7,11,0,1,4,2,-11,65.1,1.393,0.7,F,,123.1,119.9,132.1,136.1,-9.0,0.184,0.344,0.257,0.318,0.7,1.75,0.311,0.697,96.11,96.32,0.2,78,80.27,0.311,"APR 22, 2025",240,44,87,0.506,14,35,0.4,13,19,0.684,12,31,43,26,3,6,15,19,115,116.91744611630745,8.0,3.0,38.0,0.4888888888888889,1610612754,116.91744611630745,98.36,98.86,99.36,1,1,6-11,243.0,0,1,0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.0,2,38.0,23.0,14.0,0.07,0.25,0.15,0.41,75.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,38.0,23.0,14.0,0.07,0.25,0.15,0.41,75.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,38.0,23.0,14.0,0.07,0.25,0.15,0.41,75.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,12.0,15.0,12.0,,,,1,16.25,0.0,-16.25,4.0,0.0,-4.0,12.25,0.0,-12.25,0.23,0.0,-0.23,0.34,0.0,-0.34,100.64,0.0,-100.64,4.5,0.0,-4.5,IND-MIL,1,1,First Round,119.47999999999999,133.38,0.1996,4,1610612754,5,1610612754,123.66,1610612754,127.06666666666668,1610612754,121.975,1610612754.0,130.2,0.35425,97.378,1610612754,96.18199999999999,96.78,1,2
6,Julius Randle,203944,MIN @ LAL,MIN,1610612750,LAL,0,42400162,2025-04-22,L,39,27,6,4,9,17,0.529,2,4,0.5,7,9,0.778,1,3,1,1,1,5,-14,45.8,1.288,0.5882352941176471,F,,92.6,84.7,111.6,111.0,-18.9,0.022,0.097,0.053,0.462,0.588,6.0,0.256,0.644,88.72,84.58,0.243,68,70.48,0.264,"APR 22, 2025",240,30,79,0.38,5,25,0.2,20,25,0.8,9,25,34,14,6,2,11,22,85,92.3913043478261,4.0,6.0,41.0,0.4533333333333333,1610612747,92.3913043478261,92.0,89.4,86.8,1,1,6-9,250.0,0,1,1,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5,2,35.0,11.0,6.0,0.08,0.08,0.08,0.25,64.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,35.0,11.0,6.0,0.08,0.08,0.08,0.25,64.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,35.0,11.0,6.0,0.08,0.08,0.08,0.25,64.0,86.0,42.0,0.51,0.5,38.0,0.4,90.04,5.0,4.5,5.0,,,,0,6.09,5.33,-0.76,1.73,2.0,0.27,4.36,3.33,-1.03,0.09,0.07,-0.02,0.25,0.26,0.01,98.5,92.81,-5.69,3.45,1.33,-2.12,LAL-MIN,1,1,First Round,94.28,106.64000000000001,0.189,5,1610612747,5,1610612747,92.97999999999999,1610612747,93.0,1610612747,93.1,1610612747.0,88.2,0.1875,84.958,1610612747,87.276,86.11699999999999,0,1
7,T.J. McConnell,204456,IND vs. MIL,IND,1610612754,MIL,1,42400132,2025-04-22,W,16,6,4,5,3,8,0.375,0,0,,0,0,,3,2,2,0,0,0,2,24.0,0.75,0.375,,,94.7,97.4,91.9,91.7,2.8,0.13,0.095,0.114,0.444,0.375,0.0,0.178,0.375,109.23,110.64,0.193,38,92.2,0.195,"APR 22, 2025",240,44,90,0.489,16,36,0.444,19,19,1.0,7,31,38,30,8,3,8,19,123,123.79227053140096,3.0,6.0,43.0,0.5057471264367817,1610612749,123.79227053140096,99.36,98.86,98.36,1,0,6-1,190.0,1,0,0,3.0,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,2,15.0,7.0,5.0,0.0,0.14,0.08,0.28,31.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,15.0,7.0,5.0,0.0,0.14,0.08,0.28,31.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,15.0,7.0,5.0,0.0,0.14,0.08,0.28,31.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,3.5,4.0,2.0,,,,0,3.22,3.75,0.53,0.44,1.0,0.56,2.78,2.75,-0.03,0.09,0.09,0.0,0.25,0.23,-0.02,101.22,100.64,-0.58,2.17,1.0,-1.17,IND-MIL,1,1,First Round,130.66,123.66,0.205,5,1610612749,4,1610612749,133.38,1610612749,130.3,1610612749,133.76666666666665,1610612749.0,135.3,0.4866,96.18199999999999,1610612749,97.378,96.78,0,2
8,Myles Turner,1626167,IND vs. MIL,IND,1610612754,MIL,1,42400132,2025-04-22,W,33,15,1,2,6,10,0.6,1,3,0.333,2,2,1.0,0,2,1,2,0,3,7,27.9,1.379,0.65,C,,136.9,140.4,130.2,127.8,6.8,0.0,0.077,0.04,0.037,0.65,0.0,0.155,0.689,92.91,93.23,0.076,65,77.69,0.163,"APR 22, 2025",240,44,90,0.489,16,36,0.444,19,19,1.0,7,31,38,30,8,3,8,19,123,123.79227053140096,3.0,6.0,43.0,0.5057471264367817,1610612749,123.79227053140096,99.36,98.86,98.36,1,1,6-11,250.0,0,1,1,0.0,1,3.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5,2,31.0,12.0,7.0,0.0,0.13,0.08,0.19,65.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,31.0,12.0,7.0,0.0,0.13,0.08,0.19,65.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,31.0,12.0,7.0,0.0,0.13,0.08,0.19,65.0,81.0,34.0,0.52,0.38,41.0,0.42,98.32,3.5,3.0,5.0,,,,0,4.78,4.75,-0.03,1.28,1.25,-0.03,3.5,3.5,0.0,0.09,0.08,-0.01,0.2,0.21,0.01,101.22,100.64,-0.58,1.83,1.25,-0.58,IND-MIL,1,1,First Round,130.66,123.66,0.205,5,1610612749,4,1610612749,133.38,1610612749,130.3,1610612749,133.76666666666665,1610612749.0,135.3,0.4866,96.18199999999999,1610612749,97.378,96.78,0,2
9,Bobby Portis,1626171,MIL @ IND,MIL,1610612749,IND,0,42400132,2025-04-22,L,32,28,1,12,11,19,0.579,6,11,0.545,0,1,0.0,1,11,0,1,0,2,1,46.9,1.44,0.7368421052631579,,,120.0,117.7,114.9,115.4,5.1,0.029,0.314,0.174,0.05,0.737,0.0,0.253,0.72,100.22,99.47,0.214,65,82.89,0.252,"APR 22, 2025",240,44,87,0.506,14,35,0.4,13,19,0.684,12,31,43,26,3,6,15,19,115,116.91744611630745,8.0,3.0,38.0,0.4888888888888889,1610612754,116.91744611630745,98.36,98.86,99.36,1,0,6-10,250.0,0,1,0,0.0,1,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10.0,2,25.0,8.0,2.0,0.07,0.21,0.14,0.16,51.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,25.0,8.0,2.0,0.07,0.21,0.14,0.16,51.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,25.0,8.0,2.0,0.07,0.21,0.14,0.16,51.0,84.0,37.0,0.42,0.24,43.0,0.52,92.44,8.0,10.0,8.0,,,,1,8.25,0.0,-8.25,1.5,0.0,-1.5,6.75,0.0,-6.75,0.11,0.0,-0.11,0.21,0.0,-0.21,100.64,0.0,-100.64,1.25,0.0,-1.25,IND-MIL,1,1,First Round,119.47999999999999,133.38,0.1996,4,1610612754,5,1610612754,123.66,1610612754,127.06666666666668,1610612754,121.975,1610612754.0,130.2,0.35425,97.378,1610612754,96.18199999999999,96.78,0,2
