,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,DraftKings,player_points,Shai Gilgeous-Alexander,Over,34.5,-110
1,DraftKings,player_points,Shai Gilgeous-Alexander,Under,34.5,-120
2,DraftKings,player_points,Jalen Williams,Over,21.5,-110
3,DraftKings,player_points,Jalen Williams,Under,21.5,-120
4,DraftKings,player_points,Pascal Siakam,Over,18.5,-110
5,DraftKings,player_points,Pascal Siakam,Under,18.5,-120
6,DraftKings,player_points,Tyrese Haliburton,Over,16.5,-115
7,DraftKings,player_points,Tyrese Haliburton,Under,16.5,-115
8,DraftKings,player_points,Chet Holmgren,Over,14.5,-125
9,DraftKings,player_points,Chet Holmgren,Under,14.5,-105
10,DraftKings,player_points,Myles Turner,Over,13.5,-105
11,DraftKings,player_points,Myles Turner,Under,13.5,-125
12,DraftKings,player_points,Aaron Nesmith,Over,11.5,-120
13,DraftKings,player_points,Aaron Nesmith,Under,11.5,-110
14,DraftKings,player_points,Andrew Nembhard,Over,11.5,-115
15,DraftKings,player_points,Andrew Nembhard,Under,11.5,-115
16,DraftKings,player_points,Obi Toppin,Over,10.5,-110
17,DraftKings,player_points,Obi Toppin,Under,10.5,-120
18,DraftKings,player_points,Luguentz Dort,Over,10.5,-105
19,DraftKings,player_points,Luguentz Dort,Under,10.5,-125
20,DraftKings,player_points,Alex Caruso,Over,8.5,-125
21,DraftKings,player_points,Alex Caruso,Under,8.5,-105
22,DraftKings,player_points,Isaiah Hartenstein,Over,7.5,-115
23,DraftKings,player_points,Isaiah Hartenstein,Under,7.5,-115
24,DraftKings,player_points,Cason Wallace,Over,7.5,-105
25,DraftKings,player_points,Cason Wallace,Under,7.5,-125
26,DraftKings,player_points,Bennedict Mathurin,Over,7.5,100
27,DraftKings,player_points,Bennedict Mathurin,Under,7.5,-130
28,DraftKings,player_points,T.J. McConnell,Over,6.5,-120
29,DraftKings,player_points,T.J. McConnell,Under,6.5,-110
30,DraftKings,player_points,Aaron Wiggins,Over,4.5,-135
31,DraftKings,player_points,Aaron Wiggins,Under,4.5,105
32,DraftKings,player_points,Isaiah Joe,Over,3.5,-125
33,DraftKings,player_points,Isaiah Joe,Under,3.5,-105
34,DraftKings,player_points,Ben Sheppard,Over,2.5,-135
35,DraftKings,player_points,Ben Sheppard,Under,2.5,105
36,DraftKings,player_points,Thomas Bryant,Over,2.5,-130
37,DraftKings,player_points,Thomas Bryant,Under,2.5,100
38,FanDuel,player_points,Cason Wallace,Over,7.5,-114
39,FanDuel,player_points,Cason Wallace,Under,7.5,-114
40,FanDuel,player_points,Luguentz Dort,Over,9.5,-130
41,FanDuel,player_points,Luguentz Dort,Under,9.5,-102
42,FanDuel,player_points,Tyrese Haliburton,Over,16.5,-114
43,FanDuel,player_points,Tyrese Haliburton,Under,16.5,-114
44,FanDuel,player_points,Andrew Nembhard,Over,11.5,-122
45,FanDuel,player_points,Andrew Nembhard,Under,11.5,-108
46,FanDuel,player_points,Shai Gilgeous-Alexander,Over,34.5,-108
47,FanDuel,player_points,Shai Gilgeous-Alexander,Under,34.5,-122
48,FanDuel,player_points,Aaron Nesmith,Over,11.5,-120
49,FanDuel,player_points,Aaron Nesmith,Under,11.5,-110
50,FanDuel,player_points,Chet Holmgren,Over,14.5,-128
51,FanDuel,player_points,Chet Holmgren,Under,14.5,-104
52,FanDuel,player_points,Pascal Siakam,Over,18.5,-112
53,FanDuel,player_points,Pascal Siakam,Under,18.5,-118
54,FanDuel,player_points,Jalen Williams,Over,21.5,-108
55,FanDuel,player_points,Jalen Williams,Under,21.5,-122
56,FanDuel,player_points,Isaiah Hartenstein,Over,7.5,-102
57,FanDuel,player_points,Isaiah Hartenstein,Under,7.5,-130
58,FanDuel,player_points,Myles Turner,Over,13.5,-110
59,FanDuel,player_points,Myles Turner,Under,13.5,-120
60,BetOnline.ag,player_points,Luguentz Dort,Over,9.5,-123
61,BetOnline.ag,player_points,Luguentz Dort,Under,9.5,-104
62,BetOnline.ag,player_points,Shai Gilgeous-Alexander,Over,34.5,-103
63,BetOnline.ag,player_points,Shai Gilgeous-Alexander,Under,34.5,-125
64,BetOnline.ag,player_points,Myles Turner,Over,13.5,-108
65,BetOnline.ag,player_points,Myles Turner,Under,13.5,-120
66,BetOnline.ag,player_points,T.J. McConnell,Over,6.5,-125
67,BetOnline.ag,player_points,T.J. McConnell,Under,6.5,-103
68,BetOnline.ag,player_points,Alex Caruso,Over,8.5,-123
69,BetOnline.ag,player_points,Alex Caruso,Under,8.5,-105
70,BetOnline.ag,player_points,Bennedict Mathurin,Over,7.5,104
71,BetOnline.ag,player_points,Bennedict Mathurin,Under,7.5,-135
72,BetOnline.ag,player_points,Tyrese Haliburton,Over,16.5,-119
73,BetOnline.ag,player_points,Tyrese Haliburton,Under,16.5,-109
74,BetOnline.ag,player_points,Chet Holmgren,Over,14.5,-135
75,BetOnline.ag,player_points,Chet Holmgren,Under,14.5,105
76,BetOnline.ag,player_points,Aaron Nesmith,Over,11.5,-115
77,BetOnline.ag,player_points,Aaron Nesmith,Under,11.5,-112
78,BetOnline.ag,player_points,Cason Wallace,Over,7.5,-106
79,BetOnline.ag,player_points,Cason Wallace,Under,7.5,-122
80,BetOnline.ag,player_points,Jalen Williams,Over,21.5,-130
81,BetOnline.ag,player_points,Jalen Williams,Under,21.5,100
82,BetOnline.ag,player_points,Pascal Siakam,Over,18.5,-135
