,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
0,DraftKings,player_points,Shai Gilgeous-Alexander,Over,34.5,-105
1,DraftKings,player_points,Shai Gilgeous-Alexander,Under,34.5,-125
2,DraftKings,player_points,Jalen Williams,Over,22.5,-110
3,DraftKings,player_points,Jalen Williams,Under,22.5,-120
4,DraftKings,player_points,Pascal Siakam,Over,19.5,-105
5,DraftKings,player_points,Pascal Siakam,Under,19.5,-125
6,DraftKings,player_points,Tyrese Haliburton,Over,17.5,-115
7,DraftKings,player_points,Tyrese Haliburton,Under,17.5,-115
8,DraftKings,player_points,Chet Holmgren,Over,15.5,-120
9,DraftKings,player_points,Chet Holmgren,Under,15.5,-110
10,DraftKings,player_points,Myles Turner,Over,13.5,-115
11,DraftKings,player_points,Myles Turner,Under,13.5,-115
12,DraftKings,player_points,Aaron Nesmith,Over,11.5,-105
13,DraftKings,player_points,Aaron Nesmith,Under,11.5,-125
14,DraftKings,player_points,Obi Toppin,Over,10.5,-120
15,DraftKings,player_points,Obi Toppin,Under,10.5,-110
16,DraftKings,player_points,Alex Caruso,Over,10.5,-115
17,DraftKings,player_points,Alex Caruso,Under,10.5,-115
18,DraftKings,player_points,Andrew Nembhard,Over,10.5,-105
19,DraftKings,player_points,Andrew Nembhard,Under,10.5,-125
20,DraftKings,player_points,Bennedict Mathurin,Over,8.5,-110
21,DraftKings,player_points,Bennedict Mathurin,Under,8.5,-120
22,DraftKings,player_points,Luguentz Dort,Over,8.5,-110
23,DraftKings,player_points,Luguentz Dort,Under,8.5,-120
24,DraftKings,player_points,T.J. McConnell,Over,7.5,-105
25,DraftKings,player_points,T.J. McConnell,Under,7.5,-125
26,DraftKings,player_points,Isaiah Hartenstein,Over,6.5,114
27,DraftKings,player_points,Isaiah Hartenstein,Under,6.5,-145
28,DraftKings,player_points,Cason Wallace,Over,5.5,110
29,DraftKings,player_points,Cason Wallace,Under,5.5,-140
30,DraftKings,player_points,Aaron Wiggins,Over,4.5,-120
31,DraftKings,player_points,Aaron Wiggins,Under,4.5,-110
32,DraftKings,player_points,Kenrich Williams,Over,2.5,-115
33,DraftKings,player_points,Kenrich Williams,Under,2.5,-115
34,DraftKings,player_points,Ben Sheppard,Over,2.5,100
35,DraftKings,player_points,Ben Sheppard,Under,2.5,-130
36,FanDuel,player_points,Andrew Nembhard,Over,10.5,100
37,FanDuel,player_points,Andrew Nembhard,Under,10.5,-128
38,FanDuel,player_points,Aaron Wiggins,Over,4.5,-118
39,FanDuel,player_points,Aaron Wiggins,Under,4.5,-108
40,FanDuel,player_points,Shai Gilgeous-Alexander,Over,34.5,-113
41,FanDuel,player_points,Shai Gilgeous-Alexander,Under,34.5,-113
42,FanDuel,player_points,Jalen Williams,Over,22.5,-104
43,FanDuel,player_points,Jalen Williams,Under,22.5,-122
44,FanDuel,player_points,Alex Caruso,Over,10.5,-118
45,FanDuel,player_points,Alex Caruso,Under,10.5,-108
46,FanDuel,player_points,Tyrese Haliburton,Over,16.5,-122
47,FanDuel,player_points,Tyrese Haliburton,Under,16.5,-104
48,FanDuel,player_points,Pascal Siakam,Over,19.5,104
49,FanDuel,player_points,Pascal Siakam,Under,19.5,-132
50,FanDuel,player_points,Bennedict Mathurin,Over,8.5,-120
51,FanDuel,player_points,Bennedict Mathurin,Under,8.5,-106
52,FanDuel,player_points,Chet Holmgren,Over,15.5,-122
53,FanDuel,player_points,Chet Holmgren,Under,15.5,-104
54,FanDuel,player_points,Aaron Nesmith,Over,10.5,-130
55,FanDuel,player_points,Aaron Nesmith,Under,10.5,102
56,FanDuel,player_points,Myles Turner,Over,13.5,-113
57,FanDuel,player_points,Myles Turner,Under,13.5,-113
58,FanDuel,player_points,Obi Toppin,Over,10.5,-108
59,FanDuel,player_points,Obi Toppin,Under,10.5,-118
60,FanDuel,player_points,Luguentz Dort,Over,8.5,-104
61,FanDuel,player_points,Luguentz Dort,Under,8.5,-122
62,FanDuel,player_points,Cason Wallace,Over,4.5,-132
63,FanDuel,player_points,Cason Wallace,Under,4.5,104
64,FanDuel,player_points,Isaiah Hartenstein,Over,6.5,102
65,FanDuel,player_points,Isaiah Hartenstein,Under,6.5,-130
66,FanDuel,player_points,T.J. McConnell,Over,7.5,-102
67,FanDuel,player_points,T.J. McConnell,Under,7.5,-125
68,BetMGM,player_points,Pascal Siakam,Over,19.5,-110
