PLAYER 1,CATEGORY 1,STAT TYPE 1,PLAYER 1 LINE,PLAYER 1 PREDICTION,PLAYER 2,CATEGORY 2,STAT TYPE 2,PLAYER 2 LINE,PLAYER 2 PREDICTION,TYPE,EV,PROBABILITY,KELLY CRITERION
Jayson Tatum,player_points,PTS,26.5,26,Karl-Anthony Towns,player_points,PTS,21.5,21,UNDER/UNDER,-17.66,0.2745,0.2708
Jayson Tatum,player_points,PTS,26.5,26,Anthony Edwards,player_points,PTS,26.5,23,UNDER/UNDER,1.98,0.3399,0.3366
Jayson Tatum,player_points,PTS,26.5,26,Naz Reid,player_points,PTS,12.0,12,UNDER/UNDER,-22.18,0.2594,0.2557
Jayson Tatum,player_points,PTS,26.5,26,Anthony Davis,player_points,PTS,24.5,23,UNDER/UNDER,-9.25,0.3025,0.299
Jayson Tatum,player_points,PTS,26.5,26,Nickeil Alexander-Walker,player_points,PTS,5.5,8,UNDER/OVER,6.7,0.3557,0.3524
Jayson Tatum,player_points,PTS,26.5,26,Anthony Edwards,player_points,PTS,0.5,23,UNDER/OVER,55.94,0.5198,0.5174
Jayson Tatum,player_points,PTS,26.5,26,Rui Hachimura,player_points,PTS,12.0,12,UNDER/UNDER,-21.04,0.2632,0.2595
Jayson Tatum,player_points,PTS,26.5,26,Jaden McDaniels,player_points,PTS,9.0,10,UNDER/OVER,-10.5,0.2983,0.2948
Jayson Tatum,player_points,PTS,26.5,26,Austin Reaves,player_points,PTS,14.5,15,UNDER/OVER,-13.37,0.2888,0.2852
Jayson Tatum,player_points,PTS,26.5,26,Mike Conley,player_points,PTS,10.0,11,UNDER/OVER,-11.25,0.2958,0.2923
Jayson Tatum,player_points,PTS,26.5,26,D'Angelo Russell,player_points,PTS,15.5,18,UNDER/OVER,-4.75,0.3175,0.3141
Jayson Tatum,player_points,PTS,26.5,26,Rudy Gobert,player_points,PTS,12.5,13,UNDER/OVER,-14.31,0.2856,0.2821
Jayson Tatum,player_points,PTS,26.5,26,LeBron James,player_points,PTS,24.5,25,UNDER/OVER,-18.55,0.2715,0.2679
Jayson Tatum,player_points,PTS,26.5,26,D'Angelo Russell,player_points,PTS,16.0,18,UNDER/OVER,-8.18,0.3061,0.3026
Jayson Tatum,player_points,PTS,26.5,26,Rudy Gobert,player_points,PTS,13.0,13,UNDER/OVER,-20.68,0.2644,0.2607
Jayson Tatum,player_points,PTS,26.5,26,Anthony Davis,player_points,PTS,25.0,23,UNDER/UNDER,-4.62,0.3179,0.3145
Jayson Tatum,player_points,PTS,26.5,26,Austin Reaves,player_points,PTS,15.5,15,UNDER/UNDER,-17.53,0.2749,0.2713
Jayson Tatum,player_points,PTS,26.5,26,Jaxson Hayes,player_points,PTS,4.5,3,UNDER/UNDER,2.13,0.3404,0.3371
Jayson Tatum,player_points,PTS,26.5,26,Naz Reid,player_points,PTS,11.5,12,UNDER/OVER,-15.59,0.2814,0.2778
Jayson Tatum,player_points,PTS,26.5,26,Gabe Vincent,player_points,PTS,3.5,2,UNDER/UNDER,7.81,0.3594,0.3562
Jayson Tatum,player_points,PTS,26.5,26,Jaden McDaniels,player_points,PTS,9.5,10,UNDER/OVER,-16.32,0.2789,0.2753
Jaylen Brown,player_points,PTS,23.5,22,Naz Reid,player_points,PTS,12.0,12,UNDER/OVER,-13.58,0.2881,0.2845
