NAME,CATEGORY,SIDE,BOOKMAKER,LINE,ODDS,fair_line,fair_odds,GAME_DATE
Luke Kornet,assists,over,draftkings,1.5,205,1.5,226,2024-10-22
Josh Hart,rebounds,over,fanduel,2.5,-122,4.5,100,2024-10-22
Sam Hauser,assists,over,draftkings,1.5,215,1.5,236,2024-10-22
Josh Hart,rebounds,under,fanduel,2.5,-108,4.5,100,2024-10-22
Josh Hart,assists,under,fanduel,2.5,152,4.0,100,2024-10-22
Josh Hart,assists,over,fanduel,2.5,-205,4.0,100,2024-10-22
Rudy Gobert,rebounds,over,draftkings,14.5,145,14.5,160,2024-10-23
Jesse Edwards,points,over,espnbet,28.5,110,28.5,129,2024-10-23
Anthony Davis,rebounds,under,espnbet,16.5,-200,16.5,-175,2024-10-23
LeBron James,points,under,espnbet,15.5,-140,15.5,-117,2024-10-23
LeBron James,points,over,espnbet,15.5,100,15.5,117,2024-10-23
Rudy Gobert,rebounds,under,draftkings,14.5,-188,14.5,-160,2024-10-23
Anthony Davis,rebounds,over,espnbet,16.5,140,16.5,175,2024-10-23
Jesse Edwards,points,under,espnbet,28.5,-160,28.5,-129,2024-10-23
Jaime Jaquez,points,under,fanduel,15.5,-125,11.5,100,2024-10-23
Jaime Jaquez,points,over,fanduel,15.5,-106,11.5,100,2024-10-23
Dean Wade,points,over,fanduel,6.5,-152,6.5,-129,2024-10-23
Dean Wade,points,under,fanduel,6.5,114,6.5,129,2024-10-23
LaMelo Ball,points,over,espnbet,29.5,-105,25.5,100,2024-10-23
Jalen Green,points,under,espnbet,25.5,-140,20.5,101,2024-10-23
Jalen Green,points,over,espnbet,25.5,100,20.5,-101,2024-10-23
LaMelo Ball,points,under,espnbet,29.5,-135,25.5,100,2024-10-23
Dejounte Murray,points,under,fanduel,10.5,-136,21.5,-105,2024-10-23
Nikola Vučević,points,under,fanduel,18.5,-104,18.5,-111,2024-10-23
Zach LaVine,points,over,fanduel,25.5,-102,19.5,103,2024-10-23
CJ McCollum,points,over,fanduel,23.5,124,20.5,100,2024-10-23
Brandon Ingram,points,over,fanduel,30.5,-118,30.5,-102,2024-10-23
Brandon Ingram,points,under,fanduel,30.5,-112,30.5,102,2024-10-23
