,BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE,version https://git-lfs.github.com/spec/v1
0,Underdog,player_points,Pascal Siakam,Over,26.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
1,Underdog,player_points,Pascal Siakam,Under,26.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
2,Underdog,player_points,Kristaps Porzingis,Over,18.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
3,Underdog,player_points,Kristaps Porzingis,Under,18.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
4,Underdog,player_points,Aaron Nesmith,Over,15.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
5,Underdog,player_points,Aaron Nesmith,Under,15.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
6,Underdog,player_points,Luke Kennard,Over,8.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
7,Underdog,player_points,Luke Kennard,Under,8.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
8,Underdog,player_points,Onyeka Okongwu,Over,14.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
9,Underdog,player_points,Onyeka Okongwu,Under,14.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
10,Underdog,player_points,Jay Huff,Over,7.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
11,Underdog,player_points,Jay Huff,Under,7.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
12,Underdog,player_points,Keaton Wallace,Over,4.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
13,Underdog,player_points,Keaton Wallace,Under,4.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
14,Underdog,player_points,Quenton Jackson,Over,6.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
15,Underdog,player_points,Quenton Jackson,Under,6.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
16,Underdog,player_points,Jarace Walker,Over,14.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
17,Underdog,player_points,Jarace Walker,Under,14.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
18,Underdog,player_points,RayJ Dennis,Over,11.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
19,Underdog,player_points,RayJ Dennis,Under,11.5,-137.0,2025-10-31,2025-10-31T21:57:25Z,
20,Underdog,player_points,Joel Embiid,Over,16.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
21,Underdog,player_points,Joel Embiid,Under,16.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
22,Underdog,player_points,Jaylen Brown,Over,23.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
23,Underdog,player_points,Jaylen Brown,Under,23.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
24,Underdog,player_points,Derrick White,Over,20.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
25,Underdog,player_points,Derrick White,Under,20.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
26,Underdog,player_points,Tyrese Maxey,Over,29.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
27,Underdog,player_points,Tyrese Maxey,Under,29.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
28,Underdog,player_points,Andre Drummond,Over,3.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
29,Underdog,player_points,Andre Drummond,Under,3.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
30,Underdog,player_points,Quentin Grimes,Over,14.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
31,Underdog,player_points,Quentin Grimes,Under,14.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
32,Underdog,player_points,Kelly Oubre Jr,Over,14.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
33,Underdog,player_points,Kelly Oubre Jr,Under,14.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
34,Underdog,player_points,Josh Minott,Over,9.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
35,Underdog,player_points,Josh Minott,Under,9.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
36,Underdog,player_points,Neemias Queta,Over,8.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
37,Underdog,player_points,Neemias Queta,Under,8.5,-137.0,2025-10-31,2025-10-31T21:56:46Z,
38,Underdog,player_points,Scottie Barnes,Over,17.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
39,Underdog,player_points,Scottie Barnes,Under,17.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
40,Underdog,player_points,Donovan Mitchell,Over,28.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
41,Underdog,player_points,Donovan Mitchell,Under,28.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
42,Underdog,player_points,Brandon Ingram,Over,19.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
43,Underdog,player_points,Brandon Ingram,Under,19.5,-137.0,2025-10-31,2025-10-31T21:51:50Z,
44,Underdog,player_points,Karl-Anthony Towns,Over,22.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
45,Underdog,player_points,Karl-Anthony Towns,Under,22.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
46,Underdog,player_points,Jalen Brunson,Over,26.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
47,Underdog,player_points,Jalen Brunson,Under,26.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
48,Underdog,player_points,Jordan Clarkson,Over,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
49,Underdog,player_points,Jordan Clarkson,Under,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
50,Underdog,player_points,OG Anunoby,Over,15.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
51,Underdog,player_points,OG Anunoby,Under,15.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
52,Underdog,player_points,Josh Giddey,Over,18.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
53,Underdog,player_points,Josh Giddey,Under,18.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
54,Underdog,player_points,Matas Buzelis,Over,16.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
55,Underdog,player_points,Matas Buzelis,Under,16.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
56,Underdog,player_points,Patrick Williams,Over,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
57,Underdog,player_points,Patrick Williams,Under,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
58,Underdog,player_points,Mitchell Robinson,Over,4.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
59,Underdog,player_points,Mitchell Robinson,Under,4.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
60,Underdog,player_points,Tre Jones,Over,11.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
61,Underdog,player_points,Tre Jones,Under,11.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
62,Underdog,player_points,Kevin Huerter,Over,11.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
63,Underdog,player_points,Kevin Huerter,Under,11.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
64,Underdog,player_points,Landry Shamet,Over,4.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
65,Underdog,player_points,Landry Shamet,Under,4.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
66,Underdog,player_points,Jalen Smith,Over,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
67,Underdog,player_points,Jalen Smith,Under,7.5,-137.0,2025-11-01,2025-10-31T21:57:23Z,
68,Underdog,player_points,Luka Doncic,Over,31.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
69,Underdog,player_points,Luka Doncic,Under,31.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
70,Underdog,player_points,Ja Morant,Over,24.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
71,Underdog,player_points,Ja Morant,Under,24.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
72,Underdog,player_points,Austin Reaves,Over,24.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
73,Underdog,player_points,Austin Reaves,Under,24.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
74,Underdog,player_points,Rui Hachimura,Over,13.5,-137.0,2025-11-01,2025-10-31T21:57:27Z,
