NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Josh Giddey,8.0,0.8,0.6,0.4,0.884,0.116
Nique Clifford,1.5,1.0,0.6,0.4,0.76,0.24
Davion Mitchell,7.0,0.6,0.5,0.4,0.756,0.244
Cade Cunningham,9.5,0.8,0.6,0.47,0.734,0.266
Dyson Daniels,5.5,0.8,0.6,0.4,0.728,0.272
Austin Reaves,6.0,0.6,0.6,0.4,0.67,0.33
Ja Morant,7.5,1.0,0.7,0.47,0.617,0.383
Keldon Johnson,1.5,0.6,0.4,0.27,0.603,0.397
Buddy Hield,1.5,0.8,0.7,0.53,0.587,0.413
Mitchell Robinson,0.5,0.6,0.3,0.2,0.585,0.415
Tre Mann,3.5,0.6,0.5,0.33,0.567,0.433
Landry Shamet,0.5,0.4,0.5,0.33,0.554,0.446
Karl-Anthony Towns,2.5,0.8,0.6,0.4,0.52,0.48
Kon Knueppel,3.5,0.4,0.3,0.2,0.5,0.5
Mikal Bridges,4.5,0.8,0.7,0.47,0.487,0.513
Neemias Queta,1.5,0.6,0.5,0.33,0.483,0.517
Christian Braun,2.5,0.6,0.5,0.33,0.448,0.552
Franz Wagner,3.5,0.6,0.4,0.33,0.429,0.571
Anfernee Simons,2.5,0.4,0.2,0.2,0.424,0.576
Brook Lopez,0.5,0.2,0.3,0.2,0.38,0.62
Jalen Suggs,4.0,0.6,0.4,0.27,0.371,0.629
Amen Thompson,5.5,0.4,0.4,0.27,0.369,0.631
Tre Jones,6.0,0.2,0.4,0.27,0.366,0.634
De'Aaron Fox,5.0,0.0,0.0,0.0,0.364,0.636
Jonathan Kuminga,2.5,0.6,0.6,0.53,0.363,0.637
Stephon Castle,7.0,0.8,0.5,0.33,0.362,0.638
Cameron Johnson,2.5,0.4,0.2,0.13,0.359,0.641
Ayo Dosunmu,3.5,0.4,0.2,0.13,0.347,0.653
Jrue Holiday,7.0,0.4,0.4,0.27,0.346,0.654
Paolo Banchero,4.5,0.2,0.4,0.27,0.343,0.657
Miles Bridges,4.0,0.6,0.4,0.27,0.339,0.661
Domantas Sabonis,4.0,0.6,0.3,0.2,0.331,0.669
Derik Queen,2.5,0.4,0.2,0.13,0.323,0.677
Victor Wembanyama,3.5,0.4,0.5,0.33,0.322,0.678
Alperen Sengun,6.5,0.8,0.7,0.47,0.321,0.679
James Harden,9.5,0.6,0.5,0.33,0.316,0.684
Deni Avdija,5.0,0.4,0.3,0.2,0.303,0.697
Kevin Durant,3.5,0.6,0.3,0.2,0.287,0.713
Saddiq Bey,1.5,0.2,0.4,0.27,0.284,0.716
Ryan Rollins,6.5,0.4,0.5,0.33,0.266,0.734
Grayson Allen,4.0,0.2,0.5,0.4,0.259,0.741
Jaylen Brown,4.5,0.4,0.4,0.27,0.24,0.76
Jamal Murray,5.5,0.6,0.5,0.33,0.217,0.783
Derrick White,5.0,0.8,0.5,0.33,0.215,0.785
Kyle Kuzma,2.5,0.0,0.2,0.13,0.203,0.797
Payton Pritchard,4.0,0.4,0.5,0.4,0.196,0.804
Devin Booker,7.5,0.4,0.4,0.27,0.193,0.807
Ajay Mitchell,4.0,0.2,0.3,0.2,0.183,0.817
Shai Gilgeous-Alexander,6.5,0.4,0.5,0.33,0.172,0.828
Jose Alvarado,4.0,0.4,0.2,0.13,0.147,0.853
Lonzo Ball,6.0,0.2,0.2,0.13,0.12,0.88
Jeremiah Fears,4.0,0.0,0.2,0.13,0.112,0.888
Draymond Green,5.0,0.2,0.4,0.33,0.099,0.901
Stephen Curry,4.5,0.2,0.2,0.13,0.086,0.914
Caris LeVert,4.5,0.0,0.0,0.0,0.054,0.946
Luka Doncic,8.0,0.0,0.0,0.0,,
