NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%,IMPLIED_ODDS
Myles Turner,1.5,0.6,0.4,0.4,0.476,0.524,2.099
Zaccharie Risacher,0.5,0.6,0.5,0.53,0.566,0.434,1.766
Bam Adebayo,0.5,0.8,0.7,0.47,0.648,0.352,1.543
Nicolas Batum,0.5,0.2,0.2,0.27,0.319,0.681,3.133
Ryan Kalkbrenner,1.5,0.2,0.4,0.53,0.419,0.581,2.389
Brandon Miller,0.5,0.6,0.4,0.27,0.675,0.325,1.481
Noah Clowney,0.5,0.6,0.7,0.47,0.689,0.311,1.451
Alperen Sengun,0.5,0.6,0.6,0.53,0.615,0.385,1.627
Steven Adams,0.5,0.4,0.4,0.4,0.488,0.512,2.047
Reed Sheppard,0.5,0.4,0.4,0.33,0.371,0.629,2.694
