NAME,LINE,L-5,L-10,L-15
Ajay Mitchell,1.5,1.0,0.8,0.6
Naz Reid,1.5,0.8,0.6,0.6
P.J. Washington,1.5,0.8,0.9,0.67
Saddiq Bey,0.5,0.8,0.5,0.47
Matas Buzelis,1.5,0.8,0.7,0.53
Gradey Dick,0.5,0.8,0.4,0.47
VJ Edgecombe,1.5,0.6,0.6,0.47
Josh Giddey,1.5,0.6,0.4,0.27
Derik Queen,1.5,0.6,0.5,0.4
Donovan Mitchell,1.5,0.6,0.4,0.4
Brandon Ingram,1.5,0.6,0.6,0.53
Kevin Huerter,1.5,0.6,0.6,0.47
Rudy Gobert,2.5,0.6,0.5,0.33
Ryan Rollins,1.5,0.4,0.4,0.53
Simone Fontecchio,0.5,0.4,0.5,0.4
Quentin Grimes,1.5,0.2,0.4,0.27
Pascal Siakam,1.5,0.2,0.5,0.33
Bobby Portis,0.5,0.2,0.1,0.13
Chet Holmgren,2.5,0.0,0.3,0.2
