NAME,CATEGORY,LINE,L-5,L-10,L-15
Aaron Nesmith,player_field_goals,6.0,0.2,0.2,0.2
Isaiah Jackson,player_field_goals,4.0,0.2,0.1,0.13
Cade Cunningham,player_field_goals,10.0,0.4,0.5,0.47
Lauri Markkanen,player_field_goals,8.0,0.8,0.5,0.4
Keyonte George,player_field_goals,6.0,0.6,0.3,0.33
Ausar Thompson,player_field_goals,5.5,0.4,0.4,0.53
Duncan Robinson,player_field_goals,4.0,0.2,0.3,0.33
Tyrese Maxey,player_field_goals,9.5,0.6,0.5,0.47
Donovan Mitchell,player_field_goals,8.5,0.8,0.7,0.53
Evan Mobley,player_field_goals,7.5,0.2,0.3,0.4
VJ Edgecombe,player_field_goals,6.5,0.4,0.3,0.2
Quentin Grimes,player_field_goals,5.0,0.6,0.5,0.67
Jaylen Brown,player_field_goals,8.5,0.6,0.6,0.53
Alex Sarr,player_field_goals,6.0,0.6,0.3,0.33
Kyshawn George,player_field_goals,5.0,0.6,0.5,0.33
Corey Kispert,player_field_goals,2.5,0.4,0.6,0.67
Anthony Edwards,player_field_goals,8.5,0.6,0.8,0.6
Julius Randle,player_field_goals,7.0,0.8,0.7,0.6
Mikal Bridges,player_field_goals,6.0,0.6,0.4,0.4
Donte DiVincenzo,player_field_goals,4.5,0.6,0.4,0.4
Kevin Durant,player_field_goals,8.5,0.4,0.5,0.4
Alperen Sengun,player_field_goals,8.0,0.2,0.3,0.27
Ja Morant,player_field_goals,7.5,0.4,0.6,0.73
Amen Thompson,player_field_goals,6.5,0.4,0.4,0.47
Cedric Coward,player_field_goals,4.5,0.6,0.6,0.4
Jaylen Wells,player_field_goals,3.5,0.2,0.2,0.27
Trey Murphy III,player_field_goals,7.0,0.0,0.1,0.27
Cooper Flagg,player_field_goals,6.5,0.2,0.1,0.07
P.J. Washington,player_field_goals,6.0,0.2,0.3,0.4
Naji Marshall,player_field_goals,3.5,0.4,0.4,0.47
Jamal Murray,player_field_goals,8.0,0.4,0.4,0.47
Andrew Wiggins,player_field_goals,6.0,0.6,0.3,0.4
Aaron Gordon,player_field_goals,5.5,0.2,0.5,0.4
Cameron Johnson,player_field_goals,4.0,0.2,0.4,0.53
Davion Mitchell,player_field_goals,3.5,0.6,0.6,0.6
Bruce Brown,player_field_goals,2.5,0.4,0.5,0.6
DeMar DeRozan,player_field_goals,8.5,0.4,0.3,0.47
Victor Wembanyama,player_field_goals,9.5,0.4,0.4,0.33
Rui Hachimura,player_field_goals,5.0,0.8,0.7,0.53
Jake LaRavia,player_field_goals,4.0,0.8,0.4,0.33
Shai Gilgeous-Alexander,player_field_goals,10.5,0.4,0.7,0.53
Deni Avdija,player_field_goals,7.0,0.4,0.6,0.53
Shaedon Sharpe,player_field_goals,6.0,0.6,0.5,0.67
Jerami Grant,player_field_goals,5.0,0.4,0.5,0.4
Jrue Holiday,player_field_goals,5.0,0.6,0.3,0.33
Toumani Camara,player_field_goals,4.5,0.6,0.6,0.6
