NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
Franz Wagner,player_field_goals,8.5,2,0.4,5,0.5,7,0.47
Paolo Banchero,player_field_goals,8.5,1,0.2,4,0.4,9,0.6
Miles Bridges,player_field_goals,7.0,0,0.0,1,0.1,1,0.07
Desmond Bane,player_field_goals,7.0,1,0.2,4,0.4,6,0.4
Anthony Black,player_field_goals,4.0,2,0.4,4,0.4,6,0.4
Stephen Curry,player_field_goals,8.5,3,0.6,6,0.6,8,0.53
Jonathan Kuminga,player_field_goals,6.0,1,0.2,2,0.2,3,0.2
Ryan Rollins,player_field_goals,4.5,3,0.6,5,0.5,8,0.53
Cole Anthony,player_field_goals,3.5,2,0.4,3,0.3,6,0.4
Shai Gilgeous-Alexander,player_field_goals,11.5,4,0.8,5,0.5,7,0.47
Aaron Wiggins,player_field_goals,6.0,3,0.6,5,0.5,7,0.47
Alex Sarr,player_field_goals,5.5,2,0.4,4,0.4,7,0.47
Bam Adebayo,player_field_goals,7.5,3,0.6,7,0.7,8,0.53
Devin Vassell,player_field_goals,6.0,1,0.2,3,0.3,7,0.47
Kel'el Ware,player_field_goals,4.5,2,0.4,6,0.6,8,0.53
Davion Mitchell,player_field_goals,4.0,1,0.2,4,0.4,8,0.53
Keldon Johnson,player_field_goals,4.0,3,0.6,5,0.5,8,0.53
