NAME,CATEGORY,LINE,L-5,L-10,L-15
Rudy Gobert,player_frees_attempts,3.5,0.0,0.0,0.0
Giannis Antetokounmpo,player_frees_attempts,11.0,0.0,0.0,0.0
Pascal Siakam,player_frees_attempts,7.0,0.0,0.0,0.0
Keyonte George,player_frees_attempts,6.5,0.0,0.0,0.0
Jalen Brunson,player_frees_attempts,7.0,0.0,0.0,0.0
Karl-Anthony Towns,player_frees_attempts,6.5,0.0,0.0,0.0
Alex Sarr,player_frees_attempts,3.5,0.0,0.0,0.0
Kevin Durant,player_frees_attempts,6.5,0.0,0.0,0.0
Cooper Flagg,player_frees_attempts,3.5,0.0,0.0,0.0
D'Angelo Russell,player_frees_attempts,3.5,0.0,0.0,0.0
Ja Morant,player_frees_attempts,6.5,0.0,0.0,0.0
Cade Cunningham,player_frees_attempts,6.0,0.0,0.0,0.0
Deni Avdija,player_frees_attempts,6.5,0.0,0.0,0.0
Kawhi Leonard,player_frees_attempts,4.0,0.0,0.0,0.0
Bam Adebayo,player_frees_attempts,4.0,0.0,0.0,0.0
Norman Powell,player_frees_attempts,4.0,0.0,0.0,0.0
