NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
Paolo Banchero,player_frees_attempts,9.5,0,0.0,0,0.0,0,0.0
LaMelo Ball,player_frees_attempts,6.5,0,0.0,0,0.0,0,0.0
Franz Wagner,player_frees_attempts,5.5,0,0.0,0,0.0,0,0.0
Miles Bridges,player_frees_attempts,4.0,0,0.0,0,0.0,0,0.0
Kon Knueppel,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Ryan Kalkbrenner,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Tristan da Silva,player_frees_attempts,0.5,0,0.0,0,0.0,0,0.0
Giannis Antetokounmpo,player_frees_attempts,11.5,0,0.0,0,0.0,0,0.0
Myles Turner,player_frees_attempts,2.5,0,0.0,0,0.0,0,0.0
Brandin Podziemski,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Moses Moody,player_frees_attempts,0.5,0,0.0,0,0.0,0,0.0
Shai Gilgeous-Alexander,player_frees_attempts,9.5,0,0.0,0,0.0,0,0.0
Alex Sarr,player_frees_attempts,2.5,0,0.0,0,0.0,0,0.0
Ajay Mitchell,player_frees_attempts,2.5,0,0.0,0,0.0,0,0.0
Luguentz Dort,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Tre Johnson,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Cam Whitmore,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Victor Wembanyama,player_frees_attempts,8.5,0,0.0,0,0.0,0,0.0
Bam Adebayo,player_frees_attempts,5.5,0,0.0,0,0.0,0,0.0
Bam Adebayo,player_frees_attempts,5.0,0,0.0,0,0.0,0,0.0
Stephon Castle,player_frees_attempts,5.0,0,0.0,0,0.0,0,0.0
Andrew Wiggins,player_frees_attempts,3.5,0,0.0,0,0.0,0,0.0
Dylan Harper,player_frees_attempts,2.5,0,0.0,0,0.0,0,0.0
Pelle Larsson,player_frees_attempts,1.5,0,0.0,0,0.0,0,0.0
Julian Champagnie,player_frees_attempts,0.5,0,0.0,0,0.0,0,0.0
