NAME,CATEGORY,LINE,L-5,L-10,L-15
Josh Hart,player_frees_made,1.5,0.2,0.2,0.13
Paolo Banchero,player_frees_made,5.5,0.8,0.7,0.47
Josh Minott,player_frees_made,0.5,0.8,0.7,0.47
Shai Gilgeous-Alexander,player_frees_made,7.5,0.6,0.5,0.33
Cedric Coward,player_frees_made,2.5,0.8,0.7,0.47
Cade Cunningham,player_frees_made,5.5,0.4,0.4,0.27
Jalen Duren,player_frees_made,3.5,0.8,0.5,0.33
Quentin Grimes,player_frees_made,2.5,0.4,0.5,0.33
Trendon Watford,player_frees_made,2.5,0.6,0.3,0.2
Adem Bona,player_frees_made,0.5,0.2,0.3,0.2
Pascal Siakam,player_frees_made,4.5,0.4,0.5,0.33
Aaron Nesmith,player_frees_made,2.5,0.8,0.4,0.27
Brandin Podziemski,player_frees_made,1.5,0.6,0.5,0.33
Jarace Walker,player_frees_made,1.5,0.4,0.3,0.2
Julius Randle,player_frees_made,4.5,0.8,0.6,0.4
Malik Monk,player_frees_made,1.5,0.6,0.4,0.27
