NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Shaedon Sharpe,18.5,0.8,0.8,0.6,0.897,0.103
Keyonte George,20.5,0.8,0.6,0.6,0.887,0.113
Aaron Wiggins,10.5,0.8,0.6,0.4,0.842,0.158
Donovan Clingan,9.5,0.6,0.4,0.33,0.841,0.159
Jock Landale,8.5,0.8,0.6,0.73,0.829,0.171
LeBron James,19.5,0.2,0.1,0.07,0.809,0.191
Jordan Clarkson,9.5,0.4,0.6,0.6,0.774,0.226
Shai Gilgeous-Alexander,30.5,1.0,0.7,0.6,0.771,0.229
Isaiah Collier,6.5,0.6,0.7,0.47,0.771,0.229
Jerami Grant,17.5,0.6,0.5,0.6,0.757,0.243
Nickeil Alexander-Walker,18.5,0.6,0.6,0.53,0.748,0.252
Austin Reaves,24.5,0.8,0.6,0.73,0.746,0.254
Miles McBride,11.5,0.6,0.4,0.33,0.738,0.262
Brice Sensabaugh,8.5,0.4,0.6,0.4,0.731,0.269
Jaylen Brown,27.5,0.8,0.6,0.67,0.731,0.269
Santi Aldama,12.5,0.8,0.6,0.6,0.726,0.274
De'Aaron Fox,23.5,0.8,0.7,0.47,0.723,0.277
Payton Pritchard,15.5,0.6,0.6,0.53,0.717,0.283
Jalen Williams,16.5,0.0,0.0,0.0,0.715,0.285
Harrison Barnes,12.5,0.6,0.5,0.6,0.713,0.287
Neemias Queta,9.5,0.6,0.5,0.4,0.709,0.291
Ajay Mitchell,10.5,0.8,0.9,0.8,0.704,0.296
Reed Sheppard,14.5,0.6,0.6,0.47,0.693,0.307
Jalen Brunson,28.5,0.6,0.5,0.67,0.692,0.308
Mikal Bridges,15.5,0.8,0.7,0.6,0.69,0.31
Dylan Harper,10.5,0.8,0.7,0.47,0.681,0.319
Tyrese Maxey,29.5,0.2,0.5,0.47,0.678,0.322
Kyle Filipowski,8.5,0.4,0.4,0.33,0.673,0.327
Aaron Holiday,8.5,0.8,0.5,0.33,0.672,0.328
Deni Avdija,23.5,0.6,0.6,0.6,0.668,0.332
Keegan Murray,17.5,0.8,0.4,0.27,0.663,0.337
Lauri Markkanen,26.0,0.4,0.5,0.53,0.652,0.348
Donovan Mitchell,28.5,0.6,0.7,0.67,0.64,0.36
Karl-Anthony Towns,23.5,0.4,0.4,0.33,0.639,0.361
