NAME,LINE,L-5,L-10,L-15
Duncan Robinson,11.5,1.0,0.9,0.73
Jalen Duren,20.5,1.0,0.8,0.6
Jalen Johnson,30.5,1.0,0.5,0.33
Onyeka Okongwu,16.5,1.0,0.6,0.53
Kyshawn George,19.5,0.8,0.4,0.47
Mikal Bridges,19.5,0.8,0.6,0.6
Josh Hart,15.5,0.8,0.7,0.47
Anthony Black,14.5,0.8,0.5,0.53
Tristan da Silva,14.5,0.8,0.5,0.53
Matas Buzelis,14.5,0.8,0.6,0.6
Cade Cunningham,36.5,0.8,0.7,0.47
Jalen Smith,10.5,0.6,0.7,0.6
Ayo Dosunmu,18.5,0.6,0.5,0.4
Tre Johnson,11.5,0.6,0.4,0.6
Jamal Murray,28.5,0.6,0.5,0.47
Max Christie,14.5,0.6,0.6,0.6
Franz Wagner,28.5,0.6,0.5,0.4
Alex Sarr,21.5,0.6,0.6,0.47
D'Angelo Russell,18.5,0.6,0.4,0.53
Ausar Thompson,12.5,0.6,0.7,0.53
Ryan Rollins,28.5,0.6,0.3,0.33
Cooper Flagg,21.5,0.6,0.5,0.47
Nickeil Alexander-Walker,22.5,0.6,0.5,0.4
Trey Murphy III,24.5,0.6,0.6,0.47
Desmond Bane,25.5,0.6,0.5,0.33
Jordan Clarkson,11.5,0.6,0.6,0.4
Jeremiah Fears,19.5,0.6,0.4,0.47
Landry Shamet,10.5,0.6,0.5,0.4
Goga Bitadze,6.5,0.6,0.5,0.47
Bruce Brown,10.5,0.4,0.4,0.33
Cedric Coward,19.5,0.4,0.3,0.27
P.J. Washington,18.5,0.4,0.4,0.4
Cam Spencer,14.5,0.4,0.4,0.33
Santi Aldama,20.5,0.4,0.2,0.13
DeMar DeRozan,21.5,0.4,0.4,0.53
Malik Monk,14.5,0.4,0.5,0.53
Naji Marshall,14.5,0.4,0.5,0.4
Cameron Johnson,16.5,0.4,0.2,0.13
Russell Westbrook,20.5,0.4,0.6,0.53
Jaylen Wells,13.5,0.4,0.3,0.27
Jock Landale,9.5,0.4,0.7,0.6
Zach LaVine,21.5,0.4,0.5,0.6
Jalen Brunson,34.5,0.4,0.5,0.4
Corey Kispert,9.5,0.4,0.4,0.53
Coby White,25.5,0.4,0.2,0.13
Bilal Coulibaly,14.5,0.4,0.3,0.2
Karl-Anthony Towns,24.5,0.4,0.6,0.47
Derik Queen,20.5,0.4,0.4,0.27
Dyson Daniels,16.5,0.4,0.5,0.4
Zaccharie Risacher,14.5,0.4,0.5,0.4
Saddiq Bey,14.5,0.4,0.5,0.4
Precious Achiuwa,5.5,0.4,0.4,0.27
Kevin Huerter,14.5,0.4,0.5,0.6
Isaac Okoro,9.5,0.4,0.5,0.47
Myles Turner,17.5,0.4,0.3,0.27
Kyle Kuzma,16.5,0.4,0.4,0.33
Cole Anthony,14.5,0.2,0.5,0.47
Josh Giddey,31.0,0.2,0.5,0.33
Bobby Portis,18.5,0.2,0.1,0.07
Peyton Watson,14.5,0.2,0.2,0.13
Brandon Williams,19.5,0.2,0.4,0.33
Kentavious Caldwell-Pope,10.5,0.0,0.3,0.53
Patrick Williams,10.5,0.0,0.2,0.33
Keegan Murray,12.5,0.0,0.0,0.0
