NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
LaMelo Ball,player_points_assists,33.5,3,0.6,5,0.5,6,0.4
Paolo Banchero,player_points_assists,30.5,2,0.4,4,0.4,8,0.53
Franz Wagner,player_points_assists,26.5,2,0.4,6,0.6,8,0.53
Miles Bridges,player_points_assists,23.5,2,0.4,3,0.3,4,0.27
Collin Sexton,player_points_assists,22.5,3,0.6,6,0.6,9,0.6
Desmond Bane,player_points_assists,22.5,2,0.4,6,0.6,9,0.6
Kon Knueppel,player_points_assists,15.5,2,0.4,2,0.2,2,0.13
Anthony Black,player_points_assists,14.5,2,0.4,4,0.4,6,0.4
Tristan da Silva,player_points_assists,10.5,3,0.6,5,0.5,5,0.33
Ryan Kalkbrenner,player_points_assists,8.5,3,0.6,3,0.3,3,0.2
Sion James,player_points_assists,6.5,3,0.6,3,0.3,3,0.2
Giannis Antetokounmpo,player_points_assists,38.5,4,0.8,7,0.7,7,0.47
Stephen Curry,player_points_assists,32.5,3,0.6,5,0.5,7,0.47
Jonathan Kuminga,player_points_assists,19.5,1,0.2,2,0.2,2,0.13
Ryan Rollins,player_points_assists,15.5,2,0.4,3,0.3,6,0.4
Draymond Green,player_points_assists,14.5,4,0.8,5,0.5,7,0.47
Cole Anthony,player_points_assists,14.5,1,0.2,2,0.2,5,0.33
Myles Turner,player_points_assists,14.5,2,0.4,6,0.6,9,0.6
Brandin Podziemski,player_points_assists,13.5,3,0.6,6,0.6,9,0.6
Bobby Portis,player_points_assists,10.5,3,0.6,7,0.7,11,0.73
Kyle Kuzma,player_points_assists,9.5,3,0.6,8,0.8,13,0.87
Moses Moody,player_points_assists,9.5,3,0.6,4,0.4,7,0.47
Al Horford,player_points_assists,7.5,4,0.8,8,0.8,13,0.87
Buddy Hield,player_points_assists,7.5,2,0.4,6,0.6,10,0.67
Shai Gilgeous-Alexander,player_points_assists,40.5,2,0.4,3,0.3,4,0.27
Aaron Wiggins,player_points_assists,19.5,3,0.6,5,0.5,7,0.47
Kyshawn George,player_points_assists,18.5,3,0.6,4,0.4,5,0.33
Ajay Mitchell,player_points_assists,18.5,3,0.6,4,0.4,4,0.27
Alex Sarr,player_points_assists,17.5,3,0.6,5,0.5,7,0.47
Isaiah Hartenstein,player_points_assists,15.5,2,0.4,4,0.4,8,0.53
Khris Middleton,player_points_assists,14.5,2,0.4,3,0.3,6,0.4
Tre Johnson,player_points_assists,13.5,3,0.6,3,0.3,3,0.2
Cason Wallace,player_points_assists,12.5,0,0.0,3,0.3,6,0.4
Luguentz Dort,player_points_assists,12.5,2,0.4,4,0.4,7,0.47
Alex Caruso,player_points_assists,11.5,2,0.4,4,0.4,6,0.4
Cam Whitmore,player_points_assists,9.5,3,0.6,6,0.6,9,0.6
Corey Kispert,player_points_assists,8.5,3,0.6,8,0.8,11,0.73
Victor Wembanyama,player_points_assists,32.5,2,0.4,3,0.3,4,0.27
Bam Adebayo,player_points_assists,24.5,3,0.6,7,0.7,8,0.53
Stephon Castle,player_points_assists,22.5,3,0.6,8,0.8,11,0.73
Andrew Wiggins,player_points_assists,19.5,1,0.2,3,0.3,7,0.47
Devin Vassell,player_points_assists,19.5,2,0.4,4,0.4,8,0.53
Dylan Harper,player_points_assists,18.5,1,0.2,1,0.1,1,0.07
Davion Mitchell,player_points_assists,17.5,1,0.2,5,0.5,9,0.6
Keldon Johnson,player_points_assists,12.5,3,0.6,5,0.5,9,0.6
Harrison Barnes,player_points_assists,11.5,3,0.6,7,0.7,11,0.73
Kel'el Ware,player_points_assists,11.5,3,0.6,7,0.7,9,0.6
Pelle Larsson,player_points_assists,11.0,2,0.4,5,0.5,5,0.33
Julian Champagnie,player_points_assists,10.5,2,0.4,5,0.5,9,0.6
