NAME,LINE,L-5,L-10,L-15
Duncan Robinson,13.5,1.0,0.8,0.73
Bennedict Mathurin,27.5,1.0,0.5,0.33
Ayo Dosunmu,17.5,0.8,0.6,0.53
Josh Giddey,28.5,0.8,0.7,0.6
Tobias Harris,16.5,0.8,0.6,0.4
Kel'el Ware,24.5,0.8,0.7,0.47
Jalen Brunson,30.5,0.8,0.7,0.6
Jalen Duren,31.5,0.8,0.8,0.6
Stephen Curry,32.5,0.8,0.5,0.47
Jordan Goodwin,17.5,0.8,0.5,0.33
Keyonte George,24.5,0.8,0.6,0.67
Davion Mitchell,13.5,0.8,0.6,0.4
Jakob Poeltl,21.5,0.8,0.6,0.4
Naz Reid,18.5,0.8,0.5,0.53
Tre Jones,11.5,0.8,0.9,0.8
Saddiq Bey,16.5,0.6,0.7,0.47
Trey Murphy III,26.5,0.6,0.7,0.47
Klay Thompson,13.5,0.6,0.6,0.53
Max Christie,14.5,0.6,0.8,0.8
Derik Queen,25.5,0.6,0.4,0.27
Naji Marshall,16.5,0.6,0.6,0.4
Jeremiah Fears,20.5,0.6,0.5,0.4
Alperen Sengun,34.5,0.6,0.5,0.4
Jamal Murray,27.5,0.6,0.3,0.47
Donovan Clingan,22.5,0.6,0.3,0.27
Reed Sheppard,22.0,0.6,0.3,0.2
Collin Gillespie,18.0,0.6,0.4,0.33
Lauri Markkanen,31.5,0.6,0.4,0.6
Brandin Podziemski,17.5,0.6,0.5,0.47
Julius Randle,30.0,0.6,0.5,0.67
Rudy Gobert,22.5,0.6,0.6,0.53
Russell Westbrook,20.5,0.6,0.6,0.6
Brandon Williams,16.5,0.6,0.5,0.4
Donovan Mitchell,35.5,0.6,0.6,0.6
Ausar Thompson,16.5,0.6,0.6,0.53
Ziaire Williams,12.5,0.6,0.5,0.47
Andrew Nembhard,19.5,0.6,0.5,0.33
Pascal Siakam,30.0,0.6,0.6,0.6
Cade Cunningham,32.5,0.6,0.6,0.4
Jordan Clarkson,16.0,0.6,0.3,0.2
Collin Murray-Boyles,10.5,0.6,0.5,0.4
Gradey Dick,10.5,0.6,0.5,0.47
Tyrese Martin,11.5,0.4,0.5,0.47
Lonzo Ball,12.5,0.4,0.5,0.4
Bobby Portis,23.5,0.4,0.2,0.13
Toumani Camara,19.5,0.4,0.4,0.4
Bam Adebayo,30.5,0.4,0.5,0.33
Kris Murray,12.5,0.4,0.3,0.33
Oso Ighodaro,11.5,0.4,0.2,0.13
Ace Bailey,15.5,0.4,0.5,0.33
Bruce Brown,12.5,0.4,0.4,0.4
Isaiah Collier,11.5,0.4,0.3,0.2
Brice Sensabaugh,11.5,0.4,0.4,0.4
Jaylon Tyson,18.5,0.4,0.5,0.33
Zach LaVine,24.0,0.4,0.4,0.6
Immanuel Quickley,21.5,0.4,0.6,0.4
DeMar DeRozan,21.0,0.4,0.5,0.6
Brandon Ingram,27.5,0.4,0.4,0.53
Jaden McDaniels,19.5,0.4,0.5,0.53
Donte DiVincenzo,17.5,0.4,0.4,0.47
Malik Monk,14.5,0.4,0.5,0.53
Cam Spencer,12.5,0.4,0.6,0.47
Kyle Kuzma,19.5,0.4,0.4,0.4
Jay Huff,10.5,0.4,0.4,0.33
Jarace Walker,12.5,0.4,0.5,0.6
Josh Hart,21.5,0.4,0.5,0.33
Karl-Anthony Towns,36.5,0.4,0.4,0.33
Cameron Johnson,17.5,0.4,0.2,0.2
Evan Mobley,30.5,0.4,0.4,0.4
T.J. McConnell,10.5,0.4,0.3,0.2
D'Angelo Russell,15.5,0.4,0.2,0.33
Kevin Huerter,13.5,0.4,0.7,0.73
Pelle Larsson,16.5,0.4,0.4,0.4
Peyton Watson,19.0,0.4,0.3,0.2
Cooper Flagg,22.5,0.4,0.4,0.47
P.J. Washington,24.5,0.4,0.3,0.27
Cedric Coward,19.5,0.4,0.5,0.47
Noah Clowney,17.5,0.4,0.6,0.4
Day'Ron Sharpe,11.5,0.2,0.3,0.33
Daniel Gafford,18.5,0.2,0.3,0.2
Trayce Jackson-Davis,16.5,0.2,0.1,0.07
Keegan Murray,18.5,0.2,0.1,0.07
Simone Fontecchio,15.5,0.2,0.3,0.33
Terance Mann,12.5,0.2,0.2,0.4
Anthony Edwards,34.0,0.2,0.3,0.33
Miles McBride,13.5,0.2,0.2,0.27
Zion Williamson,31.5,0.2,0.3,0.2
Drew Eubanks,12.5,0.2,0.4,0.27
Precious Achiuwa,12.5,0.2,0.3,0.2
Moses Moody,16.5,0.2,0.3,0.33
Dean Wade,12.5,0.2,0.1,0.13
Zach Edey,20.5,0.2,0.1,0.07
Isaiah Jackson,13.5,0.2,0.5,0.47
Jose Alvarado,10.5,0.2,0.3,0.27
Cole Anthony,12.5,0.2,0.4,0.47
Sidy Cissoko,11.5,0.2,0.1,0.07
Devin Booker,30.5,0.2,0.3,0.47
Amen Thompson,26.5,0.2,0.3,0.27
Jamal Shead,8.5,0.2,0.3,0.33
Royce O'Neale,16.5,0.2,0.5,0.6
Josh Okogie,12.5,0.2,0.3,0.27
Matas Buzelis,19.5,0.2,0.4,0.47
Nick Richards,15.5,0.0,0.0,0.07
Scottie Barnes,28.5,0.0,0.1,0.27
Kentavious Caldwell-Pope,10.5,0.0,0.2,0.4
Jaylen Wells,14.5,0.0,0.1,0.13
