NAME,LINE,L-5,L-10,L-15
Luke Kennard,12.5,0.8,0.5,0.4
Alperen Sengun,38.5,0.8,0.5,0.4
Trey Murphy III,29.5,0.8,0.4,0.33
Zion Williamson,29.0,0.8,0.4,0.27
Jalen Smith,14.5,0.8,0.8,0.53
Jordan Walsh,11.5,0.8,0.5,0.33
Royce O'Neale,18.5,0.8,0.8,0.6
Reed Sheppard,17.5,0.8,0.5,0.33
Josh Okogie,12.5,0.8,0.7,0.47
Derrick White,26.5,0.8,0.5,0.4
Steven Adams,13.5,0.8,0.7,0.47
Max Christie,17.5,0.8,0.6,0.47
Noah Clowney,19.5,0.6,0.4,0.27
Klay Thompson,14.5,0.6,0.5,0.33
Onyeka Okongwu,22.5,0.6,0.7,0.67
Dillon Brooks,22.5,0.6,0.5,0.33
Nickeil Alexander-Walker,23.5,0.6,0.6,0.4
Patrick Williams,10.5,0.6,0.8,0.53
Naji Marshall,19.5,0.6,0.3,0.27
Precious Achiuwa,10.5,0.6,0.3,0.2
Brandon Williams,21.5,0.6,0.4,0.27
Goga Bitadze,11.5,0.6,0.5,0.47
Kevon Looney,8.5,0.6,0.3,0.2
Franz Wagner,35.5,0.6,0.4,0.27
Jeremiah Fears,21.5,0.6,0.6,0.4
Zaccharie Risacher,16.5,0.6,0.4,0.33
Julian Champagnie,13.5,0.6,0.7,0.53
Domantas Sabonis,33.5,0.6,0.5,0.33
Ivica Zubac,31.5,0.6,0.4,0.27
Payton Pritchard,24.5,0.6,0.5,0.4
Anfernee Simons,19.5,0.6,0.5,0.33
Svi Mykhailiuk,13.5,0.6,0.5,0.33
Neemias Queta,18.5,0.6,0.4,0.33
Kris Dunn,12.5,0.6,0.5,0.4
Luka Garza,12.5,0.6,0.6,0.4
Nicolas Batum,8.5,0.6,0.4,0.27
Kyle Filipowski,16.5,0.6,0.4,0.4
Josh Giddey,38.5,0.6,0.4,0.27
Desmond Bane,28.5,0.6,0.3,0.27
Tre Jones,19.5,0.6,0.6,0.47
Russell Westbrook,30.5,0.6,0.5,0.33
Ace Bailey,19.5,0.6,0.3,0.2
Keldon Johnson,17.5,0.6,0.5,0.47
Daniel Gafford,18.5,0.4,0.4,0.27
Dereck Lively II,13.5,0.4,0.2,0.13
Jalen Johnson,37.5,0.4,0.4,0.27
P.J. Washington,24.0,0.4,0.5,0.4
Cooper Flagg,26.5,0.4,0.5,0.47
Deni Avdija,38.5,0.4,0.3,0.2
Mark Williams,23.5,0.4,0.4,0.27
Matas Buzelis,20.5,0.4,0.5,0.4
Keyonte George,30.5,0.4,0.7,0.47
Lauri Markkanen,34.5,0.4,0.6,0.47
Isaiah Collier,18.5,0.4,0.2,0.13
James Harden,38.5,0.4,0.6,0.4
Al Horford,12.5,0.4,0.3,0.2
Corey Kispert,12.5,0.4,0.5,0.47
Bilal Coulibaly,19.5,0.4,0.2,0.13
Harrison Barnes,14.5,0.4,0.5,0.33
Malik Monk,16.5,0.4,0.6,0.4
Tre Johnson,17.5,0.4,0.3,0.33
Kevin Durant,33.5,0.4,0.4,0.33
Ziaire Williams,15.5,0.4,0.5,0.33
Day'Ron Sharpe,14.5,0.4,0.3,0.27
Tyrese Martin,14.5,0.4,0.5,0.33
Kyshawn George,23.5,0.4,0.5,0.4
Zach LaVine,28.5,0.4,0.7,0.53
Will Richard,14.0,0.4,0.3,0.2
Stephon Castle,33.5,0.4,0.4,0.33
Stephen Curry,36.5,0.4,0.5,0.33
Draymond Green,19.5,0.4,0.3,0.4
Victor Wembanyama,43.5,0.4,0.4,0.33
Jaylen Brown,36.5,0.4,0.5,0.4
Brook Lopez,10.5,0.4,0.3,0.33
Alex Sarr,32.5,0.4,0.4,0.27
DeMar DeRozan,25.5,0.2,0.4,0.4
Devin Vassell,20.5,0.2,0.4,0.33
De'Aaron Fox,34.0,0.2,0.1,0.07
John Collins,19.5,0.2,0.3,0.27
Amen Thompson,29.5,0.2,0.4,0.27
Ryan Dunn,16.5,0.2,0.4,0.4
Collin Gillespie,20.5,0.2,0.5,0.4
Terance Mann,17.5,0.2,0.4,0.27
Devin Booker,40.5,0.2,0.5,0.4
Drake Powell,13.5,0.2,0.1,0.07
D'Angelo Russell,19.5,0.2,0.5,0.4
Brandin Podziemski,18.5,0.2,0.5,0.4
Moses Moody,17.5,0.2,0.3,0.27
Buddy Hield,10.5,0.2,0.3,0.33
Dyson Daniels,23.5,0.2,0.4,0.27
Khris Middleton,15.5,0.0,0.2,0.13
Tyus Jones,9.5,0.0,0.0,0.0
