NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
Paolo Banchero,player_points_rebounds,34.5,3,0.6,5,0.5,9,0.6
LaMelo Ball,player_points_rebounds,32.5,2,0.4,2,0.2,4,0.27
Franz Wagner,player_points_rebounds,28.5,2,0.4,5,0.5,9,0.6
Miles Bridges,player_points_rebounds,27.5,1,0.2,2,0.2,3,0.2
Desmond Bane,player_points_rebounds,23.5,2,0.4,7,0.7,9,0.6
Collin Sexton,player_points_rebounds,20.5,3,0.6,7,0.7,10,0.67
Kon Knueppel,player_points_rebounds,17.5,2,0.4,2,0.2,2,0.13
Anthony Black,player_points_rebounds,15.5,2,0.4,4,0.4,6,0.4
Ryan Kalkbrenner,player_points_rebounds,14.5,3,0.6,3,0.3,3,0.2
Tre Mann,player_points_rebounds,12.5,1,0.2,4,0.4,8,0.53
Tristan da Silva,player_points_rebounds,11.5,3,0.6,5,0.5,6,0.4
Giannis Antetokounmpo,player_points_rebounds,43.5,4,0.8,6,0.6,7,0.47
Stephen Curry,player_points_rebounds,30.5,3,0.6,6,0.6,8,0.53
Jonathan Kuminga,player_points_rebounds,22.5,2,0.4,3,0.3,4,0.27
Myles Turner,player_points_rebounds,18.5,2,0.4,7,0.7,10,0.67
Brandin Podziemski,player_points_rebounds,15.5,3,0.6,7,0.7,11,0.73
Ryan Rollins,player_points_rebounds,15.5,3,0.6,4,0.4,7,0.47
Bobby Portis,player_points_rebounds,15.5,3,0.6,6,0.6,10,0.67
Draymond Green,player_points_rebounds,14.5,3,0.6,4,0.4,7,0.47
Cole Anthony,player_points_rebounds,14.0,1,0.2,2,0.2,5,0.33
Kyle Kuzma,player_points_rebounds,11.5,2,0.4,6,0.6,11,0.73
Moses Moody,player_points_rebounds,11.5,2,0.4,4,0.4,7,0.47
Al Horford,player_points_rebounds,10.5,3,0.6,7,0.7,12,0.8
Buddy Hield,player_points_rebounds,8.5,2,0.4,6,0.6,10,0.67
Shai Gilgeous-Alexander,player_points_rebounds,38.5,3,0.6,5,0.5,7,0.47
Isaiah Hartenstein,player_points_rebounds,23.5,2,0.4,2,0.2,5,0.33
Alex Sarr,player_points_rebounds,22.5,3,0.6,4,0.4,6,0.4
Aaron Wiggins,player_points_rebounds,21.5,3,0.6,5,0.5,7,0.47
Kyshawn George,player_points_rebounds,21.5,3,0.6,4,0.4,5,0.33
Ajay Mitchell,player_points_rebounds,18.5,3,0.6,3,0.3,4,0.27
Khris Middleton,player_points_rebounds,16.5,2,0.4,3,0.3,6,0.4
Luguentz Dort,player_points_rebounds,15.5,2,0.4,4,0.4,6,0.4
Tre Johnson,player_points_rebounds,15.5,3,0.6,3,0.3,3,0.2
Cason Wallace,player_points_rebounds,13.0,0,0.0,2,0.2,5,0.33
Alex Caruso,player_points_rebounds,12.5,2,0.4,4,0.4,6,0.4
Cam Whitmore,player_points_rebounds,11.5,3,0.6,6,0.6,7,0.47
Corey Kispert,player_points_rebounds,9.5,3,0.6,7,0.7,11,0.73
Victor Wembanyama,player_points_rebounds,42.0,2,0.4,3,0.3,4,0.27
Bam Adebayo,player_points_rebounds,30.5,3,0.6,6,0.6,7,0.47
Stephon Castle,player_points_rebounds,23.0,3,0.6,6,0.6,10,0.67
Andrew Wiggins,player_points_rebounds,21.5,2,0.4,4,0.4,8,0.53
Devin Vassell,player_points_rebounds,20.0,1,0.2,3,0.3,7,0.47
Kel'el Ware,player_points_rebounds,19.0,2,0.4,5,0.5,7,0.47
Dylan Harper,player_points_rebounds,18.5,2,0.4,2,0.2,2,0.13
Keldon Johnson,player_points_rebounds,16.5,3,0.6,5,0.5,8,0.53
Davion Mitchell,player_points_rebounds,13.5,1,0.2,5,0.5,9,0.6
Julian Champagnie,player_points_rebounds,13.5,4,0.8,7,0.7,11,0.73
Harrison Barnes,player_points_rebounds,12.5,2,0.4,6,0.6,9,0.6
Pelle Larsson,player_points_rebounds,12.5,2,0.4,5,0.5,5,0.33
Simone Fontecchio,player_points_rebounds,11.5,4,0.8,4,0.4,4,0.27
