NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Alperen Sengun,9.5,1.0,0.8,0.6,0.691,0.309
Trendon Watford,3.5,0.2,0.4,0.33,0.689,0.311
Cedric Coward,6.5,0.6,0.6,0.4,0.685,0.315
Trey Murphy III,5.5,0.4,0.5,0.53,0.669,0.331
Brandon Williams,2.5,0.6,0.4,0.33,0.644,0.356
Donovan Clingan,9.5,0.8,0.5,0.47,0.628,0.372
Cooper Flagg,5.5,0.6,0.7,0.6,0.594,0.406
Jrue Holiday,4.5,0.6,0.6,0.53,0.591,0.409
Franz Wagner,6.0,0.6,0.4,0.4,0.584,0.416
Jock Landale,5.0,0.6,0.5,0.47,0.559,0.441
Brandin Podziemski,4.5,0.6,0.5,0.53,0.546,0.454
Tyrese Maxey,4.0,0.4,0.6,0.47,0.534,0.466
James Harden,6.0,0.8,0.5,0.4,0.533,0.467
P.J. Washington,6.5,0.8,0.7,0.73,0.529,0.471
Tyrese Martin,2.5,0.2,0.4,0.47,0.516,0.484
VJ Edgecombe,5.0,0.8,0.6,0.6,0.516,0.484
Day'Ron Sharpe,5.5,0.4,0.6,0.4,0.514,0.486
Ivica Zubac,11.0,0.6,0.5,0.4,0.504,0.496
Naz Reid,6.5,0.4,0.2,0.27,0.499,0.501
Anthony Edwards,4.5,0.4,0.3,0.27,0.493,0.507
Jalen Johnson,9.0,0.8,0.6,0.4,0.487,0.513
Andre Drummond,12.5,0.4,0.3,0.27,0.487,0.513
Payton Pritchard,4.5,0.6,0.4,0.47,0.48,0.52
Onyeka Okongwu,6.5,0.2,0.5,0.53,0.476,0.524
Neemias Queta,8.5,0.4,0.3,0.33,0.456,0.544
Harrison Barnes,3.5,0.4,0.5,0.33,0.449,0.551
Al Horford,4.5,0.2,0.3,0.27,0.445,0.555
Zach Edey,9.5,0.2,0.1,0.07,0.437,0.563
Donte DiVincenzo,4.5,0.8,0.6,0.4,0.423,0.577
Brandon Ingram,5.5,0.2,0.6,0.6,0.422,0.578
Shaedon Sharpe,5.5,0.2,0.4,0.33,0.417,0.583
Toumani Camara,5.5,0.2,0.3,0.33,0.412,0.588
Desmond Bane,5.0,0.4,0.3,0.27,0.408,0.592
Dyson Daniels,6.0,0.4,0.5,0.47,0.407,0.593
Santi Aldama,7.0,0.4,0.3,0.4,0.401,0.599
Jalen Suggs,4.0,0.6,0.4,0.27,0.392,0.608
Anfernee Simons,2.5,0.6,0.4,0.4,0.386,0.614
Buddy Hield,2.5,0.4,0.3,0.27,0.374,0.626
Moses Moody,3.5,0.6,0.4,0.27,0.37,0.63
Luka Garza,5.5,0.6,0.3,0.27,0.365,0.635
Yves Missi,5.5,0.4,0.6,0.4,0.363,0.637
Ryan Dunn,4.5,0.0,0.3,0.47,0.361,0.639
Kevin Durant,4.5,0.6,0.5,0.47,0.357,0.643
Ryan Rollins,4.0,0.4,0.4,0.33,0.352,0.648
Kris Dunn,2.5,0.2,0.3,0.33,0.347,0.653
Will Richard,2.5,0.4,0.5,0.4,0.336,0.664
Russell Westbrook,7.5,0.8,0.6,0.47,0.321,0.679
Daniel Gafford,7.5,0.8,0.5,0.33,0.319,0.681
John Collins,5.5,0.4,0.2,0.4,0.297,0.703
Goga Bitadze,5.0,0.2,0.3,0.4,0.294,0.706
Myles Turner,7.0,0.2,0.3,0.33,0.259,0.741
Quentin Grimes,4.0,0.4,0.3,0.4,0.244,0.756
Kelly Olynyk,4.5,0.4,0.2,0.13,0.242,0.758
De'Aaron Fox,4.0,0.2,0.1,0.07,0.236,0.764
Mark Williams,9.5,0.0,0.3,0.33,0.232,0.768
Kobe Sanders,2.5,0.2,0.1,0.07,0.229,0.771
Stephen Curry,4.5,0.4,0.3,0.33,0.222,0.778
Brook Lopez,2.5,0.2,0.3,0.4,0.208,0.792
Devin Vassell,4.0,0.0,0.1,0.13,0.203,0.797
Kyle Kuzma,6.0,0.2,0.2,0.2,0.191,0.809
Luke Kornet,8.0,0.2,0.2,0.13,0.173,0.827
Julian Champagnie,4.5,0.0,0.4,0.47,0.172,0.828
Bobby Portis,7.5,0.2,0.2,0.27,0.171,0.829
Jeremy Sochan,5.0,0.2,0.1,0.07,0.13,0.87
