NAME,LINE,L-5,L-10,L-15
VJ Edgecombe,7.5,0.8,0.8,0.8
Scottie Barnes,13.5,0.8,0.6,0.6
Draymond Green,12.5,0.6,0.5,0.4
Keyonte George,11.0,0.6,0.6,0.47
Micah Peavy,4.5,0.6,0.4,0.4
Jose Alvarado,6.0,0.6,0.4,0.47
Donte DiVincenzo,7.5,0.6,0.5,0.53
Trey Murphy III,9.0,0.6,0.5,0.53
Rudy Gobert,13.0,0.6,0.5,0.33
Immanuel Quickley,11.0,0.6,0.4,0.47
Terance Mann,7.5,0.6,0.5,0.53
Bryce McGowens,4.5,0.6,0.3,0.2
Khris Middleton,8.0,0.6,0.3,0.33
Jonathan Kuminga,6.5,0.6,0.8,0.8
Will Richard,4.5,0.6,0.4,0.4
Josh Minott,6.5,0.4,0.3,0.4
Deandre Ayton,11.5,0.4,0.3,0.33
Quentin Grimes,8.0,0.4,0.4,0.33
Jeremiah Fears,7.0,0.4,0.4,0.33
Jaden McDaniels,7.0,0.4,0.4,0.47
Naz Reid,8.0,0.4,0.5,0.33
Anthony Edwards,9.5,0.4,0.3,0.27
Neemias Queta,11.5,0.4,0.4,0.4
Sandro Mamukelashvili,8.0,0.4,0.3,0.2
Sam Hauser,6.0,0.4,0.4,0.27
Svi Mykhailiuk,5.0,0.4,0.3,0.27
Austin Reaves,12.5,0.4,0.3,0.4
Tyrese Maxey,11.0,0.4,0.4,0.4
Tyrese Martin,6.5,0.4,0.3,0.33
Noah Clowney,7.0,0.4,0.2,0.2
Kyshawn George,10.5,0.4,0.5,0.47
Payton Pritchard,11.0,0.2,0.3,0.2
Derrick White,10.5,0.2,0.3,0.4
Jake LaRavia,6.5,0.2,0.2,0.47
Rui Hachimura,5.5,0.2,0.2,0.27
LeBron James,14.0,0.2,0.1,0.07
Derik Queen,12.0,0.2,0.4,0.4
Ace Bailey,6.0,0.2,0.2,0.27
Jared McCain,5.0,0.2,0.1,0.07
Kyle Filipowski,10.5,0.2,0.2,0.2
Brandon Ingram,9.5,0.2,0.3,0.4
Danny Wolf,8.5,0.0,0.0,0.0
