NAME,CATEGORY,LINE,LAST 5,HIT RATE % LAST 5,LAST 10,HIT RATE % LAST 10,LAST 15,HIT RATE % LAST 15
Paolo Banchero,player_rebounds_assists,12.5,1,0.2,4,0.4,7,0.47
Miles Bridges,player_rebounds_assists,10.5,2,0.4,3,0.3,5,0.33
Ryan Kalkbrenner,player_rebounds_assists,7.5,2,0.4,2,0.2,2,0.13
Goga Bitadze,player_rebounds_assists,7.5,3,0.6,6,0.6,8,0.53
Collin Sexton,player_rebounds_assists,7.0,2,0.4,3,0.3,6,0.4
Giannis Antetokounmpo,player_rebounds_assists,19.5,3,0.6,6,0.6,7,0.47
Draymond Green,player_rebounds_assists,11.5,2,0.4,4,0.4,6,0.4
Jonathan Kuminga,player_rebounds_assists,9.0,2,0.4,4,0.4,5,0.33
Myles Turner,player_rebounds_assists,8.0,2,0.4,4,0.4,6,0.4
Ryan Rollins,player_rebounds_assists,7.5,1,0.2,2,0.2,5,0.33
Cole Anthony,player_rebounds_assists,7.5,2,0.4,4,0.4,6,0.4
Brandin Podziemski,player_rebounds_assists,7.0,3,0.6,8,0.8,11,0.73
Bobby Portis,player_rebounds_assists,7.0,3,0.6,8,0.8,12,0.8
Al Horford,player_rebounds_assists,5.5,2,0.4,7,0.7,12,0.8
Moses Moody,player_rebounds_assists,3.5,1,0.2,3,0.3,6,0.4
Isaiah Hartenstein,player_rebounds_assists,14.5,3,0.6,3,0.3,7,0.47
Shai Gilgeous-Alexander,player_rebounds_assists,12.0,2,0.4,3,0.3,5,0.33
Alex Sarr,player_rebounds_assists,10.5,4,0.8,6,0.6,6,0.4
Kyshawn George,player_rebounds_assists,10.5,4,0.8,5,0.5,7,0.47
Aaron Wiggins,player_rebounds_assists,7.5,3,0.6,5,0.5,6,0.4
Cason Wallace,player_rebounds_assists,7.0,1,0.2,3,0.3,4,0.27
Khris Middleton,player_rebounds_assists,7.0,2,0.4,4,0.4,6,0.4
Ajay Mitchell,player_rebounds_assists,6.5,3,0.6,3,0.3,5,0.33
Alex Caruso,player_rebounds_assists,5.5,2,0.4,6,0.6,7,0.47
Victor Wembanyama,player_rebounds_assists,17.0,2,0.4,3,0.3,3,0.2
Stephon Castle,player_rebounds_assists,10.5,3,0.6,6,0.6,9,0.6
Davion Mitchell,player_rebounds_assists,9.5,3,0.6,6,0.6,9,0.6
Kel'el Ware,player_rebounds_assists,9.0,2,0.4,5,0.5,9,0.6
Dylan Harper,player_rebounds_assists,8.5,2,0.4,2,0.2,2,0.13
Devin Vassell,player_rebounds_assists,7.0,2,0.4,3,0.3,6,0.4
Julian Champagnie,player_rebounds_assists,6.5,4,0.8,6,0.6,8,0.53
