NAME,LINE,L-5,L-10,L-15
Dillon Brooks,1.5,1.0,0.7,0.6
Collin Gillespie,1.5,0.8,0.7,0.67
Will Richard,0.5,0.6,0.4,0.53
Zion Williamson,2.5,0.6,0.6,0.4
Trey Murphy III,1.5,0.6,0.6,0.47
Devin Booker,3.5,0.6,0.5,0.47
Zach Edey,1.5,0.4,0.2,0.13
Deni Avdija,3.5,0.4,0.4,0.47
Zach LaVine,2.5,0.4,0.4,0.33
Dylan Harper,1.5,0.4,0.3,0.2
Immanuel Quickley,1.5,0.4,0.5,0.53
Bam Adebayo,1.5,0.4,0.5,0.4
Gary Payton II,0.5,0.2,0.3,0.33
Naz Reid,1.5,0.2,0.3,0.4
Ben Sheppard,0.5,0.2,0.4,0.47
T.J. McConnell,1.5,0.2,0.1,0.07
LaMelo Ball,3.5,0.2,0.4,0.27
