NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Jalen Brunson,6.5,0.6,0.6,0.47,0.691,0.309
Kyle Filipowski,1.5,0.8,0.8,0.73,0.632,0.368
Isaiah Collier,5.5,0.6,0.5,0.33,0.604,0.396
Davion Mitchell,6.5,0.4,0.5,0.53,0.604,0.396
Terance Mann,3.5,0.6,0.7,0.6,0.603,0.397
Cade Cunningham,9.5,1.0,0.8,0.6,0.551,0.449
Josh Giddey,9.5,0.6,0.6,0.53,0.549,0.451
Cameron Johnson,2.5,0.6,0.5,0.33,0.529,0.471
Donovan Mitchell,5.5,0.4,0.6,0.47,0.52,0.48
Cole Anthony,4.5,0.8,0.6,0.6,0.516,0.484
Jaden McDaniels,2.5,0.8,0.8,0.53,0.491,0.509
Kyle Kuzma,2.5,0.4,0.3,0.27,0.476,0.524
T.J. McConnell,3.5,0.6,0.3,0.2,0.444,0.556
Zion Williamson,4.5,0.4,0.4,0.27,0.441,0.559
Anthony Edwards,4.5,0.2,0.4,0.33,0.431,0.569
Julius Randle,5.5,0.4,0.5,0.53,0.419,0.581
D'Angelo Russell,4.5,0.6,0.5,0.53,0.417,0.583
Sidy Cissoko,2.5,0.4,0.2,0.13,0.254,0.746
Will Richard,1.5,0.2,0.3,0.33,0.24,0.76
Brandin Podziemski,3.5,0.0,0.2,0.33,0.215,0.785
