NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Anthony Edwards,29.5,1.0,0.7,0.6,0.848,0.152
Andre Drummond,5.5,0.6,0.7,0.67,0.815,0.185
VJ Edgecombe,10.5,0.6,0.6,0.73,0.781,0.219
Saddiq Bey,14.5,1.0,0.6,0.67,0.779,0.221
Scottie Barnes,20.5,0.6,0.4,0.4,0.675,0.325
Svi Mykhailiuk,8.5,0.8,0.7,0.67,0.633,0.367
Quinten Post,7.5,0.6,0.4,0.47,0.605,0.395
Quentin Grimes,16.5,0.4,0.5,0.47,0.603,0.397
Gary Payton II,6.5,0.6,0.4,0.27,0.595,0.405
Jose Alvarado,10.5,0.8,0.5,0.4,0.593,0.407
Keyonte George,21.5,0.8,0.6,0.6,0.582,0.418
Joel Embiid,18.5,0.8,0.5,0.33,0.577,0.423
Donte DiVincenzo,13.5,0.8,0.6,0.6,0.571,0.429
Jeremiah Fears,16.5,0.4,0.5,0.47,0.563,0.437
Ace Bailey,12.5,0.6,0.7,0.47,0.539,0.461
Trey Murphy III,20.5,0.4,0.5,0.53,0.537,0.463
Noah Clowney,16.5,0.6,0.5,0.53,0.532,0.468
Deandre Ayton,15.5,0.6,0.5,0.6,0.504,0.496
Mike Conley,4.5,0.6,0.7,0.8,0.499,0.501
Draymond Green,9.5,0.8,0.4,0.33,0.46,0.54
Derik Queen,14.5,0.4,0.5,0.4,0.453,0.547
Brandon Ingram,24.5,0.4,0.3,0.27,0.447,0.553
Jaden McDaniels,13.5,0.2,0.4,0.53,0.44,0.56
Kyshawn George,14.5,0.2,0.4,0.47,0.436,0.564
Josh Minott,7.5,0.6,0.5,0.53,0.427,0.573
Immanuel Quickley,17.5,0.6,0.4,0.53,0.424,0.576
Austin Reaves,28.5,0.6,0.4,0.4,0.406,0.594
Neemias Queta,12.5,0.4,0.4,0.33,0.392,0.608
Brice Sensabaugh,9.5,0.6,0.5,0.4,0.373,0.627
Cam Whitmore,10.5,0.4,0.6,0.47,0.361,0.639
Brandin Podziemski,14.5,0.6,0.5,0.33,0.352,0.648
Tyrese Martin,11.5,0.2,0.3,0.33,0.326,0.674
Paul George,15.5,0.4,0.2,0.13,0.325,0.675
Khris Middleton,11.5,0.6,0.4,0.4,0.325,0.675
Dalton Knecht,7.5,0.4,0.4,0.47,0.314,0.686
Julius Randle,21.5,0.2,0.4,0.4,0.301,0.699
Marvin Bagley III,12.5,0.6,0.3,0.27,0.294,0.706
Kyle Filipowski,11.5,0.4,0.4,0.33,0.29,0.71
Sandro Mamukelashvili,12.5,0.2,0.2,0.27,0.284,0.716
Ja'Kobe Walter,8.5,0.2,0.3,0.2,0.281,0.719
Al Horford,7.5,0.4,0.3,0.27,0.259,0.741
Lauri Markkanen,26.5,0.4,0.6,0.47,0.259,0.741
Rui Hachimura,13.5,0.4,0.4,0.53,0.246,0.754
Tristan Vukcevic,10.5,0.6,0.3,0.2,0.236,0.764
Jordan Walsh,8.5,0.2,0.2,0.2,0.232,0.768
Ben Saraf,6.5,0.4,0.3,0.2,0.228,0.772
Payton Pritchard,22.5,0.2,0.3,0.27,0.191,0.809
Will Richard,8.5,0.4,0.4,0.53,0.181,0.819
Jake LaRavia,8.5,0.2,0.2,0.4,0.16,0.84
Day'Ron Sharpe,7.5,0.0,0.1,0.13,0.147,0.853
Anfernee Simons,17.5,0.4,0.3,0.33,0.141,0.859
Terance Mann,9.5,0.2,0.3,0.4,0.138,0.862
Ziaire Williams,10.5,0.0,0.3,0.4,0.118,0.882
Sam Hauser,10.5,0.4,0.2,0.13,0.099,0.901
Gabe Vincent,6.5,0.0,0.0,0.0,0.088,0.912
LeBron James,21.5,0.2,0.1,0.07,0.076,0.924
Jonathan Kuminga,15.5,0.0,0.3,0.4,0.046,0.954
Danny Wolf,11.5,0.2,0.1,0.07,0.036,0.964
