NAME,LINE,L-5,L-10,L-15
Josh Giddey,29.5,0.8,0.6,0.4
Nickeil Alexander-Walker,20.5,0.8,0.7,0.47
Trey Murphy III,23.5,0.8,0.5,0.4
Zion Williamson,22.5,0.8,0.4,0.27
Deni Avdija,31.5,0.8,0.5,0.4
Stephon Castle,26.5,0.8,0.6,0.47
Derrick White,22.5,0.8,0.5,0.4
Russell Westbrook,22.5,0.6,0.5,0.4
Alex Sarr,22.5,0.6,0.6,0.4
Payton Pritchard,21.5,0.6,0.4,0.33
Ivica Zubac,20.5,0.6,0.4,0.33
Jerami Grant,19.5,0.6,0.5,0.47
Desmond Bane,24.5,0.6,0.4,0.33
Franz Wagner,29.5,0.6,0.4,0.33
Alperen Sengun,28.5,0.6,0.4,0.33
Jrue Holiday,23.5,0.6,0.7,0.47
Lauri Markkanen,28.5,0.4,0.6,0.47
Jalen Johnson,28.5,0.4,0.3,0.27
Shaedon Sharpe,24.5,0.4,0.3,0.2
Cooper Flagg,20.5,0.4,0.3,0.33
Jaylen Brown,31.5,0.4,0.5,0.4
Amen Thompson,23.5,0.4,0.5,0.33
James Harden,32.5,0.4,0.6,0.4
Stephen Curry,32.5,0.4,0.4,0.27
Zach LaVine,24.5,0.4,0.7,0.53
Victor Wembanyama,31.5,0.4,0.4,0.33
Kevin Durant,28.5,0.4,0.4,0.27
DeMar DeRozan,21.5,0.2,0.5,0.47
Devin Booker,36.5,0.2,0.5,0.4
De'Aaron Fox,29.5,0.2,0.1,0.07
Keyonte George,26.5,0.2,0.5,0.4
