NAME,LINE,L-5,L-10,L-15
Desmond Bane,31.5,0.8,0.5,0.33
Onyeka Okongwu,24.5,0.8,0.5,0.6
Shaedon Sharpe,32.5,0.8,0.4,0.27
Al Horford,13.5,0.8,0.5,0.33
Jrue Holiday,25.5,0.8,0.8,0.67
Goga Bitadze,10.5,0.8,0.5,0.53
Andre Drummond,24.5,0.8,0.5,0.33
Jalen Johnson,38.5,0.8,0.6,0.4
Franz Wagner,34.5,0.6,0.5,0.4
Justin Edwards,10.5,0.6,0.4,0.27
Tyrese Maxey,40.5,0.6,0.7,0.73
VJ Edgecombe,23.5,0.6,0.5,0.6
Quentin Grimes,22.5,0.6,0.5,0.47
Stephen Curry,35.5,0.6,0.4,0.4
Dominick Barlow,10.5,0.6,0.3,0.2
Ryan Rollins,30.5,0.6,0.3,0.33
Russell Westbrook,28.5,0.6,0.6,0.53
Draymond Green,20.5,0.6,0.4,0.47
Donovan Clingan,20.5,0.6,0.4,0.47
Moses Moody,18.5,0.6,0.5,0.4
James Harden,41.5,0.6,0.5,0.4
Jock Landale,16.5,0.6,0.7,0.6
Zaccharie Risacher,16.5,0.6,0.5,0.4
Jalen Suggs,23.5,0.6,0.4,0.27
Brook Lopez,9.5,0.6,0.4,0.4
Nicolas Batum,9.5,0.6,0.4,0.33
Tristan da Silva,18.5,0.6,0.5,0.4
Keldon Johnson,24.5,0.4,0.2,0.2
Ivica Zubac,29.5,0.4,0.5,0.4
Buddy Hield,12.5,0.4,0.4,0.27
Deni Avdija,36.5,0.4,0.6,0.47
Brandin Podziemski,19.5,0.4,0.4,0.47
Kobe Sanders,14.5,0.4,0.2,0.13
De'Aaron Fox,36.5,0.4,0.2,0.13
Trendon Watford,13.5,0.4,0.6,0.4
Harrison Barnes,19.5,0.4,0.4,0.33
Zach LaVine,25.5,0.4,0.5,0.53
Will Richard,10.5,0.4,0.5,0.47
Kelly Olynyk,16.5,0.4,0.2,0.13
Malik Monk,18.5,0.4,0.4,0.4
Kyle Kuzma,24.5,0.4,0.2,0.13
Dyson Daniels,23.5,0.4,0.6,0.4
Cedric Coward,27.5,0.2,0.2,0.2
Kentavious Caldwell-Pope,14.5,0.2,0.3,0.47
Toumani Camara,21.5,0.2,0.3,0.4
Santi Aldama,26.5,0.2,0.1,0.13
Drew Eubanks,14.5,0.2,0.3,0.2
Jeremy Sochan,16.5,0.2,0.2,0.13
Jaylen Wells,17.5,0.2,0.2,0.2
Paul George,18.5,0.2,0.1,0.07
Myles Turner,25.5,0.2,0.2,0.2
Devin Vassell,24.5,0.2,0.2,0.2
DeMar DeRozan,25.5,0.2,0.4,0.47
John Collins,20.5,0.0,0.2,0.27
Julian Champagnie,16.5,0.0,0.3,0.4
Bobby Portis,24.5,0.0,0.0,0.0
