NAME,LINE,L-5,L-10,L-15,OVER%,UNDER%
Jeremiah Robinson-Earl,5.5,0.8,0.5,0.33,0.797,0.203
Josh Giddey,8.5,0.8,0.7,0.47,0.793,0.207
Karl-Anthony Towns,11.5,0.8,0.7,0.6,0.633,0.367
Brandon Williams,2.5,0.8,0.4,0.33,0.617,0.383
Ajay Mitchell,3.5,0.4,0.6,0.53,0.594,0.406
Cason Wallace,2.5,0.2,0.4,0.47,0.533,0.467
Naz Reid,6.5,0.4,0.2,0.27,0.533,0.467
P.J. Washington,6.5,0.8,0.7,0.67,0.522,0.478
Zach LaVine,3.5,0.6,0.7,0.47,0.514,0.486
Jamal Shead,1.5,0.6,0.6,0.53,0.477,0.523
T.J. McConnell,1.5,0.0,0.0,0.0,0.456,0.544
Amen Thompson,6.5,0.6,0.6,0.4,0.452,0.548
Miles Bridges,7.5,0.4,0.5,0.47,0.446,0.554
Daniel Gafford,6.5,0.6,0.4,0.27,0.438,0.562
Collin Sexton,2.5,0.6,0.5,0.33,0.421,0.579
Ryan Kalkbrenner,7.5,0.4,0.3,0.27,0.421,0.579
Rudy Gobert,10.5,0.4,0.4,0.33,0.414,0.586
Jordan Clarkson,2.5,0.6,0.3,0.33,0.382,0.618
Bam Adebayo,8.5,0.4,0.4,0.27,0.369,0.631
Corey Kispert,2.5,0.4,0.4,0.33,0.318,0.682
Pascal Siakam,6.5,0.2,0.2,0.27,0.313,0.687
DeMar DeRozan,3.5,0.0,0.3,0.33,0.242,0.758
Tony Bradley,4.5,0.4,0.4,0.4,0.222,0.778
Caleb Love,4.5,0.2,0.1,0.07,0.157,0.843
