NAME,LINE,L-5,L-10,L-15
Donovan Clingan,12.5,0.8,0.5,0.47
Myles Turner,8.5,0.8,0.5,0.53
Russell Westbrook,13.5,0.8,0.7,0.67
Draymond Green,11.5,0.8,0.5,0.47
Immanuel Quickley,10.5,0.8,0.7,0.53
Alperen Sengun,17.5,0.6,0.6,0.53
Ryan Kalkbrenner,7.5,0.6,0.4,0.4
Jamal Shead,7.5,0.6,0.5,0.47
Andrew Nembhard,8.5,0.6,0.6,0.4
Julius Randle,11.5,0.6,0.6,0.47
Anthony Edwards,9.5,0.4,0.3,0.2
Bam Adebayo,11.5,0.4,0.6,0.47
Zion Williamson,10.5,0.4,0.4,0.27
Cedric Coward,8.5,0.4,0.6,0.53
Jakob Poeltl,11.5,0.4,0.3,0.27
Precious Achiuwa,7.5,0.4,0.3,0.2
Collin Gillespie,9.5,0.4,0.5,0.47
Shai Gilgeous-Alexander,11.5,0.2,0.5,0.53
Mark Williams,10.5,0.2,0.2,0.33
