NAME,CATEGORY,LINE,L-5,L-10,L-15
Paolo Banchero,player_threes,1.5,0.4,0.4,0.33
Donovan Mitchell,player_threes,3.5,0.6,0.5,0.4
Sam Merrill,player_threes,2.5,1.0,0.8,0.67
Brandon Ingram,player_threes,1.5,0.2,0.4,0.6
Mouhamed Gueye,player_threes,0.5,0.4,0.6,0.6
Ziaire Williams,player_threes,1.5,0.4,0.4,0.47
Devin Vassell,player_threes,2.5,0.4,0.5,0.53
Tari Eason,player_threes,1.5,1.0,0.6,0.47
Josh Giddey,player_threes,1.5,0.6,0.6,0.53
Ryan Rollins,player_threes,1.5,0.6,0.4,0.4
Ja Morant,player_threes,1.5,0.2,0.4,0.53
P.J. Washington,player_threes,1.5,0.2,0.5,0.4
Naji Marshall,player_threes,0.5,0.4,0.4,0.33
Jock Landale,player_threes,0.5,0.8,0.8,0.73
Cam Spencer,player_threes,1.5,0.8,0.8,0.53
Ace Bailey,player_threes,0.5,0.0,0.1,0.07
Taylor Hendricks,player_threes,0.5,0.2,0.2,0.2
Bruce Brown,player_threes,0.5,0.6,0.5,0.6
Quinten Post,player_threes,1.5,0.4,0.2,0.27
Chet Holmgren,player_threes,1.5,0.6,0.6,0.47
Russell Westbrook,player_threes,1.5,0.6,0.4,0.33
Cason Wallace,player_threes,1.5,0.8,0.5,0.53
Ajay Mitchell,player_threes,1.5,0.4,0.4,0.33
