NAME,CATEGORY,LINE,L-5,L-10,L-15
Alex Sarr,player_turnovers,2.5,0.4,0.4,0.27
Joel Embiid,player_turnovers,2.5,0.8,0.4,0.27
Tyrese Maxey,player_turnovers,2.5,0.8,0.4,0.27
Jalen Johnson,player_turnovers,3.5,0.4,0.2,0.13
Nickeil Alexander-Walker,player_turnovers,3.5,0.4,0.2,0.13
Jeremiah Fears,player_turnovers,2.5,0.4,0.3,0.2
Donovan Mitchell,player_turnovers,2.5,0.6,0.6,0.4
Andrew Wiggins,player_turnovers,2.5,0.2,0.2,0.13
Jrue Holiday,player_turnovers,2.5,0.4,0.4,0.27
Deni Avdija,player_turnovers,3.5,0.6,0.4,0.27
Pascal Siakam,player_turnovers,2.5,0.8,0.4,0.27
