BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
Underdog,player_points,Franz Wagner,Over,23.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Franz Wagner,Under,23.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Desmond Bane,Over,19.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Desmond Bane,Under,19.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Paolo Banchero,Over,25.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Paolo Banchero,Under,25.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Nikola Vucevic,Over,19.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Nikola Vucevic,Under,19.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Josh Giddey,Over,18.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Josh Giddey,Under,18.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Wendell Carter Jr,Over,10.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Wendell Carter Jr,Under,10.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Matas Buzelis,Over,16.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Matas Buzelis,Under,16.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Tre Jones,Over,10.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Tre Jones,Under,10.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Isaac Okoro,Over,7.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Isaac Okoro,Under,7.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Goga Bitadze,Over,5.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Goga Bitadze,Under,5.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Tristan da Silva,Over,7.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Tristan da Silva,Under,7.5,-137,2025-10-25,2025-10-25T22:45:41Z
Underdog,player_points,Shai Gilgeous-Alexander,Over,33.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Shai Gilgeous-Alexander,Under,33.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Trae Young,Over,24.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Trae Young,Under,24.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Chet Holmgren,Over,18.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Chet Holmgren,Under,18.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Luguentz Dort,Over,10.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Luguentz Dort,Under,10.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Isaiah Hartenstein,Over,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Isaiah Hartenstein,Under,9.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Jaylin Williams,Over,4.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Jaylin Williams,Under,4.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Luke Kennard,Over,8.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Luke Kennard,Under,8.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Aaron Wiggins,Over,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Aaron Wiggins,Under,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Nickeil Alexander-Walker,Over,15.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Nickeil Alexander-Walker,Under,15.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Onyeka Okongwu,Over,16.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Onyeka Okongwu,Under,16.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Dyson Daniels,Over,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Dyson Daniels,Under,13.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Ajay Mitchell,Over,12.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Ajay Mitchell,Under,12.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Mouhamed Gueye,Over,11.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,Mouhamed Gueye,Under,11.5,-137,2025-10-25,2025-10-25T22:45:54Z
Underdog,player_points,LaMelo Ball,Over,22.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,LaMelo Ball,Under,22.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Joel Embiid,Over,16.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Joel Embiid,Under,16.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Miles Bridges,Over,17.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Miles Bridges,Under,17.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,VJ Edgecombe,Over,18.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,VJ Edgecombe,Under,18.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Tyrese Maxey,Over,27.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Tyrese Maxey,Under,27.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Brandon Miller,Over,19.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Brandon Miller,Under,19.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Collin Sexton,Over,11.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Collin Sexton,Under,11.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Kon Knueppel,Over,8.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Kon Knueppel,Under,8.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Quentin Grimes,Over,13.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Quentin Grimes,Under,13.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Tidjane Salaun,Over,4.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Tidjane Salaun,Under,4.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Adem Bona,Over,5.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Adem Bona,Under,5.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Ryan Kalkbrenner,Over,8.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Ryan Kalkbrenner,Under,8.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Moussa Diabate,Over,6.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Moussa Diabate,Under,6.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Dominick Barlow,Over,9.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Dominick Barlow,Under,9.5,-137,2025-10-25,2025-10-25T22:45:01Z
Underdog,player_points,Ja Morant,Over,25.5,-137,2025-10-26,2025-10-25T22:45:44Z
