BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
PrizePicks,player_points,Stephen Curry,Over,26.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Stephen Curry,Under,26.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Franz Wagner,Over,24.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Franz Wagner,Under,24.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Desmond Bane,Over,19.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Desmond Bane,Under,19.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Jimmy Butler,Over,19.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Jimmy Butler,Under,19.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Jalen Suggs,Over,13.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Jalen Suggs,Under,13.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Brandin Podziemski,Over,11.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Brandin Podziemski,Under,11.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Tristan da Silva,Over,11.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Tristan da Silva,Under,11.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Anthony Black,Over,9.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Anthony Black,Under,9.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Draymond Green,Over,7.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Draymond Green,Under,7.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Will Richard,Over,7.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Will Richard,Under,7.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Buddy Hield,Over,6.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Buddy Hield,Under,6.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Al Horford,Over,5.5,-137,2025-11-19,2025-11-18T23:54:40Z
PrizePicks,player_points,Al Horford,Under,5.5,-137,2025-11-19,2025-11-18T23:54:40Z
