BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
PrizePicks,player_points,Pascal Siakam,Over,25.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Pascal Siakam,Under,25.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,LaMelo Ball,Over,22.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,LaMelo Ball,Under,22.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Miles Bridges,Over,22.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Miles Bridges,Under,22.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Bennedict Mathurin,Over,20.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Bennedict Mathurin,Under,20.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Kon Knueppel,Over,17.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Kon Knueppel,Under,17.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Andrew Nembhard,Over,16.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Andrew Nembhard,Under,16.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Collin Sexton,Over,16.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Collin Sexton,Under,16.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Jarace Walker,Over,10.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Jarace Walker,Under,10.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Ryan Kalkbrenner,Over,9.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Ryan Kalkbrenner,Under,9.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Isaiah Jackson,Over,9.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Isaiah Jackson,Under,9.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Moussa Diabate,Over,8.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Moussa Diabate,Under,8.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,T.J. McConnell,Over,8.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,T.J. McConnell,Under,8.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,T.J. McConnell,Over,8.0,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,T.J. McConnell,Under,8.0,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Sion James,Over,6.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Sion James,Under,6.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Ben Sheppard,Over,6.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Ben Sheppard,Under,6.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Tony Bradley,Over,4.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Tony Bradley,Under,4.5,-137,2025-11-20,2025-11-19T22:33:48Z
PrizePicks,player_points,Donovan Mitchell,Over,27.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Donovan Mitchell,Under,27.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Kevin Durant,Over,26.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Kevin Durant,Under,26.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Alperen Sengun,Over,22.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Alperen Sengun,Under,22.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Evan Mobley,Over,18.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Evan Mobley,Under,18.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Amen Thompson,Over,17.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Amen Thompson,Under,17.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,De'Andre Hunter,Over,16.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,De'Andre Hunter,Under,16.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Jabari Smith Jr,Over,13.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Jabari Smith Jr,Under,13.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Jarrett Allen,Over,12.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Jarrett Allen,Under,12.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Reed Sheppard,Over,12.0,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Reed Sheppard,Under,12.0,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Sam Merrill,Over,11.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Sam Merrill,Under,11.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Josh Okogie,Over,7.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Josh Okogie,Under,7.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Lonzo Ball,Over,6.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Lonzo Ball,Under,6.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Dean Wade,Over,6.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Dean Wade,Under,6.5,-137,2025-11-20,2025-11-19T22:34:29Z
PrizePicks,player_points,Tyrese Maxey,Over,30.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Tyrese Maxey,Under,30.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Brandon Ingram,Over,20.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Brandon Ingram,Under,20.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,R.J. Barrett,Over,18.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,R.J. Barrett,Under,18.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Scottie Barnes,Over,18.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Scottie Barnes,Under,18.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Quentin Grimes,Over,17.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Quentin Grimes,Under,17.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Immanuel Quickley,Over,16.5,-137,2025-11-20,2025-11-19T22:33:33Z
PrizePicks,player_points,Immanuel Quickley,Under,16.5,-137,2025-11-20,2025-11-19T22:33:33Z
