BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS,COMMENCE_TIME,LAST_UPDATE
DraftKings,player_points,Giannis Antetokounmpo,Over,31.5,-114,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Giannis Antetokounmpo,Under,31.5,-111,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,C.J. McCollum,Over,19.5,-109,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,C.J. McCollum,Under,19.5,-117,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kyshawn George,Over,15.5,-111,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kyshawn George,Under,15.5,-114,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Ryan Rollins,Over,15.5,-107,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Ryan Rollins,Under,15.5,-119,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kevin Porter Jr.,Over,12.5,-124,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kevin Porter Jr.,Under,12.5,-103,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Myles Turner,Over,12.5,-119,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Myles Turner,Under,12.5,-107,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Bilal Coulibaly,Over,10.5,-129,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Bilal Coulibaly,Under,10.5,101,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kyle Kuzma,Over,10.5,-128,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Kyle Kuzma,Under,10.5,101,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Khris Middleton,Over,10.5,-126,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Khris Middleton,Under,10.5,-101,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,A.J. Green,Over,10.5,-121,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,A.J. Green,Under,10.5,-106,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Bobby Portis,Over,10.5,-108,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Bobby Portis,Under,10.5,-118,2025-12-02,2025-12-01T18:43:41Z
DraftKings,player_points,Carlton Carrington,Over,7.5,-121,2025-12-02,2025-12-01T18:43:41Z
