NAME 1,NAME 2,LINE 1,LINE 2,PREDICTION 1,PREDICTION 2,PROB 1,PROB 2,MODEL SIDE 1,MODEL SIDE 2,RECOMMENDATION,EV%,KELLY FULL,SIGMA FLAG 1,SIGMA FLAG 2
Mike Conley,Aaron Wiggins,3.5,10.5,8.03,18.89,0.944,0.875,over,over,1,142.99,0.715,Low,High
VJ Edgecombe,Jaden McDaniels,13.5,13.5,21.49,22.08,0.855,0.89,over,over,1,123.79,0.619,High,High
Jordan Walsh,Anthony Edwards,5.5,23.5,10.68,31.88,0.852,0.872,over,over,1,118.52,0.593,Low,High
Gradey Dick,Zion Williamson,5.5,22.5,10.23,15.67,0.852,0.87,over,under,1,117.88,0.589,Low,High
Donte DiVincenzo,Jaylin Williams,13.5,4.5,20.66,9.0,0.87,0.842,over,over,1,115.35,0.577,Med,Low
Luke Kornet,Trey Murphy III,8.0,19.5,13.61,14.09,0.823,0.821,over,under,1,98.64,0.493,Med,High
Marvin Bagley III,Cason Wallace,13.5,7.5,10.18,13.58,0.803,0.818,under,over,0,93.18,0.466,Low,High
Julius Randle,Quinten Post,21.5,8.0,27.64,13.37,0.793,0.794,over,over,1,85.12,0.426,High,High
Bilal Coulibaly,Naz Reid,11.0,13.5,17.41,19.38,0.792,0.788,over,over,1,83.41,0.417,High,High
Toumani Camara,Neemias Queta,12.5,9.5,18.61,14.78,0.777,0.776,over,over,1,77.28,0.386,High,High
