NAME 1,NAME 2,NAME 3,LINE 1,LINE 2,LINE 3,PREDICTION 1,PREDICTION 2,PREDICTION 3,PROB 1,PROB 2,PROB 3,MODEL SIDE 1,MODEL SIDE 2,MODEL SIDE 3,RECOMMENDATION,EV%,KELLY FULL,SIGMA FLAG 1,SIGMA FLAG 2,SIGMA FLAG 3
Austin Reaves,Dillon Brooks,Bennedict Mathurin,22.5,18.5,19.5,26.89,23.81,25.31,0.73,0.77,0.813,over,over,over,1,146.62,0.293,High,High,High
Rui Hachimura,Jake LaRavia,Jalen Duren,11.5,7.5,18.5,15.43,11.15,22.2,0.728,0.719,0.706,over,over,over,0,99.8,0.2,High,High,High
Kevin Love,Harrison Barnes,Tobias Harris,5.0,13.5,11.5,7.45,16.76,14.81,0.691,0.699,0.689,over,over,over,0,79.89,0.16,Low,High,High
Devin Vassell,Andrew Nembhard,Isaiah Jackson,17.5,17.5,7.5,14.77,20.73,10.1,0.661,0.686,0.681,under,over,over,0,66.77,0.134,High,High,Med
Keyonte George,Ausar Thompson,Duncan Robinson,20.5,11.5,10.5,23.03,13.77,12.84,0.651,0.639,0.649,over,over,over,0,45.88,0.092,High,High,High
Deandre Ayton,Marcus Smart,Collin Gillespie,14.5,6.5,14.5,15.99,8.76,12.16,0.595,0.647,0.636,over,over,under,0,32.26,0.065,High,Med,High
Kyle Filipowski,Isaiah Collier,De'Aaron Fox,8.5,8.0,23.5,9.62,9.32,24.98,0.584,0.61,0.586,over,over,over,0,12.61,0.025,Med,Low,High
Svi Mykhailiuk,Mark Williams,Jordan Goodwin,8.0,12.5,9.5,9.24,13.69,10.4,0.58,0.579,0.565,over,over,over,0,2.51,0.005,High,Med,Med
Luka Dončić,Keldon Johnson,Pascal Siakam,31.5,14.5,23.5,32.42,15.51,24.21,0.565,0.567,0.542,over,over,over,0,-6.34,0.0,Med,Med,High
Lauri Markkanen,Julian Champagnie,Jarace Walker,26.5,11.5,8.5,27.39,11.94,8.18,0.552,0.527,0.521,over,over,under,0,-18.16,0.0,High,High,Med
