player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,simulation_method
Joel Embiid,Domantas Sabonis,18.5,14.5,8.92,10.02,under,under,1.0,0.982,0.8834,0.422,0.404,0.413,1.65,0.825,1,Monte Carlo
Joel Embiid,Giannis Antetokounmpo,18.5,30.5,8.92,21.22,under,under,1.0,0.962,0.8662,0.422,0.384,0.403,1.6,0.799,1,Monte Carlo
Joel Embiid,Josh Hart,18.5,9.5,8.92,5.8,under,under,1.0,0.958,0.8621,0.422,0.38,0.401,1.59,0.793,1,Monte Carlo
Giannis Antetokounmpo,Domantas Sabonis,30.5,14.5,21.22,10.02,under,under,0.963,0.982,0.8511,0.385,0.404,0.394,1.55,0.777,1,Monte Carlo
Josh Hart,Domantas Sabonis,9.5,14.5,5.8,10.02,under,under,0.96,0.982,0.8479,0.382,0.404,0.393,1.54,0.772,1,Monte Carlo
Josh Hart,Giannis Antetokounmpo,9.5,30.5,5.8,21.22,under,under,0.96,0.962,0.8313,0.382,0.384,0.383,1.49,0.747,1,Monte Carlo
Joel Embiid,Cole Anthony,18.5,10.5,8.92,7.89,under,under,1.0,0.882,0.7941,0.422,0.304,0.363,1.38,0.691,1,Monte Carlo
Joel Embiid,Brandin Podziemski,18.5,11.5,8.92,8.55,under,under,1.0,0.877,0.7891,0.422,0.299,0.36,1.37,0.684,1,Monte Carlo
Cole Anthony,Domantas Sabonis,10.5,14.5,7.89,10.02,under,under,0.887,0.982,0.7835,0.309,0.404,0.356,1.35,0.675,1,Monte Carlo
Joel Embiid,John Collins,18.5,13.5,8.92,10.19,under,under,1.0,0.871,0.7839,0.422,0.293,0.357,1.35,0.676,1,Monte Carlo
Joel Embiid,Shai Gilgeous-Alexander,18.5,32.5,8.92,23.05,under,under,1.0,0.863,0.7766,0.422,0.285,0.353,1.33,0.665,1,Monte Carlo
Domantas Sabonis,Brandin Podziemski,14.5,11.5,10.02,8.55,under,under,0.983,0.877,0.7755,0.405,0.299,0.352,1.33,0.663,1,Monte Carlo
Domantas Sabonis,John Collins,14.5,13.5,10.02,10.19,under,under,0.983,0.871,0.7704,0.405,0.293,0.349,1.31,0.656,1,Monte Carlo
Domantas Sabonis,Shai Gilgeous-Alexander,14.5,32.5,10.02,23.05,under,under,0.983,0.863,0.7633,0.405,0.285,0.345,1.29,0.645,1,Monte Carlo
Josh Hart,Cole Anthony,9.5,10.5,5.8,7.89,under,under,0.96,0.882,0.7621,0.382,0.304,0.343,1.29,0.643,1,Monte Carlo
Giannis Antetokounmpo,Brandin Podziemski,30.5,11.5,21.22,8.55,under,under,0.963,0.877,0.7602,0.385,0.299,0.342,1.28,0.64,1,Monte Carlo
Josh Hart,Brandin Podziemski,9.5,11.5,5.8,8.55,under,under,0.96,0.877,0.7574,0.382,0.299,0.34,1.27,0.636,1,Monte Carlo
Giannis Antetokounmpo,John Collins,30.5,13.5,21.22,10.19,under,under,0.963,0.871,0.7552,0.385,0.293,0.339,1.27,0.633,1,Monte Carlo
Josh Hart,John Collins,9.5,13.5,5.8,10.19,under,under,0.96,0.871,0.7524,0.382,0.293,0.337,1.26,0.629,1,Monte Carlo
Josh Hart,Shai Gilgeous-Alexander,9.5,32.5,5.8,23.05,under,under,0.96,0.863,0.7454,0.382,0.285,0.333,1.24,0.618,1,Monte Carlo
Joel Embiid,Mikal Bridges,18.5,14.5,8.92,11.73,under,under,1.0,0.83,0.7468,0.422,0.252,0.337,1.24,0.62,1,Monte Carlo
Giannis Antetokounmpo,Shai Gilgeous-Alexander,30.5,32.5,21.22,23.05,under,under,0.963,0.863,0.7482,0.385,0.285,0.335,1.24,0.622,1,Monte Carlo
Mikal Bridges,Domantas Sabonis,14.5,14.5,11.73,10.02,under,under,0.831,0.982,0.7338,0.253,0.404,0.328,1.2,0.601,1,Monte Carlo
Joel Embiid,Moses Moody,18.5,9.5,8.92,11.3,under,over,1.0,0.81,0.7292,0.422,0.232,0.327,1.19,0.594,1,Monte Carlo
VJ Edgecombe,Domantas Sabonis,19.5,14.5,26.29,10.02,over,under,0.826,0.982,0.7295,0.248,0.404,0.326,1.19,0.594,1,Monte Carlo
Joel Embiid,Jonathan Kuminga,18.5,16.5,8.92,14.27,under,under,1.0,0.809,0.728,0.422,0.231,0.326,1.18,0.592,1,Monte Carlo
Joel Embiid,Malik Monk,18.5,12.5,8.92,14.57,under,over,1.0,0.803,0.7224,0.422,0.225,0.323,1.17,0.584,1,Monte Carlo
Giannis Antetokounmpo,Mikal Bridges,30.5,14.5,21.22,11.73,under,under,0.963,0.83,0.7195,0.385,0.252,0.319,1.16,0.579,1,Monte Carlo
