player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Sion James,Jaylin Williams,Aaron Gordon,5.5,5.5,15.5,10.28,9.99,24.31,over,over,over,0.798,0.8,0.937,0.4852,0.22,0.222,0.359,0.267,1.91,0.382,0,"(0.0, 21.5)","(0.0, 20.7)","(12.9, 35.7)",21.46,20.72,22.74,5.7,5.48,5.8,Med,Med,Med,Monte Carlo
Sion James,Aaron Gordon,Chris Paul,5.5,15.5,4.5,10.28,24.31,9.01,over,over,over,0.798,0.94,0.791,0.4807,0.22,0.362,0.213,0.265,1.88,0.377,0,"(0.0, 21.5)","(12.9, 35.7)","(0.0, 19.6)",21.46,22.74,19.57,5.7,5.8,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,Chris Paul,5.5,15.5,4.5,9.99,24.31,9.01,over,over,over,0.792,0.94,0.791,0.4771,0.214,0.362,0.213,0.263,1.86,0.372,0,"(0.0, 20.7)","(12.9, 35.7)","(0.0, 19.6)",20.72,22.74,19.57,5.48,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Aaron Gordon,5.5,6.5,15.5,10.28,10.5,24.31,over,over,over,0.798,0.753,0.937,0.4567,0.22,0.175,0.359,0.252,1.74,0.348,0,"(0.0, 21.5)","(0.0, 22.2)","(12.9, 35.7)",21.46,22.22,22.74,5.7,5.98,5.8,Med,Med,Med,Monte Carlo
Corey Kispert,Jaylin Williams,Aaron Gordon,6.5,5.5,15.5,10.5,9.99,24.31,over,over,over,0.749,0.8,0.937,0.4553,0.171,0.222,0.359,0.251,1.73,0.346,0,"(0.0, 22.2)","(0.0, 20.7)","(12.9, 35.7)",22.22,20.72,22.74,5.98,5.48,5.8,Med,Med,Med,Monte Carlo
Corey Kispert,Aaron Gordon,Chris Paul,6.5,15.5,4.5,10.5,24.31,9.01,over,over,over,0.749,0.94,0.791,0.4511,0.171,0.362,0.213,0.249,1.71,0.341,0,"(0.0, 22.2)","(12.9, 35.7)","(0.0, 19.6)",22.22,22.74,19.57,5.98,5.8,5.39,Med,Med,Med,Monte Carlo
Alex Caruso,Jaylin Williams,Aaron Gordon,8.0,5.5,15.5,11.03,9.99,24.31,over,over,over,0.703,0.8,0.937,0.427,0.125,0.222,0.359,0.235,1.56,0.312,0,"(0.0, 22.2)","(0.0, 20.7)","(12.9, 35.7)",22.18,20.72,22.74,5.69,5.48,5.8,Med,Med,Med,Monte Carlo
Sion James,Alex Caruso,Aaron Gordon,5.5,8.0,15.5,10.28,11.03,24.31,over,over,over,0.798,0.705,0.937,0.4273,0.22,0.127,0.359,0.235,1.56,0.313,0,"(0.0, 21.5)","(0.0, 22.2)","(12.9, 35.7)",21.46,22.18,22.74,5.7,5.69,5.8,Med,Med,Med,Monte Carlo
Alex Caruso,Aaron Gordon,Chris Paul,8.0,15.5,4.5,11.03,24.31,9.01,over,over,over,0.703,0.94,0.791,0.4231,0.125,0.362,0.213,0.233,1.54,0.308,0,"(0.0, 22.2)","(12.9, 35.7)","(0.0, 19.6)",22.18,22.74,19.57,5.69,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Keldon Johnson,Aaron Gordon,5.5,11.5,15.5,10.28,14.12,24.31,over,over,over,0.798,0.686,0.937,0.4157,0.22,0.108,0.359,0.229,1.49,0.299,0,"(0.0, 21.5)","(3.4, 24.8)","(12.9, 35.7)",21.46,21.37,22.74,5.7,5.45,5.8,Med,Med,Med,Monte Carlo
Jaylin Williams,Keldon Johnson,Aaron Gordon,5.5,11.5,15.5,9.99,14.12,24.31,over,over,over,0.792,0.686,0.937,0.4125,0.214,0.108,0.359,0.227,1.48,0.295,0,"(0.0, 20.7)","(3.4, 24.8)","(12.9, 35.7)",20.72,21.37,22.74,5.48,5.45,5.8,Med,Med,Med,Monte Carlo
Keldon Johnson,Aaron Gordon,Chris Paul,11.5,15.5,4.5,14.12,24.31,9.01,over,over,over,0.683,0.94,0.791,0.4114,0.105,0.362,0.213,0.227,1.47,0.294,0,"(3.4, 24.8)","(12.9, 35.7)","(0.0, 19.6)",21.37,22.74,19.57,5.45,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Chris Paul,5.5,5.5,4.5,10.28,9.99,9.01,over,over,over,0.798,0.8,0.791,0.4095,0.22,0.222,0.213,0.219,1.46,0.291,0,"(0.0, 21.5)","(0.0, 20.7)","(0.0, 19.6)",21.46,20.72,19.57,5.7,5.48,5.39,Med,Med,Med,Monte Carlo
Alex Caruso,Corey Kispert,Aaron Gordon,8.0,6.5,15.5,11.03,10.5,24.31,over,over,over,0.703,0.753,0.937,0.4019,0.125,0.175,0.359,0.22,1.41,0.282,0,"(0.0, 22.2)","(0.0, 22.2)","(12.9, 35.7)",22.18,22.22,22.74,5.69,5.98,5.8,Med,Med,Med,Monte Carlo
Sion James,Harrison Barnes,Aaron Gordon,5.5,9.5,15.5,10.28,11.58,24.31,over,over,over,0.798,0.649,0.937,0.3935,0.22,0.071,0.359,0.217,1.36,0.272,0,"(0.0, 21.5)","(0.5, 22.6)","(12.9, 35.7)",21.46,22.08,22.74,5.7,5.63,5.8,Med,Med,Med,Monte Carlo
Corey Kispert,Keldon Johnson,Aaron Gordon,6.5,11.5,15.5,10.5,14.12,24.31,over,over,over,0.749,0.686,0.937,0.39,0.171,0.108,0.359,0.213,1.34,0.268,0,"(0.0, 22.2)","(3.4, 24.8)","(12.9, 35.7)",22.22,21.37,22.74,5.98,5.45,5.8,Med,Med,Med,Monte Carlo
Jaylin Williams,Harrison Barnes,Aaron Gordon,5.5,9.5,15.5,9.99,11.58,24.31,over,over,over,0.792,0.649,0.937,0.3905,0.214,0.071,0.359,0.215,1.34,0.269,0,"(0.0, 20.7)","(0.5, 22.6)","(12.9, 35.7)",20.72,22.08,22.74,5.48,5.63,5.8,Med,Med,Med,Monte Carlo
Harrison Barnes,Aaron Gordon,Chris Paul,9.5,15.5,4.5,11.58,24.31,9.01,over,over,over,0.643,0.94,0.791,0.3872,0.065,0.362,0.213,0.213,1.32,0.265,0,"(0.5, 22.6)","(12.9, 35.7)","(0.0, 19.6)",22.08,22.74,19.57,5.63,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Chris Paul,5.5,6.5,4.5,10.28,10.5,9.01,over,over,over,0.798,0.753,0.791,0.3854,0.22,0.175,0.213,0.203,1.31,0.262,0,"(0.0, 21.5)","(0.0, 22.2)","(0.0, 19.6)",21.46,22.22,19.57,5.7,5.98,5.39,Med,Med,Med,Monte Carlo
Corey Kispert,Jaylin Williams,Chris Paul,6.5,5.5,4.5,10.5,9.99,9.01,over,over,over,0.749,0.8,0.791,0.3842,0.171,0.222,0.213,0.202,1.31,0.261,0,"(0.0, 22.2)","(0.0, 20.7)","(0.0, 19.6)",22.22,20.72,19.57,5.98,5.48,5.39,Med,Med,Med,Monte Carlo
Sion James,Corey Kispert,Jaylin Williams,5.5,6.5,5.5,10.28,10.5,9.99,over,over,over,0.798,0.753,0.785,0.3826,0.22,0.175,0.207,0.201,1.3,0.259,0,"(0.0, 21.5)","(0.0, 22.2)","(0.0, 20.7)",21.46,22.22,20.72,5.7,5.98,5.48,Med,Med,Med,Monte Carlo
Corey Kispert,Harrison Barnes,Aaron Gordon,6.5,9.5,15.5,10.5,11.58,24.31,over,over,over,0.749,0.649,0.937,0.3692,0.171,0.071,0.359,0.2,1.22,0.243,0,"(0.0, 22.2)","(0.5, 22.6)","(12.9, 35.7)",22.22,22.08,22.74,5.98,5.63,5.8,Med,Med,Med,Monte Carlo
Alex Caruso,Keldon Johnson,Aaron Gordon,8.0,11.5,15.5,11.03,14.12,24.31,over,over,over,0.703,0.686,0.937,0.3658,0.125,0.108,0.359,0.197,1.2,0.239,0,"(0.0, 22.2)","(3.4, 24.8)","(12.9, 35.7)",22.18,21.37,22.74,5.69,5.45,5.8,Med,Med,Med,Monte Carlo
Sion James,Bobby Portis,Aaron Gordon,5.5,9.5,15.5,10.28,10.8,24.31,over,over,over,0.798,0.604,0.937,0.3659,0.22,0.026,0.359,0.202,1.2,0.239,0,"(0.0, 21.5)","(0.7, 20.9)","(12.9, 35.7)",21.46,20.17,22.74,5.7,5.15,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Jaylin Williams,Aaron Gordon,9.5,5.5,15.5,10.8,9.99,24.31,over,over,over,0.6,0.8,0.937,0.3644,0.022,0.222,0.359,0.201,1.19,0.237,0,"(0.7, 20.9)","(0.0, 20.7)","(12.9, 35.7)",20.17,20.72,22.74,5.15,5.48,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Aaron Gordon,Chris Paul,9.5,15.5,4.5,10.8,24.31,9.01,over,over,over,0.6,0.94,0.791,0.3611,0.022,0.362,0.213,0.199,1.17,0.233,0,"(0.7, 20.9)","(12.9, 35.7)","(0.0, 19.6)",20.17,22.74,19.57,5.15,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Alex Caruso,Chris Paul,5.5,8.0,4.5,10.28,11.03,9.01,over,over,over,0.798,0.705,0.791,0.3606,0.22,0.127,0.213,0.187,1.16,0.233,0,"(0.0, 21.5)","(0.0, 22.2)","(0.0, 19.6)",21.46,22.18,19.57,5.7,5.69,5.39,Med,Med,Med,Monte Carlo
Alex Caruso,Jaylin Williams,Chris Paul,8.0,5.5,4.5,11.03,9.99,9.01,over,over,over,0.703,0.8,0.791,0.3604,0.125,0.222,0.213,0.187,1.16,0.232,0,"(0.0, 22.2)","(0.0, 20.7)","(0.0, 19.6)",22.18,20.72,19.57,5.69,5.48,5.39,Med,Med,Med,Monte Carlo
Sion James,Alex Caruso,Jaylin Williams,5.5,8.0,5.5,10.28,11.03,9.99,over,over,over,0.798,0.705,0.785,0.358,0.22,0.127,0.207,0.185,1.15,0.23,0,"(0.0, 21.5)","(0.0, 22.2)","(0.0, 20.7)",21.46,22.18,20.72,5.7,5.69,5.48,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Keldon Johnson,5.5,5.5,11.5,10.28,9.99,14.12,over,over,over,0.798,0.8,0.68,0.3523,0.22,0.222,0.102,0.182,1.11,0.223,0,"(0.0, 21.5)","(0.0, 20.7)","(3.4, 24.8)",21.46,20.72,21.37,5.7,5.48,5.45,Med,Med,Med,Monte Carlo
Sion James,Keldon Johnson,Chris Paul,5.5,11.5,4.5,10.28,14.12,9.01,over,over,over,0.798,0.686,0.791,0.3508,0.22,0.108,0.213,0.18,1.1,0.221,0,"(0.0, 21.5)","(3.4, 24.8)","(0.0, 19.6)",21.46,21.37,19.57,5.7,5.45,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Keldon Johnson,Chris Paul,5.5,11.5,4.5,9.99,14.12,9.01,over,over,over,0.792,0.686,0.791,0.3481,0.214,0.108,0.213,0.178,1.09,0.218,0,"(0.0, 20.7)","(3.4, 24.8)","(0.0, 19.6)",20.72,21.37,19.57,5.48,5.45,5.39,Med,Med,Med,Monte Carlo
Alex Caruso,Harrison Barnes,Aaron Gordon,8.0,9.5,15.5,11.03,11.58,24.31,over,over,over,0.703,0.649,0.937,0.3463,0.125,0.071,0.359,0.185,1.08,0.216,0,"(0.0, 22.2)","(0.5, 22.6)","(12.9, 35.7)",22.18,22.08,22.74,5.69,5.63,5.8,Med,Med,Med,Monte Carlo
Bobby Portis,Corey Kispert,Aaron Gordon,9.5,6.5,15.5,10.8,10.5,24.31,over,over,over,0.6,0.753,0.937,0.343,0.022,0.175,0.359,0.185,1.06,0.212,0,"(0.7, 20.9)","(0.0, 22.2)","(12.9, 35.7)",20.17,22.22,22.74,5.15,5.98,5.8,Med,Med,Med,Monte Carlo
