NAME,BOOKMAKER,LINE,PREDICTION,SIDE,ODDS,RECOMMENDATION,EV%,KELLY_FRACTION,SIGMA FLAG
Tyrese Maxey,BetRivers,30.5,25.45,Under,107,1,66.84,0.625,Med
Brandon Miller,BetMGM,18.5,14.01,Under,-110,1,57.99,0.638,Low
Bam Adebayo,BetRivers,19.5,15.79,Under,120,0,57.02,0.475,High
Kristaps Porzingis,BetRivers,18.5,15.09,Under,110,0,51.44,0.468,Med
Rui Hachimura,BetRivers,12.5,15.43,Over,120,0,48.47,0.404,High
Dillon Brooks,DraftKings,18.5,23.81,Over,-114,1,44.49,0.507,High
James Harden,DraftKings,24.5,20.45,Under,-122,1,36.84,0.449,Med
Austin Reaves,BetMGM,22.5,26.89,Over,-115,1,36.43,0.419,High
Deni Avdija,BetMGM,24.5,26.88,Over,110,0,34.84,0.317,High
Dyson Daniels,BetMGM,12.5,9.64,Under,-118,0,34.64,0.409,Low
