NAME,BOOKMAKER,CATEGORY,LINE,ODDS,SIDE,PREDICTION,RECOMMENDATION,OVER%,UNDER%,IMPLIED PROB,MODEL PROB,EDGE,EV%,KELLY_FRACTION,KELLY_DOLLARS,CONFIDENCE INTERVAL,INTERVAL WIDTH,SIGMA,SIGMA FLAG,SIMULATION_METHOD
Jonas Valanciunas,Bovada,player_points,8.5,170,Over,14.27,1,0.851,0.149,0.37,0.851,0.481,12.99,0.764,4.25,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Josh Okogie,Bovada,player_points,10.5,175,Over,16.27,1,0.787,0.213,0.364,0.787,0.423,11.64,0.665,4.38,"(2.1, 30.5)",28.44,7.25,High,Analytical
Tristan da Silva,Bovada,player_points,9.5,200,Over,13.64,0,0.714,0.286,0.333,0.714,0.381,11.43,0.572,5.0,"(0.0, 28.0)",27.97,7.31,High,Analytical
Kentavious Caldwell-Pope,Bovada,player_points,11.5,190,Over,16.45,0,0.713,0.287,0.345,0.713,0.368,10.68,0.562,4.75,"(0.0, 33.7)",33.7,8.8,High,Analytical
Oso Ighodaro,Bovada,player_points,6.5,150,Over,11.97,1,0.805,0.195,0.4,0.805,0.405,10.11,0.674,3.75,"(0.0, 24.5)",24.48,6.38,High,Analytical
Jonas Valanciunas,Bovada,player_points,7.5,125,Over,14.27,1,0.889,0.111,0.444,0.889,0.445,10.01,0.801,3.12,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Kevin Durant,Bovada,player_points,29.5,185,Over,34.19,0,0.694,0.306,0.351,0.694,0.344,9.79,0.529,4.62,"(16.1, 52.2)",36.12,9.21,High,Analytical
Royce O'Neale,Bovada,player_points,12.5,175,Over,16.83,0,0.697,0.303,0.364,0.697,0.333,9.16,0.524,4.38,"(0.4, 33.3)",32.95,8.41,High,Analytical
Bronny James,Bovada,player_points,6.5,160,Over,10.09,0,0.735,0.265,0.385,0.735,0.35,9.11,0.57,4.0,"(0.0, 21.3)",21.27,5.71,Med,Analytical
Ausar Thompson,Bovada,player_points,15.5,185,Over,20.24,0,0.669,0.331,0.351,0.669,0.318,9.07,0.49,4.62,"(0.0, 41.5)",41.47,10.83,High,Analytical
Josh Okogie,Bovada,player_points,9.5,130,Over,16.27,0,0.825,0.175,0.435,0.825,0.39,8.97,0.69,3.25,"(2.1, 30.5)",28.44,7.25,High,Analytical
Walker Kessler,Bovada,player_points,13.5,190,Over,16.14,0,0.649,0.351,0.345,0.649,0.305,8.83,0.465,4.75,"(2.7, 29.6)",26.97,6.88,High,Analytical
Kevin Durant,Bovada,player_points,28.5,155,Over,34.19,0,0.731,0.269,0.392,0.731,0.339,8.65,0.558,3.87,"(16.1, 52.2)",36.12,9.21,High,Analytical
Tristan da Silva,Bovada,player_points,8.5,145,Over,13.64,0,0.759,0.241,0.408,0.759,0.351,8.6,0.593,3.63,"(0.0, 28.0)",27.97,7.31,High,Analytical
Keyonte George,Bovada,player_points,21.5,185,Over,25.33,0,0.65,0.35,0.351,0.65,0.299,8.53,0.461,4.62,"(5.9, 44.8)",38.9,9.92,High,Analytical
Scottie Barnes,Bovada,player_points,20.5,190,Over,23.51,0,0.639,0.361,0.345,0.639,0.294,8.53,0.449,4.75,"(6.9, 40.1)",33.19,8.47,High,Analytical
Ben Saraf,Bovada,player_points,6.5,150,Over,10.65,0,0.737,0.263,0.4,0.737,0.337,8.42,0.561,3.75,"(0.0, 23.5)",23.5,6.56,High,Analytical
Kentavious Caldwell-Pope,Bovada,player_points,10.5,145,Over,16.45,0,0.75,0.25,0.408,0.75,0.342,8.39,0.578,3.63,"(0.0, 33.7)",33.7,8.8,High,Analytical
Jeremiah Fears,Bovada,player_points,13.5,190,Over,16.22,0,0.631,0.369,0.345,0.631,0.287,8.31,0.437,4.75,"(0.3, 32.1)",31.78,8.11,High,Analytical
Blake Wesley,Bovada,player_points,7.5,155,Over,10.76,0,0.711,0.289,0.392,0.711,0.319,8.13,0.525,3.87,"(0.0, 22.2)",22.25,5.86,Med,Analytical
Deni Avdija,Bovada,player_points,24.5,175,Over,28.39,0,0.658,0.342,0.364,0.658,0.294,8.1,0.463,4.38,"(9.7, 47.1)",37.46,9.56,High,Analytical
Donovan Clingan,Bovada,player_points,11.5,165,Over,14.76,0,0.681,0.319,0.377,0.681,0.304,8.05,0.488,4.12,"(1.2, 28.3)",27.11,6.92,High,Analytical
Josh Okogie,BetRivers,player_points,9.5,118,Over,16.27,0,0.825,0.175,0.459,0.825,0.366,7.98,0.676,2.95,"(2.1, 30.5)",28.44,7.25,High,Analytical
Jonas Valanciunas,BetMGM,player_points,6.5,-105,Over,14.27,1,0.92,0.08,0.512,0.92,0.408,7.96,0.836,2.38,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Jamal Shead,Bovada,player_points,7.5,180,Over,9.58,0,0.635,0.365,0.357,0.635,0.278,7.77,0.432,4.5,"(0.0, 21.4)",21.41,6.03,High,Analytical
Kevin Durant,Bovada,player_points,27.5,130,Over,34.19,0,0.766,0.234,0.435,0.766,0.331,7.62,0.586,3.25,"(16.1, 52.2)",36.12,9.21,High,Analytical
Josh Okogie,BetMGM,player_points,8.5,105,Over,16.27,0,0.858,0.142,0.488,0.858,0.37,7.59,0.723,2.62,"(2.1, 30.5)",28.44,7.25,High,Analytical
Kris Murray,Bovada,player_points,7.5,190,Over,9.01,0,0.603,0.397,0.345,0.603,0.258,7.48,0.394,4.75,"(0.0, 20.4)",20.4,5.81,Med,Analytical
Ryan Dunn,Bovada,player_points,10.5,190,Over,12.19,0,0.601,0.399,0.345,0.601,0.257,7.44,0.392,4.75,"(0.0, 25.1)",25.05,6.56,High,Analytical
Jamal Murray,Bovada,player_points,26.5,200,Over,28.69,0,0.578,0.422,0.333,0.578,0.245,7.35,0.368,5.0,"(7.0, 50.4)",43.43,11.08,High,Analytical
Jonas Valanciunas,FanDuel,player_points,6.5,-113,Over,14.27,0,0.92,0.08,0.531,0.92,0.389,7.34,0.829,2.21,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Oso Ighodaro,Bovada,player_points,5.5,105,Over,11.97,0,0.845,0.155,0.488,0.845,0.357,7.32,0.697,2.62,"(0.0, 24.5)",24.48,6.38,High,Analytical
Ben Sheppard,Bovada,player_points,12.5,180,Over,14.68,0,0.617,0.383,0.357,0.617,0.26,7.28,0.404,4.5,"(0.3, 29.0)",28.74,7.33,High,Analytical
Jonas Valanciunas,Bovada,player_points,6.5,-115,Over,14.27,0,0.92,0.08,0.535,0.92,0.385,7.2,0.828,2.17,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Ausar Thompson,Bovada,player_points,14.5,145,Over,20.24,0,0.702,0.298,0.408,0.702,0.294,7.2,0.496,3.63,"(0.0, 41.5)",41.47,10.83,High,Analytical
Walker Kessler,Bovada,player_points,12.5,145,Over,16.14,0,0.702,0.298,0.408,0.702,0.293,7.19,0.496,3.63,"(2.7, 29.6)",26.97,6.88,High,Analytical
Dennis Schroder,BetRivers,player_points,13.5,120,Over,20.03,0,0.781,0.219,0.455,0.781,0.327,7.19,0.599,3.0,"(3.5, 36.5)",32.96,8.41,High,Analytical
Keyonte George,Bovada,player_points,20.5,150,Over,25.33,0,0.687,0.313,0.4,0.687,0.287,7.17,0.478,3.75,"(5.9, 44.8)",38.9,9.92,High,Analytical
Josh Okogie,BetOnline.ag,player_points,8.5,100,Over,16.27,0,0.858,0.142,0.5,0.858,0.358,7.16,0.716,2.5,"(2.1, 30.5)",28.44,7.25,High,Analytical
Josh Okogie,FanDuel,player_points,8.5,100,Over,16.27,0,0.858,0.142,0.5,0.858,0.358,7.16,0.716,2.5,"(2.1, 30.5)",28.44,7.25,High,Analytical
Taylor Hendricks,BetMGM,player_points,4.5,-105,Over,11.85,0,0.878,0.122,0.512,0.878,0.365,7.13,0.749,2.38,"(0.0, 24.3)",24.25,6.32,High,Analytical
Jonas Valanciunas,BetOnline.ag,player_points,6.5,-116,Over,14.27,0,0.92,0.08,0.537,0.92,0.383,7.13,0.827,2.16,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Steven Adams,BetMGM,player_points,4.5,-110,Over,12.19,0,0.896,0.104,0.524,0.896,0.372,7.11,0.782,2.27,"(0.2, 24.1)",23.92,6.1,High,Analytical
Scottie Barnes,Bovada,player_points,19.5,150,Over,23.51,0,0.682,0.318,0.4,0.682,0.282,7.05,0.47,3.75,"(6.9, 40.1)",33.19,8.47,High,Analytical
Zaccharie Risacher,BetRivers,player_points,11.5,117,Over,18.01,0,0.785,0.215,0.461,0.785,0.325,7.04,0.602,2.92,"(1.9, 34.1)",32.25,8.23,High,Analytical
Deni Avdija,Bovada,player_points,23.5,145,Over,28.39,0,0.696,0.304,0.408,0.696,0.288,7.04,0.486,3.63,"(9.7, 47.1)",37.46,9.56,High,Analytical
Isaac Okoro,Bovada,player_points,9.5,175,Over,11.48,0,0.619,0.381,0.364,0.619,0.255,7.01,0.401,4.38,"(0.0, 24.3)",24.32,6.55,High,Analytical
Jonas Valanciunas,DraftKings,player_points,6.5,-118,Over,14.27,0,0.92,0.08,0.541,0.92,0.379,7.0,0.825,2.12,"(3.4, 25.1)",21.67,5.53,Med,Analytical
Royce O'Neale,Bovada,player_points,11.5,130,Over,16.83,0,0.737,0.263,0.435,0.737,0.302,6.95,0.535,3.25,"(0.4, 33.3)",32.95,8.41,High,Analytical
Aaron Gordon,BetRivers,player_points,17.5,112,Over,22.28,0,0.799,0.201,0.472,0.799,0.327,6.93,0.619,2.8,"(11.1, 33.5)",22.4,5.71,Med,Analytical
Walter Clayton Jr.,Bovada,player_points,10.5,155,Over,13.43,0,0.664,0.336,0.392,0.664,0.272,6.93,0.447,3.87,"(0.0, 27.0)",27.0,6.93,High,Analytical
Josh Okogie,BetRivers,player_points,8.5,-103,Over,16.27,0,0.858,0.142,0.507,0.858,0.351,6.91,0.712,2.43,"(2.1, 30.5)",28.44,7.25,High,Analytical
Aaron Gordon,BetMGM,player_points,16.5,100,Over,22.28,0,0.844,0.156,0.5,0.844,0.344,6.89,0.689,2.5,"(11.1, 33.5)",22.4,5.71,Med,Analytical
P.J. Washington,Bovada,player_points,17.5,180,Over,19.62,0,0.6,0.4,0.357,0.6,0.243,6.79,0.377,4.5,"(3.2, 36.0)",32.85,8.38,High,Analytical
Derik Queen,Bovada,player_points,10.5,190,Over,11.84,0,0.578,0.422,0.345,0.578,0.233,6.76,0.356,4.75,"(0.0, 25.2)",25.19,6.81,High,Analytical
Josh Okogie,Bovada,player_points,8.5,-105,Over,16.27,0,0.858,0.142,0.512,0.858,0.346,6.75,0.709,2.38,"(2.1, 30.5)",28.44,7.25,High,Analytical
Mike Conley,Bovada,player_points,11.5,200,Over,12.56,0,0.557,0.443,0.333,0.557,0.224,6.72,0.336,5.0,"(0.0, 26.9)",26.92,7.33,High,Analytical
