NAME 1,NAME 2,LINE 1,LINE 2,PREDICTION 1,PREDICTION 2,PROB 1,PROB 2,MODEL SIDE 1,MODEL SIDE 2,RECOMMENDATION,EV$,KELLY FULL,SIGMA FLAG 1,SIGMA FLAG 2
Tre Jones,Dillon Brooks,8.5,17.5,14.89,22.8,0.864,0.789,over,over,1,10.04,0.502,Med,High
Isaac Okoro,Alperen Sengun,6.5,23.5,11.22,28.14,0.785,0.762,over,over,1,7.59,0.38,Med,High
Bennedict Mathurin,Kevin Huerter,21.5,12.5,26.11,16.73,0.761,0.752,over,over,1,6.82,0.341,High,High
Darius Garland,Coby White,15.5,20.5,12.47,24.37,0.737,0.751,under,over,0,6.27,0.313,Low,Med
Julius Randle,Lauri Markkanen,22.5,24.5,26.32,28.53,0.715,0.72,over,over,0,5.12,0.256,High,High
Naji Marshall,Keyonte George,10.5,19.5,13.91,23.11,0.713,0.702,over,over,0,4.71,0.236,High,High
Klay Thompson,Draymond Green,11.5,8.5,8.45,11.38,0.699,0.688,under,over,0,4.14,0.207,Med,Med
Bilal Coulibaly,Deni Avdija,10.5,25.5,13.33,29.02,0.682,0.684,over,over,0,3.72,0.186,Med,High
Josh Giddey,Aaron Gordon,20.5,17.5,23.22,19.75,0.66,0.666,over,over,0,2.93,0.146,High,Med
Cameron Johnson,Shai Gilgeous-Alexander,11.5,30.5,9.26,28.1,0.66,0.658,under,under,0,2.77,0.139,Med,Med
