player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Aaron Gordon,Chris Paul,15.5,4.5,24.31,9.01,over,over,0.946,0.836,0.7118,0.368,0.258,0.313,1.14,0.568,0,"(12.9, 35.7)","(0.0, 19.6)",22.74,19.57,5.8,5.39,Med,Med,Monte Carlo
Sion James,Aaron Gordon,5.5,15.5,10.28,24.31,over,over,0.836,0.946,0.712,0.258,0.368,0.313,1.14,0.568,0,"(0.0, 21.5)","(12.9, 35.7)",21.46,22.74,5.7,5.8,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,5.5,15.5,9.99,24.31,over,over,0.83,0.946,0.7066,0.252,0.368,0.31,1.12,0.56,0,"(0.0, 20.7)","(12.9, 35.7)",20.72,22.74,5.48,5.8,Med,Med,Monte Carlo
Corey Kispert,Aaron Gordon,6.5,15.5,10.5,24.31,over,over,0.784,0.946,0.6677,0.206,0.368,0.287,1.0,0.502,0,"(0.0, 22.2)","(12.9, 35.7)",22.22,22.74,5.98,5.8,Med,Med,Monte Carlo
Goga Bitadze,Aaron Gordon,5.5,15.5,8.51,24.31,over,over,0.757,0.946,0.6445,0.179,0.368,0.273,0.93,0.467,0,"(0.0, 18.5)","(12.9, 35.7)",18.48,22.74,5.09,5.8,Med,Med,Monte Carlo
Bruce Brown,Chris Paul,4.5,4.5,9.24,9.01,over,over,0.85,0.836,0.6395,0.272,0.258,0.265,0.92,0.459,0,"(0.0, 19.6)","(0.0, 19.6)",19.62,19.57,5.29,5.39,Med,Med,Monte Carlo
Sion James,Bruce Brown,5.5,4.5,10.28,9.24,over,over,0.836,0.85,0.6396,0.258,0.272,0.265,0.92,0.459,0,"(0.0, 21.5)","(0.0, 19.6)",21.46,19.62,5.7,5.29,Med,Med,Monte Carlo
Jaylin Williams,Bruce Brown,5.5,4.5,9.99,9.24,over,over,0.83,0.85,0.6348,0.252,0.272,0.262,0.9,0.452,0,"(0.0, 20.7)","(0.0, 19.6)",20.72,19.62,5.48,5.29,Med,Med,Monte Carlo
Sion James,Chris Paul,5.5,4.5,10.28,9.01,over,over,0.836,0.836,0.6289,0.258,0.258,0.258,0.89,0.443,0,"(0.0, 21.5)","(0.0, 19.6)",21.46,19.57,5.7,5.39,Med,Med,Monte Carlo
Sion James,Jaylin Williams,5.5,5.5,10.28,9.99,over,over,0.836,0.83,0.6243,0.258,0.252,0.255,0.87,0.436,0,"(0.0, 21.5)","(0.0, 20.7)",21.46,20.72,5.7,5.48,Med,Med,Monte Carlo
Jaylin Williams,Chris Paul,5.5,4.5,9.99,9.01,over,over,0.83,0.836,0.6241,0.252,0.258,0.255,0.87,0.436,0,"(0.0, 20.7)","(0.0, 19.6)",20.72,19.57,5.48,5.39,Med,Med,Monte Carlo
Sion James,Peyton Watson,5.5,5.5,10.28,9.28,over,over,0.836,0.825,0.6209,0.258,0.247,0.253,0.86,0.431,0,"(0.0, 21.5)","(0.0, 18.5)",21.46,18.49,5.7,4.72,Med,Med,Monte Carlo
Peyton Watson,Chris Paul,5.5,4.5,9.28,9.01,over,over,0.825,0.836,0.6207,0.247,0.258,0.252,0.86,0.431,0,"(0.0, 18.5)","(0.0, 19.6)",18.49,19.57,4.72,5.39,Med,Med,Monte Carlo
Jaylin Williams,Peyton Watson,5.5,5.5,9.99,9.28,over,over,0.83,0.825,0.6162,0.252,0.247,0.249,0.85,0.424,0,"(0.0, 20.7)","(0.0, 18.5)",20.72,18.49,5.48,4.72,Med,Med,Monte Carlo
