NAME 1,NAME 2,NAME 3,LINE 1,LINE 2,LINE 3,PREDICTION 1,PREDICTION 2,PREDICTION 3,PROB 1,PROB 2,PROB 3,MODEL SIDE 1,MODEL SIDE 2,MODEL SIDE 3,RECOMMENDATION,EV%,KELLY FULL,SIGMA FLAG 1,SIGMA FLAG 2,SIGMA FLAG 3
Tyrese Maxey,LeBron James,Jalen Duren,32.5,19.5,18.5,26.23,15.88,21.26,0.781,0.735,0.661,under,under,over,0,104.96,0.21,High,Med,High
Alex Sarr,Anthony Black,Reed Sheppard,17.5,11.5,14.5,20.33,14.09,11.93,0.652,0.65,0.655,over,over,under,0,49.8,0.1,High,High,High
Trendon Watford,Brook Lopez,Tobias Harris,10.5,5.5,11.5,8.48,7.49,14.15,0.637,0.634,0.646,under,over,over,0,40.96,0.082,Med,Med,High
James Harden,Jordan Walsh,Moses Moody,24.5,5.5,11.5,27.11,6.86,13.58,0.634,0.626,0.617,over,over,over,0,32.08,0.064,High,Low,High
Zaccharie Risacher,Austin Reaves,Ausar Thompson,10.5,22.5,10.5,12.6,24.98,12.33,0.615,0.627,0.609,over,over,over,0,26.71,0.053,High,High,High
Nickeil Alexander-Walker,Kawhi Leonard,Duncan Robinson,17.5,20.5,10.5,19.61,22.06,12.18,0.611,0.589,0.601,over,over,over,0,16.97,0.034,High,High,High
Kristaps Porziņģis,Franz Wagner,Jaxson Hayes,19.5,25.5,7.5,17.54,24.15,6.68,0.608,0.571,0.571,under,under,under,0,7.12,0.014,High,High,Low
Luke Kennard,Luka Dončić,Payton Pritchard,6.5,32.5,16.5,7.62,31.27,17.53,0.583,0.568,0.555,over,under,over,0,-0.77,0.0,Med,High,High
Justin Champagnie,Jaylen Brown,Alperen Sengun,6.5,27.5,22.5,5.61,28.27,23.22,0.576,0.54,0.537,under,over,over,0,-9.64,0.0,Low,High,High
Tristan Vukcevic,Bogdan Bogdanović,Caris LeVert,8.5,8.5,8.5,8.12,8.03,8.9,0.528,0.53,0.528,under,under,over,0,-20.33,0.0,Med,High,Med
