player1,player2,player3,line1,line2,line3,pred1,pred2,pred3,model_side1,model_side2,model_side3,prob1,prob2,prob3,prob_all_three,edge1,edge2,edge3,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,confidence_interval3,interval_width1,interval_width2,interval_width3,sigma1,sigma2,sigma3,sigma_flag1,sigma_flag2,sigma_flag3,simulation_method
Aaron Gordon,Bruce Brown,Chris Paul,15.5,4.5,4.5,24.31,9.24,9.01,over,over,over,0.946,0.85,0.836,0.5446,0.368,0.272,0.258,0.299,2.27,0.454,0,"(12.9, 35.7)","(0.0, 19.6)","(0.0, 19.6)",22.74,19.62,19.57,5.8,5.29,5.39,Med,Med,Med,Monte Carlo
Sion James,Aaron Gordon,Bruce Brown,5.5,15.5,4.5,10.28,24.31,9.24,over,over,over,0.836,0.946,0.85,0.5447,0.258,0.368,0.272,0.299,2.27,0.454,0,"(0.0, 21.5)","(12.9, 35.7)","(0.0, 19.6)",21.46,22.74,19.62,5.7,5.8,5.29,Med,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,Bruce Brown,5.5,15.5,4.5,9.99,24.31,9.24,over,over,over,0.83,0.946,0.85,0.5406,0.252,0.368,0.272,0.297,2.24,0.449,0,"(0.0, 20.7)","(12.9, 35.7)","(0.0, 19.6)",20.72,22.74,19.62,5.48,5.8,5.29,Med,Med,Med,Monte Carlo
Sion James,Aaron Gordon,Chris Paul,5.5,15.5,4.5,10.28,24.31,9.01,over,over,over,0.836,0.946,0.836,0.5356,0.258,0.368,0.258,0.295,2.21,0.443,0,"(0.0, 21.5)","(12.9, 35.7)","(0.0, 19.6)",21.46,22.74,19.57,5.7,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Jaylin Williams,Aaron Gordon,5.5,5.5,15.5,10.28,9.99,24.31,over,over,over,0.836,0.83,0.946,0.5317,0.258,0.252,0.368,0.293,2.19,0.438,0,"(0.0, 21.5)","(0.0, 20.7)","(12.9, 35.7)",21.46,20.72,22.74,5.7,5.48,5.8,Med,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,Chris Paul,5.5,15.5,4.5,9.99,24.31,9.01,over,over,over,0.83,0.946,0.836,0.5315,0.252,0.368,0.258,0.293,2.19,0.438,0,"(0.0, 20.7)","(12.9, 35.7)","(0.0, 19.6)",20.72,22.74,19.57,5.48,5.8,5.39,Med,Med,Med,Monte Carlo
Sion James,Aaron Gordon,Peyton Watson,5.5,15.5,5.5,10.28,24.31,9.28,over,over,over,0.836,0.946,0.825,0.5288,0.258,0.368,0.247,0.291,2.17,0.435,0,"(0.0, 21.5)","(12.9, 35.7)","(0.0, 18.5)",21.46,22.74,18.49,5.7,5.8,4.72,Med,Med,Med,Monte Carlo
Aaron Gordon,Peyton Watson,Chris Paul,15.5,5.5,4.5,24.31,9.28,9.01,over,over,over,0.946,0.825,0.836,0.5287,0.368,0.247,0.258,0.291,2.17,0.434,0,"(12.9, 35.7)","(0.0, 18.5)","(0.0, 19.6)",22.74,18.49,19.57,5.8,4.72,5.39,Med,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,Peyton Watson,5.5,15.5,5.5,9.99,24.31,9.28,over,over,over,0.83,0.946,0.825,0.5248,0.252,0.368,0.247,0.289,2.15,0.43,0,"(0.0, 20.7)","(12.9, 35.7)","(0.0, 18.5)",20.72,22.74,18.49,5.48,5.8,4.72,Med,Med,Med,Monte Carlo
Corey Kispert,Aaron Gordon,Bruce Brown,6.5,15.5,4.5,10.5,24.31,9.24,over,over,over,0.784,0.946,0.85,0.5109,0.206,0.368,0.272,0.282,2.07,0.413,0,"(0.0, 22.2)","(12.9, 35.7)","(0.0, 19.6)",22.22,22.74,19.62,5.98,5.8,5.29,Med,Med,Med,Monte Carlo
Corey Kispert,Aaron Gordon,Chris Paul,6.5,15.5,4.5,10.5,24.31,9.01,over,over,over,0.784,0.946,0.836,0.5023,0.206,0.368,0.258,0.277,2.01,0.403,0,"(0.0, 22.2)","(12.9, 35.7)","(0.0, 19.6)",22.22,22.74,19.57,5.98,5.8,5.39,Med,Med,Med,Monte Carlo
