BOOKMAKER,CATEGORY,NAME,OVER/UNDER,LINE,ODDS
PrizePicks,player_points,Napheesa Collier,Over,21.0,-137
PrizePicks,player_points,Napheesa Collier,Under,21.0,-137
PrizePicks,player_points,Napheesa Collier,Over,21.5,-137
PrizePicks,player_points,Napheesa Collier,Under,21.5,-137
PrizePicks,player_points,Kayla McBride,Over,13.5,-137
PrizePicks,player_points,Kayla McBride,Under,13.5,-137
PrizePicks,player_points,Courtney Williams,Over,12.5,-137
PrizePicks,player_points,Courtney Williams,Under,12.5,-137
PrizePicks,player_points,Tiffany Hayes,Over,10.0,-137
PrizePicks,player_points,Tiffany Hayes,Under,10.0,-137
PrizePicks,player_points,Veronica Burton,Over,11.5,-137
PrizePicks,player_points,Veronica Burton,Under,11.5,-137
PrizePicks,player_points,Janelle Salaun,Over,11.5,-137
PrizePicks,player_points,Janelle Salaun,Under,11.5,-137
PrizePicks,player_points,Naz Hillmon,Over,9.5,-137
PrizePicks,player_points,Naz Hillmon,Under,9.5,-137
PrizePicks,player_points,Lexie Hull,Over,7.0,-137
PrizePicks,player_points,Lexie Hull,Under,7.0,-137
PrizePicks,player_points,Jordin Canada,Over,10.5,-137
PrizePicks,player_points,Jordin Canada,Under,10.5,-137
PrizePicks,player_points,Rhyne Howard,Over,17.5,-137
PrizePicks,player_points,Rhyne Howard,Under,17.5,-137
PrizePicks,player_points,Allisha Gray,Over,16.5,-137
PrizePicks,player_points,Allisha Gray,Under,16.5,-137
PrizePicks,player_points,Brionna Jones,Over,13.5,-137
PrizePicks,player_points,Brionna Jones,Under,13.5,-137
PrizePicks,player_points,Kelsey Mitchell,Over,18.5,-137
PrizePicks,player_points,Kelsey Mitchell,Under,18.5,-137
PrizePicks,player_points,Aliyah Boston,Over,13.5,-137
PrizePicks,player_points,Aliyah Boston,Under,13.5,-137
PrizePicks,player_points,Natasha Howard,Over,11.5,-137
PrizePicks,player_points,Natasha Howard,Under,11.5,-137
PrizePicks,player_points,Odyssey Sims,Over,10.5,-137
PrizePicks,player_points,Odyssey Sims,Under,10.5,-137
PrizePicks,player_points,Breanna Stewart,Over,19.0,-137
PrizePicks,player_points,Breanna Stewart,Under,19.0,-137
PrizePicks,player_points,Breanna Stewart,Over,18.5,-137
PrizePicks,player_points,Breanna Stewart,Under,18.5,-137
PrizePicks,player_points,Sabrina Ionescu,Over,17.5,-137
PrizePicks,player_points,Sabrina Ionescu,Under,17.5,-137
PrizePicks,player_points,Sabrina Ionescu,Over,17.5,-137
PrizePicks,player_points,Sabrina Ionescu,Under,17.5,-137
PrizePicks,player_points,Jonquel Jones,Over,13.5,-137
PrizePicks,player_points,Jonquel Jones,Under,13.5,-137
PrizePicks,player_points,Jonquel Jones,Over,13.5,-137
PrizePicks,player_points,Jonquel Jones,Under,13.5,-137
PrizePicks,player_points,Natasha Cloud,Over,9.5,-137
PrizePicks,player_points,Natasha Cloud,Under,9.5,-137
PrizePicks,player_points,Kahleah Copper,Over,17.5,-137
PrizePicks,player_points,Kahleah Copper,Under,17.5,-137
PrizePicks,player_points,Kahleah Copper,Over,17.5,-137
PrizePicks,player_points,Kahleah Copper,Under,17.5,-137
PrizePicks,player_points,Satou Sabally,Over,16.0,-137
PrizePicks,player_points,Satou Sabally,Under,16.0,-137
PrizePicks,player_points,Alyssa Thomas,Over,15.5,-137
PrizePicks,player_points,Alyssa Thomas,Under,15.5,-137
PrizePicks,player_points,Emma Meesseman,Over,10.5,-137
PrizePicks,player_points,Emma Meesseman,Under,10.5,-137
PrizePicks,player_points,A'ja Wilson,Over,24.5,-137
PrizePicks,player_points,A'ja Wilson,Under,24.5,-137
PrizePicks,player_points,Chelsea Gray,Over,11.0,-137
PrizePicks,player_points,Chelsea Gray,Under,11.0,-137
PrizePicks,player_points,Jackie Young,Over,16.5,-137
PrizePicks,player_points,Jackie Young,Under,16.5,-137
PrizePicks,player_points,Skylar Diggins-Smith,Over,13.5,-137
PrizePicks,player_points,Skylar Diggins-Smith,Under,13.5,-137
PrizePicks,player_points,Nneka Ogwumike,Over,16.5,-137
PrizePicks,player_points,Nneka Ogwumike,Under,16.5,-137
PrizePicks,player_points,Brittney Sykes,Over,10.5,-137
PrizePicks,player_points,Brittney Sykes,Under,10.5,-137
PrizePicks,player_points,Brittney Sykes,Over,11.5,-137
PrizePicks,player_points,Brittney Sykes,Under,11.5,-137
Underdog,player_points,Breanna Stewart,Over,18.5,-137
Underdog,player_points,Breanna Stewart,Under,18.5,-137
Underdog,player_points,Skylar Diggins-Smith,Over,13.5,-137
Underdog,player_points,Skylar Diggins-Smith,Under,13.5,-137
PrizePicks,player_rebounds,Napheesa Collier,Over,7.0,-137
PrizePicks,player_rebounds,Napheesa Collier,Under,7.0,-137
PrizePicks,player_rebounds,Courtney Williams,Over,5.0,-137
PrizePicks,player_rebounds,Courtney Williams,Under,5.0,-137
PrizePicks,player_rebounds,Alanna Smith,Over,4.5,-137
PrizePicks,player_rebounds,Alanna Smith,Under,4.5,-137
PrizePicks,player_rebounds,Tiffany Hayes,Over,3.5,-137
PrizePicks,player_rebounds,Tiffany Hayes,Under,3.5,-137
PrizePicks,player_rebounds,Veronica Burton,Over,4.5,-137
PrizePicks,player_rebounds,Veronica Burton,Under,4.5,-137
PrizePicks,player_rebounds,Allisha Gray,Over,5.0,-137
PrizePicks,player_rebounds,Allisha Gray,Under,5.0,-137
PrizePicks,player_rebounds,Naz Hillmon,Over,6.5,-137
PrizePicks,player_rebounds,Naz Hillmon,Under,6.5,-137
PrizePicks,player_rebounds,Lexie Hull,Over,4.0,-137
PrizePicks,player_rebounds,Lexie Hull,Under,4.0,-137
PrizePicks,player_rebounds,Rhyne Howard,Over,4.0,-137
PrizePicks,player_rebounds,Rhyne Howard,Under,4.0,-137
PrizePicks,player_rebounds,Brionna Jones,Over,7.0,-137
PrizePicks,player_rebounds,Brionna Jones,Under,7.0,-137
PrizePicks,player_rebounds,Aliyah Boston,Over,7.5,-137
PrizePicks,player_rebounds,Aliyah Boston,Under,7.5,-137
PrizePicks,player_rebounds,Natasha Howard,Over,7.0,-137
PrizePicks,player_rebounds,Natasha Howard,Under,7.0,-137
PrizePicks,player_rebounds,Breanna Stewart,Over,7.0,-137
PrizePicks,player_rebounds,Breanna Stewart,Under,7.0,-137
PrizePicks,player_rebounds,Sabrina Ionescu,Over,5.0,-137
PrizePicks,player_rebounds,Sabrina Ionescu,Under,5.0,-137
PrizePicks,player_rebounds,Jonquel Jones,Over,9.0,-137
PrizePicks,player_rebounds,Jonquel Jones,Under,9.0,-137
PrizePicks,player_rebounds,Satou Sabally,Over,6.5,-137
PrizePicks,player_rebounds,Satou Sabally,Under,6.5,-137
PrizePicks,player_rebounds,Alyssa Thomas,Over,9.5,-137
PrizePicks,player_rebounds,Alyssa Thomas,Under,9.5,-137
PrizePicks,player_rebounds,Emma Meesseman,Over,4.5,-137
PrizePicks,player_rebounds,Emma Meesseman,Under,4.5,-137
PrizePicks,player_rebounds,DeWanna Bonner,Over,4.5,-137
PrizePicks,player_rebounds,DeWanna Bonner,Under,4.5,-137
PrizePicks,player_rebounds,A'ja Wilson,Over,11.0,-137
PrizePicks,player_rebounds,A'ja Wilson,Under,11.0,-137
PrizePicks,player_rebounds,Chelsea Gray,Over,4.0,-137
PrizePicks,player_rebounds,Chelsea Gray,Under,4.0,-137
PrizePicks,player_rebounds,Jackie Young,Over,4.5,-137
PrizePicks,player_rebounds,Jackie Young,Under,4.5,-137
Underdog,player_rebounds,Natasha Cloud,Over,3.5,-137
Underdog,player_rebounds,Natasha Cloud,Under,3.5,-137
Underdog,player_rebounds,Nneka Ogwumike,Over,7.5,-137
Underdog,player_rebounds,Nneka Ogwumike,Under,7.5,-137
PrizePicks,player_assists,Courtney Williams,Over,5.5,-137
PrizePicks,player_assists,Courtney Williams,Under,5.5,-137
PrizePicks,player_assists,Veronica Burton,Over,5.0,-137
PrizePicks,player_assists,Veronica Burton,Under,5.0,-137
PrizePicks,player_assists,Jordin Canada,Over,5.5,-137
PrizePicks,player_assists,Jordin Canada,Under,5.5,-137
PrizePicks,player_assists,Rhyne Howard,Over,4.0,-137
PrizePicks,player_assists,Rhyne Howard,Under,4.0,-137
PrizePicks,player_assists,Odyssey Sims,Over,4.0,-137
PrizePicks,player_assists,Odyssey Sims,Under,4.0,-137
PrizePicks,player_assists,Sabrina Ionescu,Over,5.5,-137
PrizePicks,player_assists,Sabrina Ionescu,Under,5.5,-137
PrizePicks,player_assists,Natasha Cloud,Over,4.5,-137
PrizePicks,player_assists,Natasha Cloud,Under,4.5,-137
PrizePicks,player_assists,Alyssa Thomas,Over,9.0,-137
PrizePicks,player_assists,Alyssa Thomas,Under,9.0,-137
PrizePicks,player_assists,Chelsea Gray,Over,6.0,-137
PrizePicks,player_assists,Chelsea Gray,Under,6.0,-137
PrizePicks,player_assists,Jackie Young,Over,5.5,-137
PrizePicks,player_assists,Jackie Young,Under,5.5,-137
PrizePicks,player_assists,Skylar Diggins-Smith,Over,5.5,-137
PrizePicks,player_assists,Skylar Diggins-Smith,Under,5.5,-137
Underdog,player_assists,Sabrina Ionescu,Over,5.5,-137
Underdog,player_assists,Sabrina Ionescu,Under,5.5,-137
PrizePicks,player_threes,Janelle Salaun,Over,1.5,-137
PrizePicks,player_threes,Janelle Salaun,Under,1.5,-137
PrizePicks,player_threes,Lexie Hull,Over,1.5,-137
PrizePicks,player_threes,Lexie Hull,Under,1.5,-137
PrizePicks,player_threes,Satou Sabally,Over,1.5,-137
PrizePicks,player_threes,Satou Sabally,Under,1.5,-137
PrizePicks,player_threes,Chelsea Gray,Over,1.5,-137
PrizePicks,player_threes,Chelsea Gray,Under,1.5,-137
PrizePicks,player_threes,Nneka Ogwumike,Over,1.5,-137
PrizePicks,player_threes,Nneka Ogwumike,Under,1.5,-137
PrizePicks,player_threes,Erica Wheeler,Over,1.5,-137
PrizePicks,player_threes,Erica Wheeler,Under,1.5,-137
PrizePicks,player_blocks,Napheesa Collier,Over,1.5,-137
PrizePicks,player_blocks,Napheesa Collier,Under,1.5,-137
PrizePicks,player_blocks,Veronica Burton,Over,0.5,-137
PrizePicks,player_blocks,Veronica Burton,Under,0.5,-137
PrizePicks,player_steals,Napheesa Collier,Over,1.5,-137
PrizePicks,player_steals,Napheesa Collier,Under,1.5,-137
PrizePicks,player_steals,Kayla McBride,Over,1.5,-137
PrizePicks,player_steals,Kayla McBride,Under,1.5,-137
PrizePicks,player_steals,Janelle Salaun,Over,0.5,-137
PrizePicks,player_steals,Janelle Salaun,Under,0.5,-137
PrizePicks,player_steals,Jordin Canada,Over,1.5,-137
PrizePicks,player_steals,Jordin Canada,Under,1.5,-137
PrizePicks,player_steals,Rhyne Howard,Over,1.5,-137
PrizePicks,player_steals,Rhyne Howard,Under,1.5,-137
PrizePicks,player_field_goals,Courtney Williams,Over,5.5,-137
PrizePicks,player_field_goals,Courtney Williams,Under,5.5,-137
PrizePicks,player_field_goals,Veronica Burton,Over,3.5,-137
PrizePicks,player_field_goals,Veronica Burton,Under,3.5,-137
PrizePicks,player_field_goals,Breanna Stewart,Over,6.5,-137
PrizePicks,player_field_goals,Breanna Stewart,Under,6.5,-137
PrizePicks,player_field_goals,Sabrina Ionescu,Over,5.5,-137
PrizePicks,player_field_goals,Sabrina Ionescu,Under,5.5,-137
PrizePicks,player_field_goals,Jonquel Jones,Over,4.5,-137
PrizePicks,player_field_goals,Jonquel Jones,Under,4.5,-137
PrizePicks,player_field_goals,Natasha Cloud,Over,3.5,-137
PrizePicks,player_field_goals,Natasha Cloud,Under,3.5,-137
PrizePicks,player_field_goals,Kahleah Copper,Over,6.0,-137
PrizePicks,player_field_goals,Kahleah Copper,Under,6.0,-137
PrizePicks,player_field_goals,Satou Sabally,Over,5.0,-137
