,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,TEAM_PACE,GAME_PACE,OPP_PACE,OPP_DEF_RATING,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
0,Willie Cauley-Stein,1626161,DAL @ LAC,DAL,1610612742,LAC,0,0042000171,2021-05-22,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,1,-4,-1.0,0.0,,,,100.0,101.4,162.5,167.5,-62.5,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,96.62,98.71,-0.098,9,82.26,0.092,240,38,76,0.5,17,36,0.472,20,26,0.769,10,32,42,22,2,3,12,21,113,89.44,88.0,86.56,126.3416815742397,4:08,3.73,0.28,0,0,0,5,0,0,4,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0
1,Jayson Tatum,1628369,BOS @ BKN,BOS,1610612738,BKN,0,0042000111,2021-05-22,L,22,5,3,6,20,0.3,1,4,0.25,9,11,0.818,0,3,1,1,4,-8,35.1,0.886,0.325,F,,105.0,100.5,116.5,117.8,-11.5,0.0,0.073,0.034,0.227,0.325,1.25,0.292,0.443,93.54,91.99,0.044,80,76.66,0.296,240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.44,95.1,93.76,96.43301534632933,41:29,3.65,2.69,2,4,6,74,0,0,45,3,10,0.3,3,10,0.3,3,3,1.0,0.0,4.0,2.0,10.0,18.0,13.0,4.0,32.0,1.0,5.0,5.0,0.214,0.278,0.1,0.154,0.5,0.458,0.0,0.136,0.091,0.313,0.333,0.167,0.091,0.167,0.333,0.294,0.262
2,Bryn Forbes,1627854,MIL vs. MIA,MIL,1610612749,MIA,1,0042000121,2021-05-22,W,5,0,1,2,5,0.4,0,3,0.0,1,1,1.0,0,1,0,0,0,2,6.2,0.919,0.4,,,100.0,96.2,100.0,95.5,0.0,0.0,0.048,0.026,0.0,0.4,0.0,0.143,0.46,103.13,98.84,0.067,30,82.37,0.142,265,42,96,0.438,5,31,0.161,20,33,0.606,15,49,64,19,11,1,17,18,109,112.52,112.44,112.36,96.87166725915392,14:05,4.24,1.06,0,2,2,12,0,0,7,2,3,0.667,0,2,0.0,1,1,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,10.0,0.0,0.0,1.0,0.167,0.167,0.0,0.25,0.25,0.2,0.0,0.083,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.167
3,Trevor Ariza,2772,MIA @ MIL,MIA,1610612748,MIL,0,0042000121,2021-05-22,L,8,1,12,3,8,0.375,2,6,0.333,0,0,,1,11,1,1,1,-7,28.9,1.0,0.5,F,,91.3,88.9,97.6,98.9,-6.3,0.021,0.262,0.133,0.048,0.5,1.0,0.098,0.5,102.12,101.47,0.107,80,84.56,0.099,265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,112.36,112.44,112.52,95.22961908152368,38:19,3.97,2.72,6,18,20,55,0,0,43,1,2,0.5,2,6,0.333,5,6,0.833,2.0,0.0,0.0,2.0,13.0,13.0,12.0,40.0,0.0,4.0,1.0,0.125,0.114,0.143,0.171,0.0,0.0,0.111,0.379,0.316,0.067,0.067,0.167,0.5,0.0,0.222,0.071,0.11
4,Terance Mann,1629611,LAC vs. DAL,LAC,1610612746,DAL,1,0042000171,2021-05-22,L,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,-2,0.0,0.0,,,,0.0,0.0,100.0,100.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.73,286.09,0.0,1,238.41,0.0,240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,86.56,88.0,89.44,118.99260628465804,0:15,4.24,0.03,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Damian Lillard,203081,POR @ DEN,POR,1610612757,DEN,0,0042000161,2021-05-22,W,34,13,2,10,25,0.4,5,12,0.417,9,9,1.0,0,2,0,0,2,25,53.9,1.174,0.5,G,,142.9,136.9,109.0,111.1,33.9,0.0,0.049,0.025,0.464,0.5,6.5,0.365,0.587,94.4,93.27,0.157,77,77.73,0.355,240,43,91,0.473,19,40,0.475,18,19,0.947,10,29,39,29,3,2,6,14,123,95.36,94.44,93.52,128.98489932885906,39:53,3.57,2.5,4,6,10,91,2,1,57,4,11,0.364,6,14,0.429,2,2,1.0,3.0,2.0,0.0,4.0,4.0,12.0,5.0,40.0,4.0,2.0,6.0,0.263,0.329,0.313,0.4,0.5,0.474,0.0,0.077,0.061,0.5,0.667,0.0,0.0,0.667,0.167,0.429,0.309
6,Reggie Jackson,202704,LAC vs. DAL,LAC,1610612746,DAL,1,0042000171,2021-05-22,L,2,3,1,1,6,0.167,0,3,0.0,0,0,,1,0,0,1,0,13,10.7,0.333,0.16666666666666666,,,140.0,139.4,104.9,105.0,35.1,0.05,0.0,0.022,0.167,0.167,0.0,0.128,0.167,91.47,91.34,-0.022,40,76.12,0.13,240,37,84,0.44,11,40,0.275,18,24,0.75,13,26,39,22,7,7,5,21,103,86.56,88.0,89.44,118.99260628465804,21:17,3.87,1.46,2,0,2,22,0,0,16,1,2,0.5,0,4,0.0,3,4,0.75,0.0,0.0,0.0,2.0,2.0,14.0,0.0,16.0,1.0,3.0,0.0,0.053,0.158,0.0,0.167,0.0,0.0,0.167,0.0,0.045,0.3,0.0,0.0,0.333,1.0,0.375,0.0,0.036
7,Luka Dončić,1629029,DAL @ LAC,DAL,1610612742,LAC,0,0042000171,2021-05-22,W,31,11,10,11,24,0.458,5,11,0.455,4,7,0.571,1,9,1,2,3,19,65.5,1.145,0.5625,G,,130.8,128.0,110.7,114.9,20.1,0.028,0.22,0.13,0.458,0.563,3.67,0.333,0.572,89.44,90.08,0.199,78,75.06,0.342,240,38,76,0.5,17,36,0.472,20,26,0.769,10,32,42,22,2,3,12,21,113,89.44,88.0,86.56,126.3416815742397,40:46,3.71,2.69,3,14,17,92,2,0,60,3,6,0.5,8,18,0.444,0,1,0.0,0.0,2.0,0.0,10.0,12.0,6.0,2.0,26.0,1.0,3.0,6.0,0.314,0.358,0.333,0.355,0.235,0.318,0.125,0.321,0.278,0.55,0.273,0.5,0.667,0.167,0.158,0.333,0.304
8,Jimmy Butler III,202710,MIA @ MIL,MIA,1610612748,MIL,0,0042000121,2021-05-22,L,17,8,10,4,22,0.182,2,9,0.222,7,10,0.7,4,6,2,1,6,-8,44.0,0.644,0.22727272727272727,F,,96.8,94.3,102.1,101.4,-5.3,0.07,0.122,0.094,0.308,0.227,1.33,0.306,0.322,102.02,100.38,0.045,94,83.65,0.31,265,36,99,0.364,20,50,0.4,15,19,0.789,12,39,51,22,8,3,17,23,107,112.36,112.44,112.52,95.22961908152368,45:40,4.1,3.34,6,14,20,111,1,1,75,1,5,0.2,3,17,0.176,3,4,0.75,4.0,1.0,2.0,4.0,13.0,15.0,12.0,48.0,0.0,2.0,7.0,0.133,0.262,0.111,0.209,0.538,0.588,0.4,0.188,0.238,0.4,0.4,0.286,0.5,0.0,0.095,0.412,0.187
9,Kemba Walker,202689,BOS @ BKN,BOS,1610612738,BKN,0,0042000111,2021-05-22,L,15,2,1,5,16,0.313,3,7,0.429,2,2,1.0,0,1,0,0,3,-21,16.2,0.889,0.40625,G,,84.6,80.2,122.6,117.7,-38.0,0.0,0.036,0.017,0.2,0.406,0.67,0.345,0.444,98.4,93.85,0.0,52,78.21,0.346,240,31,84,0.369,11,30,0.367,20,26,0.769,11,29,40,19,6,12,12,18,93,96.44,95.1,93.76,96.43301534632933,26:51,3.91,1.89,1,8,9,59,2,0,37,0,5,0.0,5,11,0.455,1,2,0.5,2.0,0.0,0.0,0.0,14.0,8.0,4.0,22.0,1.0,4.0,4.0,0.333,0.364,0.5,0.389,0.25,0.182,0.0,0.071,0.059,0.25,0.333,0.0,0.0,0.5,0.286,0.364,0.341
