PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_PACE,GAME_PACE,OPP_PACE
Jalen McDaniels,1629667,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,5,2,4,2,2,1.0,1,1,1.0,0,0,,0,4,0,0,0,11,12.8,2.5,1.25,,,140.0,138.5,93.9,93.4,46.1,0.0,0.333,0.16,0.143,1.25,0.0,0.059,1.25,90.21,89.47,0.133,30,74.56,0.058,16:54,4.4,1.31,0,6,6,13,0,0,10,0,0,0.0,2,2,1.0,2,2,1.0,3.0,0.0,0.0,2.0,9.0,0.0,8.0,12.0,0.0,1.0,0.0,0.125,0.069,0.143,0.063,0.0,0.0,0.0,0.4,0.286,0.143,0.0,0.0,0.0,0.0,0.167,0.0,0.119,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
Malcolm Brogdon,1627763,BOS vs. ATL,BOS,1610612738,ATL,1,0042200111,2023-04-15,W,5,2,5,1,6,0.167,0,3,0.0,3,4,0.75,1,4,0,0,0,5,14.0,0.644,0.16666666666666666,,,117.8,122.1,104.3,104.3,13.4,0.053,0.125,0.098,0.105,0.167,0.0,0.163,0.322,100.13,101.87,0.038,45,84.89,0.169,21:26,4.08,1.56,1,6,7,32,1,0,23,0,1,0.0,1,5,0.2,2,2,1.0,0.0,0.0,0.0,2.0,4.0,8.0,6.0,24.0,0.0,2.0,4.0,0.05,0.158,0.0,0.231,0.429,0.4,0.25,0.19,0.2,0.167,0.0,0.0,0.0,0.0,0.2,0.444,0.094,"APR 15, 2023",240,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,16,15,112,112.0896717373899,13.0,4.0,45.0,0.3877551020408163,112.0896717373899,99.92,102.30000000000001,104.68
Jaylen Brown,1627759,BOS vs. ATL,BOS,1610612738,ATL,1,0042200111,2023-04-15,W,29,3,12,12,23,0.522,2,6,0.333,3,3,1.0,4,8,1,0,6,11,44.9,1.192,0.5652173913043478,F,,100.0,104.2,88.8,87.0,11.3,0.111,0.148,0.133,0.158,0.565,0.5,0.333,0.596,103.94,105.03,0.164,82,87.53,0.346,37:01,4.08,2.68,5,11,15,61,0,1,30,5,8,0.625,7,15,0.467,4,7,0.571,5.0,7.0,2.0,18.0,14.0,10.0,14.0,38.0,1.0,3.0,3.0,0.387,0.348,0.222,0.25,0.273,0.231,0.5,0.211,0.261,0.176,0.4,0.2,0.0,0.5,0.273,0.214,0.354,"APR 15, 2023",240,42,88,0.477,13,33,0.394,15,18,0.833,12,46,58,25,6,7,16,15,112,112.0896717373899,13.0,4.0,45.0,0.3877551020408163,112.0896717373899,99.92,102.30000000000001,104.68
Dejounte Murray,1627749,ATL @ BOS,ATL,1610612737,BOS,0,0042200111,2023-04-15,L,24,6,8,10,25,0.4,0,6,0.0,4,4,1.0,2,6,3,0,1,-13,50.6,0.897,0.4,G,,96.2,95.4,112.8,113.9,-16.7,0.044,0.176,0.101,0.3,0.4,6.0,0.315,0.448,104.11,104.19,0.145,78,86.83,0.32,35:56,4.29,2.74,5,8,13,66,1,0,38,3,11,0.273,7,14,0.5,5,6,0.833,4.0,2.0,4.0,16.0,8.0,12.0,2.0,40.0,2.0,1.0,2.0,0.333,0.342,0.0,0.286,0.308,0.267,0.222,0.261,0.25,0.353,0.125,0.3,0.0,0.333,0.077,0.222,0.32,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.57393962552541,6.0,7.0,58.0,0.4772727272727273,94.57393962552541,104.68,102.30000000000001,99.92
Clint Capela,203991,ATL @ BOS,ATL,1610612737,BOS,0,0042200111,2023-04-15,L,12,0,8,6,8,0.75,0,0,,0,0,,0,8,1,0,0,-8,24.6,1.5,0.75,C,,91.7,94.9,103.3,104.1,-11.6,0.0,0.258,0.136,0.0,0.75,0.0,0.127,0.75,107.17,109.45,0.158,60,91.21,0.131,26:32,4.09,1.91,2,13,15,30,1,0,21,4,6,0.667,2,2,1.0,0,2,0.0,2.0,0.0,4.0,12.0,8.0,7.0,2.0,26.0,1.0,0.0,0.0,0.25,0.16,0.0,0.0,0.0,0.0,0.0,0.364,0.32,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.218,"APR 15, 2023",240,38,98,0.388,5,29,0.172,18,22,0.818,14,31,45,23,13,4,11,17,99,94.57393962552541,6.0,7.0,58.0,0.4772727272727273,94.57393962552541,104.68,102.30000000000001,99.92
P.J. Tucker,200782,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,6,2,7,2,6,0.333,2,5,0.4,0,0,,5,2,5,0,0,11,32.4,1.0,0.5,F,,145.7,140.4,119.1,120.7,26.5,0.179,0.111,0.152,0.105,0.5,0.0,0.103,0.5,90.37,89.29,0.12,46,74.41,0.104,24:60,4.1,1.8,5,4,9,34,0,0,27,0,2,0.0,2,4,0.5,1,1,1.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,20.0,0.0,0.0,2.0,0.095,0.122,0.167,0.227,0.0,0.0,0.5,0.167,0.318,0.125,0.0,0.714,0.0,0.0,0.0,0.182,0.09,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
David Duke Jr.,1630561,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,2,0,0,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,-4,1.0,0.667,0.3333333333333333,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.0,0.0,0.0,0.333,0.0,0.364,0.333,90.37,96.68,-0.154,9,80.57,0.368,4:43,3.89,0.33,0,1,1,7,0,1,3,0,1,0.0,1,2,0.5,0,0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,2.0,6.0,0.0,1.0,1.0,0.333,0.429,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.0,0.333,0.286,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Cam Thomas,1630560,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,-4,0.0,0.0,0.0,,,77.8,78.8,110.0,123.9,-32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.091,0.0,95.78,102.47,-0.077,9,85.39,0.092,4:27,3.66,0.29,0,1,1,4,0,0,3,0,0,0.0,0,1,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Day'Ron Sharpe,1630549,BKN @ PHI,BKN,1610612751,PHI,0,0042200121,2023-04-15,L,6,4,6,2,3,0.667,0,0,,2,2,1.0,2,4,0,1,2,-5,20.2,1.546,0.6666666666666666,,,116.7,122.8,138.2,142.1,-21.6,0.167,0.364,0.261,0.286,0.667,2.0,0.154,0.773,92.81,96.56,0.102,36,80.47,0.166,17:24,4.12,1.28,7,7,14,32,0,0,27,1,2,0.5,1,1,1.0,2,3,0.667,0.0,2.0,0.0,4.0,13.0,2.0,5.0,22.0,0.0,3.0,1.0,0.125,0.111,0.0,0.0,0.667,0.4,1.0,0.5,0.6,0.308,0.286,0.0,0.5,0.0,0.5,0.143,0.143,"APR 15, 2023",240,39,70,0.557,13,29,0.448,10,15,0.667,5,30,35,23,3,5,19,15,101,111.47902869757176,14.0,3.0,38.0,0.47191011235955055,111.47902869757176,90.6,90.32,90.04
Jaden Springer,1630531,PHI vs. BKN,PHI,1610612755,BKN,1,0042200121,2023-04-15,W,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,-3,0.0,0.0,,,,40.0,50.0,100.0,125.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,100.0,0.0,5,83.33,0.0,2:24,3.81,0.17,0,0,0,2,0,0,1,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"APR 15, 2023",240,42,89,0.472,21,43,0.488,16,16,1.0,14,24,38,32,14,3,8,17,121,134.38471790315413,3.0,5.0,35.0,0.5571428571428572,134.38471790315413,90.04,90.32,90.6
