,Unnamed: 0,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,MIN_x,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,eFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE,MIN_y,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT
0,0,Marcus Smart,203935,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,36,14,7,3,3,8,0.375,1,4,0.25,7,8,0.875,1,2,1,0,1,3,0,30.1,1.215,0.4375,G,,123.0,122.6,121.3,116.1,1.6,0.03,0.063,0.046,0.241,0.438,7.0,0.16,0.608,101.49,99.09,0.094,74.0,82.58,0.164,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,36:05,3.64,2.34,1.0,3.0,4.0,66.0,1.0,0.0,52.0,1.0,3.0,0.333,2.0,5.0,0.4,3.0,3.0,1.0
1,1,P.J. Tucker,200782,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,33,6,0,4,3,5,0.6,0,2,0.0,0,0,,2,2,0,1,2,2,-6,11.8,1.2,0.6,F,,116.2,112.1,130.8,129.8,-14.6,0.069,0.077,0.073,0.0,0.6,0.0,0.095,0.6,98.83,96.68,0.024,68.0,80.57,0.094,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,33:01,4.12,2.42,6.0,4.0,10.0,30.0,0.0,0.0,21.0,1.0,1.0,1.0,2.0,4.0,0.5,0.0,1.0,0.0
2,2,Al Horford,201143,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,23,6,1,5,2,7,0.286,2,5,0.4,0,0,,1,4,0,0,0,4,8,13.5,0.857,0.4285714285714285,C,,143.5,135.8,126.1,123.8,17.4,0.053,0.222,0.135,0.045,0.429,0.0,0.14,0.429,99.16,95.58,0.023,46.0,79.65,0.138,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,23:06,3.82,1.57,3.0,6.0,8.0,35.0,1.0,0.0,28.0,0.0,1.0,0.0,2.0,6.0,0.333,2.0,3.0,0.667
3,3,Tobias Harris,202699,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,34,18,0,2,7,14,0.5,3,6,0.5,1,2,0.5,1,1,3,0,0,3,-1,29.4,1.21,0.6071428571428571,F,,121.4,115.0,126.5,123.8,-5.0,0.033,0.034,0.034,0.0,0.607,0.0,0.195,0.605,100.53,96.75,0.078,70.0,80.62,0.193,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,34:14,3.95,2.41,3.0,3.0,6.0,43.0,0.0,0.0,27.0,3.0,5.0,0.6,4.0,9.0,0.444,1.0,3.0,0.333
4,4,Noah Vonleh,203943,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,20,2,0,2,1,2,0.5,0,0,,0,0,,0,2,1,1,0,4,7,10.4,1.0,0.5,,,139.0,142.6,122.0,120.4,17.1,0.0,0.133,0.071,0.0,0.5,0.0,0.048,0.5,96.97,97.59,0.005,41.0,81.32,0.049,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,20:10,4.0,1.41,3.0,6.0,9.0,24.0,0.0,0.0,21.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,3.0,0.333
5,5,Montrezl Harrell,1626149,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,11,2,0,0,1,3,0.333,0,0,,0,0,,0,0,0,1,1,3,4,4.0,0.667,0.3333333333333333,,,117.4,112.7,100.0,98.3,17.4,0.0,0.0,0.0,0.0,0.333,0.0,0.16,0.333,105.9,102.86,-0.106,23.0,85.71,0.167,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,10:44,3.9,0.75,1.0,1.0,2.0,13.0,0.0,0.0,9.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5
6,6,Jayson Tatum,1628369,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,39,35,4,12,13,20,0.65,2,7,0.286,7,9,0.778,0,12,1,1,3,1,10,58.4,1.461,0.7,F,,125.6,126.2,111.4,109.1,14.2,0.0,0.333,0.182,0.174,0.7,1.33,0.321,0.73,98.41,97.56,0.25,78.0,81.3,0.331,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,38:37,3.85,2.66,0.0,14.0,14.0,72.0,1.0,1.0,43.0,5.0,7.0,0.714,8.0,13.0,0.615,0.0,0.0,0.0
7,7,Matisse Thybulle,1629680,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,0,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,-1,0.0,0.0,,,,0.0,0.0,50.0,53.2,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.87,178.51,0.0,1.0,148.76,0.0,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,0:24,4.53,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,James Harden,201935,PHI @ BOS,PHI,1610612755,BOS,0,0022200001,2022-10-18,L,37,35,7,8,9,14,0.643,5,9,0.556,12,12,1.0,0,8,0,0,3,3,1,52.1,1.815,0.8214285714285714,G,,116.9,112.3,118.7,117.4,-1.8,0.0,0.242,0.118,0.333,0.821,2.33,0.226,0.908,100.4,97.88,0.257,77.0,81.56,0.226,"OCT 18, 2022",240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,114.347146207975,8.0,3.0,36.0,0.5609756097560976,1610612738,114.347146207975,102.32,100.32,98.32,37:16,3.49,2.31,1.0,8.0,8.0,98.0,1.0,1.0,75.0,4.0,6.0,0.667,5.0,8.0,0.625,6.0,6.0,1.0
9,9,Blake Griffin,201933,BOS vs. PHI,BOS,1610612738,PHI,1,0022200001,2022-10-18,W,8,1,1,5,0,2,0.0,0,1,0.0,1,2,0.5,2,3,0,0,0,3,-5,8.5,0.347,0.0,,,105.6,102.6,141.2,126.6,-35.6,0.286,0.375,0.333,0.167,0.0,0.0,0.143,0.174,108.57,101.39,0.0,18.0,84.49,0.146,"OCT 18, 2022",240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,10,24,126,128.15296989422296,8.0,3.0,31.0,0.5,1610612755,128.15296989422296,98.32,100.32,102.32,8:17,3.94,0.58,5.0,5.0,9.0,17.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
