PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,GAME_ID,GAME_DATE,WL,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PLUS_MINUS,FANTASY_PTS,POINT_PER_SHOT,EFG,START_POSITION,COMMENT,OFF_RATING,E_OFF_RATING,DEF_RATING,E_DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,EFG_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,POSS,PACE_PER40,E_USG_PCT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,DFGM,DFGA,DFG_PCT,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLKA,PF,PFD,PCT_FGM,PCT_FGA,PCT_FG3M,PCT_FG3A,PCT_FTM,PCT_FTA,PCT_OREB,PCT_DREB,PCT_REB,PCT_AST,PCT_TOV,PCT_STL,PCT_BLK,PCT_BLKA,PCT_PF,PCT_PFD,PCT_PTS
Anthony Davis,203076,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,17,4,8,6,17,0.353,1,2,0.5,4,4,1.0,1,7,0,2,2,-17,36.6,0.906,0.3823529411764705,C,,107.0,104.1,129.2,121.7,-22.1,0.026,0.219,0.114,0.182,0.382,2.0,0.259,0.453,105.02,100.5,0.082,71,83.75,0.259,34:09,3.64,2.21,4,10,13,62,1,0,41,5,11,0.455,1,6,0.167,6,12,0.5,0.0,0.0,2.0,10.0,16.0,13.0,18.0,44.0,1.0,3.0,3.0,0.214,0.266,0.125,0.087,0.333,0.25,0.125,0.318,0.267,0.25,0.2,0.0,0.5,0.5,0.231,0.273,0.224
Austin Reaves,1630559,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,14,4,8,4,11,0.364,1,2,0.5,5,7,0.714,4,4,2,0,2,-14,33.6,0.994,0.4090909090909091,G,,101.5,99.9,122.4,116.3,-20.9,0.103,0.118,0.11,0.19,0.409,2.0,0.203,0.497,106.13,102.64,0.088,67,85.53,0.205,31:20,4.22,2.38,6,7,12,56,0,0,39,2,5,0.4,2,6,0.333,1,2,0.5,2.0,0.0,2.0,4.0,14.0,13.0,17.0,42.0,1.0,2.0,4.0,0.16,0.177,0.167,0.111,0.417,0.438,0.4,0.174,0.242,0.267,0.222,0.667,0.0,0.25,0.2,0.364,0.206
Aaron Gordon,203932,DEN vs. LAL,DEN,1610612743,LAL,1,0022300061,2023-10-24,W,15,5,7,7,11,0.636,1,2,0.5,0,0,,2,5,2,1,0,6,39.9,1.364,0.6818181818181818,F,,126.4,119.1,116.4,116.4,10.0,0.053,0.119,0.088,0.167,0.682,0.0,0.129,0.682,102.56,99.51,0.142,72,82.92,0.129,34:58,3.81,2.39,5,10,14,43,0,0,32,6,6,1.0,1,5,0.2,3,5,0.6,4.0,0.0,4.0,12.0,9.0,4.0,16.0,44.0,1.0,0.0,0.0,0.189,0.151,0.1,0.077,0.0,0.0,0.222,0.192,0.2,0.227,0.0,0.286,0.25,0.25,0.0,0.0,0.165
Christian Braun,1631128,DEN vs. LAL,DEN,1610612743,LAL,1,0022300061,2023-10-24,W,5,2,3,2,5,0.4,0,1,0.0,1,2,0.5,1,2,0,1,1,5,13.6,0.85,0.4,,,122.9,122.2,105.6,106.3,17.3,0.083,0.118,0.103,0.133,0.4,2.0,0.189,0.425,88.09,88.14,0.059,35,73.45,0.188,19:20,4.01,1.42,1,4,5,35,0,0,25,2,3,0.667,0,2,0.0,4,6,0.667,0.0,2.0,1.0,4.0,12.0,2.0,4.0,22.0,0.0,1.0,1.0,0.118,0.172,0.0,0.083,0.333,0.4,0.5,0.182,0.231,0.25,0.167,0.0,0.5,0.0,0.167,0.1,0.116
Zeke Nnaji,1630192,DEN vs. LAL,DEN,1610612743,LAL,1,0022300061,2023-10-24,W,4,1,0,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,1,-3,4.5,1.031,0.3333333333333333,,,110.0,123.0,125.0,120.4,-15.0,0.0,0.0,0.0,0.143,0.333,1.0,0.227,0.515,78.96,81.74,0.0,20,68.11,0.252,11:45,3.59,0.8,0,1,1,12,0,0,8,1,2,0.5,0,1,0.0,0,0,0.0,2.0,0.0,0.0,2.0,7.0,2.0,2.0,16.0,0.0,2.0,3.0,0.125,0.188,0.0,0.125,1.0,1.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.667,0.429,0.182
Gabe Vincent,1629216,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,6,2,1,3,8,0.375,0,4,0.0,0,0,,1,0,1,0,2,-17,11.2,0.75,0.375,,,83.3,80.0,126.8,133.7,-43.5,0.037,0.0,0.024,0.167,0.375,1.0,0.185,0.375,88.94,89.33,-0.007,42,74.44,0.197,22:18,4.08,1.69,1,0,1,37,0,1,26,0,1,0.0,3,7,0.429,0,0,0.0,0.0,0.0,0.0,4.0,15.0,6.0,5.0,16.0,0.0,3.0,1.0,0.2,0.195,0.0,0.286,0.0,0.0,0.143,0.0,0.059,0.286,0.25,0.333,0.0,0.0,0.375,0.2,0.171
Christian Wood,1626174,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,7,0,4,3,4,0.75,0,1,0.0,1,2,0.5,1,3,0,0,1,2,10.8,1.434,0.75,,,135.7,137.5,133.3,132.4,2.4,0.083,0.25,0.167,0.0,0.75,0.0,0.182,0.717,85.1,85.34,0.1,28,71.12,0.196,15:28,3.44,0.96,1,6,6,18,0,0,10,2,2,1.0,1,2,0.5,1,1,1.0,0.0,0.0,2.0,6.0,2.0,2.0,3.0,12.0,0.0,1.0,2.0,0.2,0.154,0.0,0.111,0.25,0.333,0.333,0.333,0.333,0.0,0.5,0.0,0.0,0.0,0.125,0.333,0.184
Reggie Jackson,202704,DEN vs. LAL,DEN,1610612743,LAL,1,0022300061,2023-10-24,W,8,1,3,3,8,0.375,2,5,0.4,0,0,,0,3,1,0,2,11,14.1,1.0,0.5,,,123.9,126.4,97.9,96.6,26.0,0.0,0.12,0.071,0.053,0.5,0.5,0.2,0.5,92.46,92.74,0.064,46,77.29,0.204,24:04,4.11,1.77,0,4,4,39,0,2,29,0,2,0.0,3,6,0.5,0,0,0.0,0.0,0.0,0.0,2.0,12.0,2.0,6.0,26.0,0.0,0.0,0.0,0.136,0.211,0.25,0.294,0.0,0.0,0.0,0.176,0.143,0.091,0.25,0.2,0.0,0.0,0.0,0.0,0.14
LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,21,5,8,10,16,0.625,1,4,0.25,0,1,0.0,1,7,1,0,0,7,41.1,1.277,0.65625,F,,126.7,132.7,119.0,114.6,7.7,0.033,0.25,0.138,0.263,0.656,0.0,0.225,0.639,97.19,97.62,0.189,60,81.35,0.245,29:01,3.44,1.81,2,9,11,44,0,0,27,5,8,0.625,5,8,0.625,5,5,1.0,4.0,0.0,8.0,18.0,2.0,9.0,10.0,32.0,1.0,1.0,1.0,0.345,0.286,0.1,0.222,0.0,0.083,0.125,0.368,0.296,0.278,0.0,0.5,0.0,0.2,0.083,0.111,0.276
Maxwell Lewis,1641721,LAL @ DEN,LAL,1610612747,DEN,0,0022300061,2023-10-24,L,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0.0,0.0,,,,200.0,212.8,133.3,200.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,96.0,0.0,2,80.0,0.0,1:15,2.5,0.08,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
