iter	RMSE
0	8.734117856
1	8.687084541
2	8.64061326
3	8.595181442
4	8.549060241
5	8.504215805
6	8.460040984
7	8.41682717
8	8.374266287
9	8.3323164
10	8.291914214
11	8.251120424
12	8.21049118
13	8.170119101
14	8.130771966
15	8.092083744
16	8.054247719
17	8.016818472
18	7.979295023
19	7.942536689
20	7.906944141
21	7.871310699
22	7.836276202
23	7.801824142
24	7.767317694
25	7.733559973
26	7.700648439
27	7.668477329
28	7.636970889
29	7.605699398
30	7.574683009
31	7.544248592
32	7.514711464
33	7.484531485
34	7.455109828
35	7.426415016
36	7.397994734
37	7.369770926
38	7.341839329
39	7.315012801
40	7.288734788
41	7.262778163
42	7.237170679
43	7.212072368
44	7.187854129
45	7.163018645
46	7.139177657
47	7.114766609
48	7.090878772
49	7.067128612
50	7.043717881
51	7.02131112
52	6.998939083
53	6.976917805
54	6.955159744
55	6.933301295
56	6.912299846
57	6.89122556
58	6.87105435
59	6.850855456
60	6.830896409
61	6.811896687
62	6.792502888
63	6.773656809
64	6.754969105
65	6.736832453
66	6.719211207
67	6.701786966
68	6.683827496
69	6.666512858
70	6.650247113
71	6.633788498
72	6.618095009
73	6.601557545
74	6.585464076
75	6.569788164
76	6.554059923
77	6.538884438
78	6.524135314
79	6.509968895
80	6.495880081
81	6.482259889
82	6.469041342
83	6.455317917
84	6.442121554
85	6.428966909
86	6.415770988
87	6.402317696
88	6.390085285
89	6.378006418
90	6.365954724
91	6.353696921
92	6.341573959
93	6.330432006
94	6.31852659
95	6.307269788
96	6.29641702
97	6.285422983
98	6.274329324
99	6.263923289
100	6.253207399
101	6.243152321
102	6.233237145
103	6.224081497
104	6.214915952
105	6.205388843
106	6.19587387
107	6.18660458
108	6.177548169
109	6.169173074
110	6.160811118
111	6.152234486
112	6.143795052
113	6.135192937
114	6.126997597
115	6.118771165
116	6.111866352
117	6.104356338
118	6.09653497
119	6.088692503
120	6.081268863
121	6.073558347
122	6.066441597
123	6.059293171
124	6.051888001
125	6.044887921
126	6.037805065
127	6.031017669
128	6.024857399
129	6.018848966
130	6.012549241
131	6.006053753
132	5.99968449
133	5.993918253
134	5.987668859
135	5.982148451
136	5.976654792
137	5.971126271
138	5.965267279
139	5.959797598
140	5.954096694
141	5.948747056
142	5.943282413
143	5.938206587
144	5.933015051
145	5.92795638
146	5.923931289
147	5.918936167
148	5.914242955
