iter	Passed	Remaining
0	97	143506
1	192	142120
2	257	126743
3	324	119396
4	397	117066
5	475	116513
6	537	112929
7	642	118008
8	720	117577
9	799	117289
10	868	115696
11	944	115349
12	1029	115923
13	1109	115904
14	1183	115379
15	1252	114390
16	1333	114539
17	1411	114433
18	1489	114325
19	1565	114061
20	1629	112966
21	1693	112022
22	1768	111819
23	1831	110874
24	1893	109999
25	1968	109860
26	2045	109859
27	2117	109558
28	2187	109231
29	2247	108425
30	2314	107973
31	2379	107432
32	2454	107387
33	2527	107251
34	2590	106736
35	2667	106779
36	2742	106742
37	2822	106877
38	2898	106860
39	2975	106905
40	3048	106775
41	3113	106367
42	3194	106516
43	3256	106042
44	3330	105976
45	3406	105983
46	3469	105570
47	3531	105126
48	3602	104986
49	3673	104842
50	3735	104449
51	3809	104393
52	3881	104279
53	3945	103962
54	4018	103905
55	4090	103799
56	4164	103752
57	4225	103376
58	4299	103327
59	4356	102888
60	4418	102561
61	4483	102315
62	4545	102016
63	4621	102033
64	4682	101718
65	4755	101677
66	4816	101355
67	4891	101358
68	4965	101332
69	5028	101069
70	5101	101033
71	5175	100997
72	5237	100730
73	5312	100717
74	5371	100409
75	5445	100375
76	5515	100275
77	5591	100282
78	5662	100213
79	5738	100204
80	5798	99938
81	5871	99885
82	5934	99666
83	5990	99342
84	6063	99292
85	6141	99335
86	6207	99172
87	6267	98928
88	6342	98912
89	6407	98749
90	6481	98724
91	6547	98566
92	6627	98624
93	6702	98608
94	6775	98560
95	6848	98515
96	6924	98508
97	6996	98456
98	7057	98236
99	7126	98136
100	7188	97933
101	7264	97930
102	7340	97926
103	7414	97882
104	7488	97856
105	7564	97833
106	7623	97613
107	7684	97412
108	7759	97390
109	7834	97367
110	7894	97157
111	7966	97086
112	8043	97093
113	8115	97030
114	8187	96963
115	8249	96786
116	8324	96768
117	8400	96744
118	8458	96527
119	8517	96318
120	8576	96116
121	8634	95902
122	8709	95872
123	8783	95843
124	8855	95778
125	8916	95608
126	8979	95450
127	9052	95405
128	9129	95399
129	9201	95337
130	9276	95313
131	9355	95322
132	9418	95177
133	9481	95027
134	9557	95003
135	9621	94868
136	9683	94718
137	9757	94675
138	9831	94635
139	9908	94629
140	9986	94622
141	10048	94473
142	10113	94348
143	10188	94314
144	10261	94264
145	10335	94227
146	10411	94203
147	10487	94171
148	10548	94013
149	10621	93968
150	10695	93921
151	10753	93739
152	10812	93568
153	10877	93451
154	10948	93381
155	11021	93330
156	11092	93263
157	11151	93093
158	11226	93059
159	11296	92984
160	11356	92824
161	11427	92759
162	11493	92652
163	11553	92497
164	11623	92420
165	11698	92391
166	11767	92304
167	11840	92257
168	11915	92218
169	11990	92183
170	12061	92116
171	12131	92042
172	12196	91932
173	12253	91759
174	12326	91706
175	12400	91663
176	12468	91580
177	12542	91535
178	12614	91474
179	12688	91430
180	12748	91282
181	12823	91247
182	12891	91156
183	12961	91081
184	13040	91069
185	13114	91027
186	13185	90958
187	13244	90807
188	13307	90685
189	13381	90640
190	13443	90514
191	13522	90502
192	13584	90372
193	13645	90243
194	13676	89915
195	13749	89862
196	13814	89757
197	13881	89666
198	13951	89599
199	14016	89494
200	14090	89453
201	14159	89373
202	14222	89256
203	14296	89215
204	14374	89189
205	14443	89112
206	14516	89059
207	14585	88987
208	14653	88901
209	14728	88860
210	14805	88832
211	14879	88787
212	14953	88740
213	15027	88688
214	15099	88627
215	15173	88580
216	15242	88506
217	15314	88442
218	15388	88395
219	15448	88269
220	15522	88218
221	15584	88099
222	15659	88056
223	15729	87987
224	15791	87870
225	15864	87814
226	15939	87773
227	16002	87663
228	16077	87618
229	16139	87501
230	16202	87396
231	16277	87351
232	16349	87292
233	16423	87242
234	16496	87186
235	16568	87122
236	16632	87020
237	16692	86896
238	16766	86851
239	16839	86795
240	16915	86754
241	16994	86729
242	17067	86671
