iter	RMSE
0	8.655668738
1	8.611222713
2	8.566441051
3	8.523475176
4	8.480330819
5	8.437450344
6	8.396533525
7	8.354937443
8	8.313888608
9	8.273600881
10	8.233978591
11	8.194378959
12	8.155225723
13	8.117164783
14	8.079667914
15	8.042658283
16	8.006139936
17	7.97007868
18	7.934564148
19	7.899666305
20	7.864906959
21	7.830726895
22	7.79680866
23	7.76361878
24	7.731152214
25	7.699374763
26	7.668686264
27	7.637453473
28	7.606735059
29	7.576623725
30	7.546826596
31	7.517273638
32	7.488209624
33	7.459918036
34	7.43246989
35	7.404717571
36	7.378686821
37	7.352359049
38	7.326752974
39	7.300609506
40	7.274752683
41	7.249587821
42	7.225440569
43	7.200784838
44	7.176498827
45	7.152882307
46	7.130418153
47	7.107111226
48	7.08446931
49	7.062816364
50	7.040688285
51	7.019019226
52	6.997876192
53	6.977000765
54	6.956342513
55	6.93603435
56	6.9164354
57	6.896730866
58	6.877836565
59	6.859546918
60	6.840504255
61	6.822252897
62	6.803605943
63	6.786081418
64	6.769545563
65	6.752276004
66	6.735783574
67	6.718925612
68	6.702814729
69	6.686174821
70	6.670130725
71	6.654310237
72	6.639054083
73	6.624034461
74	6.608858321
75	6.594456976
76	6.580339012
77	6.566259861
78	6.552821927
79	6.539341667
80	6.52606525
81	6.51279704
82	6.499476432
83	6.486533269
84	6.474190451
85	6.461225904
86	6.449019319
87	6.436892378
88	6.424978557
89	6.413083968
90	6.401503787
91	6.390019065
92	6.378872976
93	6.367863374
94	6.357059004
95	6.346328388
96	6.335765366
97	6.3252683
98	6.315302866
99	6.305466962
100	6.295797789
101	6.286500381
102	6.277293733
103	6.268416808
104	6.259022173
105	6.250085988
106	6.241475067
107	6.232854392
108	6.224256854
109	6.216148206
110	6.20771037
111	6.199183307
112	6.191213426
113	6.183404205
114	6.17581757
115	6.168255739
116	6.160753388
117	6.15346704
118	6.146171702
119	6.138979218
120	6.132066955
121	6.125472487
122	6.118730801
123	6.111996793
124	6.105531182
125	6.09901546
126	6.092922739
127	6.086566072
128	6.080473674
129	6.074203462
130	6.068414025
131	6.062458719
132	6.056543418
133	6.051164228
134	6.045789167
135	6.040115281
136	6.034832688
137	6.029524881
138	6.024575742
139	6.019666325
140	6.014808689
141	6.010054312
142	6.005143635
143	6.000588791
144	5.996089165
145	5.991395551
146	5.986738216
147	5.982141149
148	5.97762186
149	5.973469786
150	5.969493904
151	5.964788803
152	5.960534304
153	5.956443777
154	5.952748249
155	5.948858741
156	5.944725575
157	5.940643074
158	5.93668322
159	5.933057755
160	5.929507869
161	5.925816689
162	5.922237224
163	5.91888
164	5.915341151
165	5.911925366
166	5.90848563
167	5.905361956
168	5.90228727
169	5.899154752
170	5.895985468
171	5.893113283
172	5.890355592
173	5.887459855
174	5.884644057
175	5.88197218
176	5.879107071
177	5.876081064
178	5.873356725
179	5.870649519
180	5.868142668
181	5.865809234
182	5.86323223
183	5.860954466
184	5.858266827
185	5.855757213
186	5.853406775
187	5.850851657
188	5.848353084
189	5.846070218
190	5.843863387
191	5.841478008
192	5.839398459
193	5.837285307
194	5.83533508
195	5.833229042
196	5.831087964
197	5.829122814
198	5.827282738
199	5.825211142
200	5.823356227
201	5.821463568
202	5.819648886
203	5.817741847
204	5.815979386
205	5.814210541
206	5.812416293
207	5.810591043
208	5.809026355
209	5.807275475
210	5.805460076
211	5.803836673
212	5.802258046
213	5.800695701
214	5.799000562
215	5.797123654
216	5.795283779
217	5.793361992
218	5.791566242
219	5.789796289
220	5.788113544
221	5.786355163
222	5.784634258
223	5.782640756
224	5.780788747
225	5.779033571
226	5.777346736
227	5.775618439
228	5.773793259
229	5.772120965
230	5.770448019
231	5.768785323
232	5.767135296
233	5.765510763
234	5.763880145
235	5.762562711
236	5.761072162
237	5.759671102
238	5.758106737
239	5.756688974
240	5.755233801
241	5.753863999
242	5.752542908
243	5.751248199
244	5.750038289
245	5.748734118
246	5.747490509
247	5.74624354
248	5.745181942
249	5.743957529
250	5.742828627
251	5.741537866
252	5.740361862
253	5.739311227
254	5.738131901
255	5.737018432
256	5.735891796
257	5.734775042
258	5.733723651
259	5.732687921
260	5.731719325
261	5.730902753
262	5.729891172
263	5.728898147
264	5.727863944
265	5.726922961
266	5.726016407
267	5.725108612
268	5.724194102
269	5.723363133
270	5.722531105
271	5.721707333
272	5.720934967
273	5.720110867
274	5.719322497
275	5.718484265
276	5.717622097
277	5.716804756
278	5.716008232
279	5.715237855
280	5.714451357
281	5.713627173
282	5.712881269
283	5.71211825
284	5.711464811
285	5.710803925
286	5.710128064
287	5.709413566
288	5.708852499
289	5.708243727
290	5.707545663
291	5.706915454
292	5.706207766
293	5.705652895
294	5.705070094
295	5.704409523
296	5.703891309
