iter	Passed	Remaining
0	24	10945
1	52	11767
2	79	11911
3	106	11941
4	133	11995
5	161	12006
6	183	11663
7	208	11584
8	232	11448
9	258	11473
10	280	11263
11	306	11256
12	331	11206
13	359	11271
14	381	11136
15	407	11135
16	436	11182
17	464	11236
18	492	11256
19	519	11247
20	541	11136
21	567	11115
22	593	11098
23	621	11104
24	650	11142
25	674	11076
26	697	11004
27	722	10973
28	743	10868
29	769	10843
30	794	10819
31	819	10785
32	848	10794
33	874	10773
34	899	10743
35	920	10665
36	942	10600
37	963	10525
38	988	10492
39	1009	10424
40	1032	10380
41	1059	10364
42	1084	10344
43	1109	10309
44	1135	10294
45	1165	10307
46	1193	10305
47	1217	10275
48	1238	10212
49	1264	10195
50	1287	10148
51	1309	10096
52	1334	10072
53	1367	10105
54	1392	10076
55	1417	10049
56	1441	10016
57	1468	10000
58	1490	9955
59	1512	9906
60	1538	9887
61	1563	9858
62	1587	9825
63	1613	9807
64	1635	9762
65	1661	9745
66	1686	9715
67	1710	9687
68	1733	9647
69	1758	9624
70	1783	9593
71	1803	9545
72	1831	9533
73	1853	9494
74	1877	9463
75	1901	9431
76	1923	9391
77	1945	9355
78	1969	9324
79	1993	9294
80	2013	9247
81	2038	9224
82	2061	9187
83	2085	9162
84	2110	9137
85	2134	9110
86	2157	9074
87	2180	9043
88	2201	9001
89	2226	8981
90	2251	8957
91	2273	8919
92	2299	8899
93	2326	8886
94	2352	8864
95	2376	8836
96	2398	8802
97	2423	8777
98	2448	8754
99	2472	8728
100	2501	8718
101	2521	8677
102	2547	8656
103	2569	8621
104	2596	8607
105	2618	8571
106	2643	8548
107	2664	8512
108	2685	8476
109	2707	8441
110	2729	8409
111	2752	8381
112	2780	8366
113	2801	8330
114	2826	8307
115	2846	8270
116	2868	8237
117	2895	8220
118	2919	8194
119	2941	8161
120	2966	8139
121	2989	8111
122	3015	8091
123	3040	8066
124	3066	8045
125	3087	8013
126	3112	7989
127	3138	7969
128	3164	7946
129	3187	7919
130	3207	7883
131	3226	7846
132	3249	7817
133	3272	7791
134	3298	7768
135	3323	7746
136	3349	7725
137	3372	7697
138	3398	7676
139	3423	7654
140	3446	7625
141	3475	7612
142	3502	7592
143	3530	7575
144	3554	7550
145	3581	7530
146	3605	7506
147	3626	7472
148	3650	7448
149	3670	7414
150	3690	7380
151	3715	7357
152	3741	7336
153	3762	7305
154	3786	7280
155	3810	7254
156	3833	7226
157	3856	7199
158	3880	7175
159	3904	7151
160	3931	7130
161	3956	7107
162	3981	7084
163	4004	7056
164	4031	7037
165	4056	7013
166	4082	6991
167	4108	6970
168	4135	6950
169	4160	6925
170	4180	6894
171	4201	6863
172	4222	6834
173	4241	6801
174	4267	6778
175	4292	6755
176	4316	6731
177	4341	6707
178	4362	6677
179	4386	6653
180	4411	6628
181	4433	6601
182	4457	6576
183	4478	6547
184	4502	6522
185	4527	6499
186	4553	6476
187	4577	6452
188	4600	6426
189	4626	6403
190	4646	6373
191	4670	6349
192	4699	6331
193	4727	6311
194	4752	6288
195	4773	6259
196	4802	6240
197	4827	6217
198	4853	6194
199	4877	6170
200	4902	6146
201	4925	6120
202	4946	6091
203	4972	6068
204	4997	6045
205	5022	6021
206	5046	5997
207	5072	5974
208	5096	5949
209	5115	5918
210	5136	5890
211	5158	5864
212	5182	5839
213	5210	5819
214	5235	5795
215	5260	5771
216	5285	5748
217	5309	5723
218	5336	5702
219	5361	5678
220	5386	5654
221	5410	5629
222	5436	5606
223	5460	5582
224	5487	5560
225	5511	5535
226	5535	5511
227	5560	5487
228	5588	5466
229	5614	5443
230	5643	5423
231	5666	5398
232	5688	5370
233	5711	5345
234	5732	5317
235	5755	5292
236	5777	5265
237	5803	5242
238	5827	5218
239	5846	5188
240	5872	5166
241	5897	5142
242	5918	5114
243	5941	5089
244	5963	5062
245	5990	5040
246	6014	5015
247	6035	4988
248	6055	4961
249	6077	4934
250	6102	4911
251	6123	4884
252	6147	4859
253	6172	4835
254	6198	4813
255	6222	4788
256	6248	4765
257	6268	4737
258	6294	4714
259	6318	4690
260	6345	4668
261	6370	4643
262	6391	4617
263	6416	4593
264	6444	4571
265	6468	4547
266	6488	4519
267	6512	4495
268	6533	4468
269	6558	4445
270	6584	4421
271	6608	4397
272	6628	4370
273	6651	4345
274	6675	4320
275	6699	4296
276	6723	4271
277	6748	4248
278	6769	4221
279	6789	4195
280	6815	4171
281	6840	4147
282	6944	4171
283	6991	4160
284	7028	4143
285	7054	4119
286	7076	4093
287	7101	4068
288	7125	4043
289	7146	4016
290	7172	3992
291	7198	3968
292	7221	3943
293	7246	3919
294	7271	3894
295	7301	3872
296	7328	3849
297	7354	3825
298	7381	3801
299	7404	3776
300	7427	3750
301	7448	3724
302	7474	3700
303	7503	3677
304	7534	3656
305	7563	3633
306	7588	3608
307	7608	3582
308	7630	3555
309	7649	3528
310	7672	3503
311	7699	3479
312	7728	3456
313	7749	3430
314	7770	3404
315	7795	3379
316	7821	3355
317	7846	3330
318	7870	3306
319	7895	3281
320	7916	3255
321	7938	3229
322	7958	3203
323	7978	3176
324	8003	3152
325	8025	3126
326	8050	3102
327	8075	3077
328	8102	3053
329	8127	3029
330	8146	3002
331	8171	2978
332	8193	2952
333	8214	2926
334	8240	2902
335	8267	2878
336	8294	2855
337	8314	2829
338	8338	2804
339	8362	2779
340	8387	2754
341	8411	2730
342	8437	2706
343	8462	2681
344	8483	2655
345	8508	2631
346	8532	2606
347	8557	2581
348	8578	2556
349	8603	2531
350	8626	2506
351	8652	2482
352	8671	2456
353	8698	2432
354	8723	2408
355	8744	2382
356	8771	2358
357	8795	2334
358	8820	2309
359	8840	2283
360	8864	2259
361	8886	2233
362	8910	2209
363	8935	2184
364	8960	2160
365	8981	2134
366	9005	2110
367	9030	2085
368	9051	2060
369	9072	2035
370	9097	2010
371	9131	1988
372	9157	1964
373	9178	1938
374	9198	1913
375	9224	1889
376	9251	1865
377	9275	1840
378	9296	1815
379	9322	1790
380	9342	1765
381	9366	1740
382	9391	1716
383	9417	1692
384	9444	1668
385	9471	1643
386	9490	1618
387	9516	1594
388	9541	1569
389	9568	1545
390	9592	1521
391	9617	1496
392	9644	1472
393	9668	1447
394	9692	1423
395	9717	1398
396	9746	1374
397	9770	1350
398	9798	1326
399	9825	1301
400	9854	1277
401	9878	1253
402	9904	1228
403	9925	1203
404	9947	1179
405	9968	1153
406	9994	1129
407	10020	1105
408	10044	1080
409	10064	1055
410	10088	1030
411	10114	1006
412	10142	982
413	10167	957
414	10191	933
415	10215	908
416	10241	884
417	10261	859
418	10283	834
419	10303	809
420	10330	785
421	10351	760
422	10377	735
423	10401	711
424	10427	686
425	10452	662
426	10477	637
427	10502	613
428	10529	589
429	10555	564
430	10575	539
431	10601	515
432	10628	490
433	10652	466
434	10676	441
435	10701	417
436	10723	392
437	10747	368
438	10771	343
439	10795	318
440	10820	294
441	10844	269
442	10867	245
443	10889	220
444	10909	196
445	10935	171
446	10959	147
447	10984	122
448	11010	98
449	11031	73
450	11051	49
451	11073	24
452	11098	0
