,PLAYER_NAME,PLAYER_ID,MATCHUP,TEAM_ABBREVIATION,TEAM_ID,OPP_ABBREVIATION,HOME_GAME,AWAY_GAME,GAME_ID,GAME_DATE,WL,MIN,PTS,AST,REB,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,STL,BLK,TOV,PF,PLUS_MINUS,FANTASY_PTS,PointsPerShot,START_POSITION,OFF_RATING,DEF_RATING,NET_RATING,OREB_PCT,DREB_PCT,REB_PCT,AST_PCT,AST_TOV,USG_PCT,TS_PCT,E_PACE,PACE,PIE,PACE_PER40,TEAM_GAME_DATE,TEAM_MIN,TEAM_FGM,TEAM_FGA,TEAM_FG_PCT,TEAM_FG3M,TEAM_FG3A,TEAM_FG3_PCT,TEAM_FTM,TEAM_FTA,TEAM_FT_PCT,TEAM_OREB,TEAM_DREB,TEAM_REB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_DEF_RATING,OPP_STL,OPP_BLK,OPP_REB,OPP_FG_PCT,OPP_TEAM_ID,TEAM_OFF_RATING,TEAM_PACE,GAME_PACE,OPP_PACE
0,Anthony Davis,203076,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,34,17,4,8,6,17,0.353,1,2,0.5,4,4,1.0,1,7,0,2,2,3,-17,36.6,0.906,C,107.0,129.2,-22.1,0.026,0.219,0.114,0.182,2.0,0.259,0.453,105.02,100.5,0.082,83.75,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
1,Austin Reaves,1630559,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,31,14,4,8,4,11,0.364,1,2,0.5,5,7,0.714,4,4,2,0,2,2,-14,33.6,0.994,G,101.5,122.4,-20.9,0.103,0.118,0.11,0.19,2.0,0.203,0.497,106.13,102.64,0.088,85.53,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
2,Aaron Gordon,203932,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,35,15,5,7,7,11,0.636,1,2,0.5,0,0,,2,5,2,1,0,0,6,39.9,1.364,F,126.4,116.4,10.0,0.053,0.119,0.088,0.167,0.0,0.129,0.682,102.56,99.51,0.142,82.92,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
3,Christian Braun,1631128,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,19,5,2,3,2,5,0.4,0,1,0.0,1,2,0.5,1,2,0,1,1,1,5,13.6,0.85,,122.9,105.6,17.3,0.083,0.118,0.103,0.133,2.0,0.189,0.425,88.09,88.14,0.059,73.45,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
4,Zeke Nnaji,1630192,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,12,4,1,0,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,1,2,-3,4.5,1.031,,110.0,125.0,-15.0,0.0,0.0,0.0,0.143,1.0,0.227,0.515,78.96,81.74,0.0,68.11,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
5,Gabe Vincent,1629216,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,22,6,2,1,3,8,0.375,0,4,0.0,0,0,,1,0,1,0,2,3,-17,11.2,0.75,,83.3,126.8,-43.5,0.037,0.0,0.024,0.167,1.0,0.185,0.375,88.94,89.33,-0.007,74.44,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
6,Christian Wood,1626174,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,15,7,0,4,3,4,0.75,0,1,0.0,1,2,0.5,1,3,0,0,1,1,2,10.8,1.434,,135.7,133.3,2.4,0.083,0.25,0.167,0.0,0.0,0.182,0.717,85.1,85.34,0.1,71.12,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
7,Reggie Jackson,202704,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,24,8,1,3,3,8,0.375,2,5,0.4,0,0,,0,3,1,0,2,0,11,14.1,1.0,,123.9,97.9,26.0,0.0,0.12,0.071,0.053,0.5,0.2,0.5,92.46,92.74,0.064,77.29,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
8,LeBron James,2544,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,29,21,5,8,10,16,0.625,1,4,0.25,0,1,0.0,1,7,1,0,0,1,7,41.1,1.277,F,126.7,119.0,7.7,0.033,0.25,0.138,0.263,0.0,0.225,0.639,97.19,97.62,0.189,81.35,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
9,Maxwell Lewis,1641721,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,200.0,133.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,96.0,0.0,80.0,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
10,Collin Gillespie,1631221,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,100.0,200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95,98.86,0.0,82.38,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
11,Peyton Watson,1631212,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,11,3,0,0,1,3,0.333,1,3,0.333,0,0,,0,0,0,1,1,1,1,5.0,1.0,,104.8,105.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.19,0.5,87.99,90.73,-0.014,75.61,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
12,Max Christie,1631108,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,200.0,133.3,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5,96.0,0.0,80.0,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
13,Braxton Key,1630296,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,1,0,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.0,0.0,,100.0,200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.95,98.86,0.0,82.38,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
14,Jaxson Hayes,1629637,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,7,0,0,1,0,0,,0,0,,0,0,,0,1,0,0,0,1,-7,1.2,0.0,,83.3,130.8,-47.4,0.0,0.25,0.1,0.0,0.0,0.0,0.0,82.64,86.96,0.0,72.46,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
15,Cam Reddish,1629629,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,18,7,0,4,2,4,0.5,1,2,0.5,2,2,1.0,2,2,0,1,0,2,7,14.8,1.434,,125.0,111.8,13.2,0.133,0.133,0.133,0.0,0.0,0.122,0.717,92.17,95.27,0.088,79.4,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
16,Jalen Pickett,1629618,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,1,2,0,0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2.0,2.0,,100.0,200.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,61.95,98.86,0.667,82.38,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
17,Rui Hachimura,1629060,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,15,6,0,3,3,10,0.3,0,3,0.0,0,0,,2,1,0,0,0,2,-8,9.6,0.6,,75.0,103.2,-28.2,0.095,0.063,0.081,0.0,0.0,0.244,0.3,106.69,103.28,-0.019,86.07,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
18,Michael Porter Jr.,1629008,DEN vs. LAL,DEN,1610612743,LAL,1,0,0022300061,2023-10-24,W,30,12,2,12,5,13,0.385,2,9,0.222,0,0,,2,10,2,0,0,1,12,35.4,0.923,F,127.0,106.3,20.7,0.059,0.27,0.169,0.071,0.0,0.176,0.462,105.27,101.19,0.12,84.32,"OCT 24, 2023",240,48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,11,15,119,121.08262108262109,5.0,4.0,44.0,0.45555555555555555,1610612747,121.08262108262109,98.28000000000002,97.54,96.8
19,Taurean Prince,1627752,LAL @ DEN,LAL,1610612747,DEN,0,1,0022300061,2023-10-24,L,30,18,1,3,6,8,0.75,4,6,0.667,2,2,1.0,1,2,0,1,1,0,-14,25.1,2.027,F,104.8,125.0,-20.2,0.027,0.061,0.043,0.056,1.0,0.133,1.014,105.31,102.0,0.128,85.0,"OCT 24, 2023",240,41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,11,18,107,110.53719008264463,9.0,6.0,42.0,0.5274725274725275,1610612743,110.53719008264463,96.8,97.54,98.28000000000002
